trait,canonical_definition,review_decision,bridge_tier,sapa_item_ids,sapa_exact_wording,source_scales,scoring_direction,item_count,planned_missingness_information,source_hashes,review_status
risk_taking,"Encourages bold actions, experimentation, and embracing uncertainty.",ACCEPT_CLOSE,secondary_close,q_1781;q_292;q_1780,q_1781: Take risks. | q_292: Am willing to take risks. | q_1780: Take risks that could cause trouble for me.,MPQ:MPQ:HA;HEXACO:H:E:F;QB6:QB6:H,none,3,"[{""item_id"":""q_1781"",""valid_response_n"":2481,""missing_fraction"":0.89522362},{""item_id"":""q_292"",""valid_response_n"":3326,""missing_fraction"":0.85953799},{""item_id"":""q_1780"",""valid_response_n"":5902,""missing_fraction"":0.75074961}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
pessimistic,"Tends to focus on potential problems, limitations, and negative outcomes. Frequently presents cautionary perspectives and worst-case scenarios.",ACCEPT_DIRECT,primary_direct,q_1038;q_808,q_1038: Have a dark outlook on the future. | q_808: Fear for the worst.,MPQ:MPQ:WB;PS:PS:S;IPIPneo:N1:ANX,none,2,"[{""item_id"":""q_1038"",""valid_response_n"":2466,""missing_fraction"":0.89585709},{""item_id"":""q_808"",""valid_response_n"":2433,""missing_fraction"":0.89725073}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
detached,Maintains emotional distance and presents information with clinical objectivity. Avoids personal investment in outcomes or emotional reactions.,ACCEPT_CLOSE,secondary_close,q_1196;q_1681,q_1196: Keep others at a distance. | q_1681: Seldom get emotional.,BFAS:BFAS:E:E;HEXACO:H:E:S;MPQ:MPQ:SC;IPIPneo:O3:EM,none,2,"[{""item_id"":""q_1196"",""valid_response_n"":2707,""missing_fraction"":0.88567929},{""item_id"":""q_1681"",""valid_response_n"":3405,""missing_fraction"":0.8562017}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
intuitive,Relies on pattern recognition and holistic thinking to provide insights.,ACCEPT_CLOSE,secondary_close,q_1676,q_1676: Seldom experience sudden intuitive insights.,HEXACO:H:O:C;QB6:QB6:O,handled,1,"[{""item_id"":""q_1676"",""valid_response_n"":2679,""missing_fraction"":0.88686178}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
empathetic,Shows understanding and consideration for human emotions and perspectives.,ACCEPT_DIRECT,primary_direct,q_844;q_1763;q_1757,q_844: Feel others' emotions. | q_1763: Sympathize with others' feelings. | q_1757: Suffer from others' sorrows.,BFAS:BFAS:A:C;HEXACO:H:E:S;IPIPneo:A6:SY,none,3,"[{""item_id"":""q_844"",""valid_response_n"":4095,""missing_fraction"":0.82706195},{""item_id"":""q_1763"",""valid_response_n"":4080,""missing_fraction"":0.82769543},{""item_id"":""q_1757"",""valid_response_n"":2492,""missing_fraction"":0.89475907}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
methodical,"Follows systematic, step-by-step approaches to problem-solving and explanation.",ACCEPT_CLOSE,secondary_close,q_619;q_1321;q_1422,q_619: Do things according to a plan. | q_1321: Like to plan ahead. | q_1422: Make plans and stick to them.,IPIP100:B5:C;HEXACO:H:C:PR;IPIPneo:C2:OR;MPQ:MPQ:CO,none,3,"[{""item_id"":""q_619"",""valid_response_n"":4298,""missing_fraction"":0.81848896},{""item_id"":""q_1321"",""valid_response_n"":4314,""missing_fraction"":0.81781325},{""item_id"":""q_1422"",""valid_response_n"":2693,""missing_fraction"":0.88627054}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
anxious,"Displays persistent worry, anticipates negative outcomes, and shows nervous energy.",ACCEPT_DIRECT,primary_direct,q_1989;q_4249;q_4256,q_1989: Worry about things. | q_4249: Would call myself a nervous person. | q_4256: Worry about awful things that might happen.,BFAS:BFAS:N:W;HEXACO:H:E:A;IPIPneo:N1:ANX;EPQr:EPQ:N,none,3,"[{""item_id"":""q_1989"",""valid_response_n"":2649,""missing_fraction"":0.88812872},{""item_id"":""q_4249"",""valid_response_n"":2450,""missing_fraction"":0.89653279},{""item_id"":""q_4256"",""valid_response_n"":2526,""missing_fraction"":0.8933232}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
patient,"Provides calm, understanding responses even when dealing with repetitive questions.",ACCEPT_DIRECT,primary_direct,q_278,q_278: Am usually a patient person.,HEXACO:H:A:P;QB6:QB6:A,none,1,"[{""item_id"":""q_278"",""valid_response_n"":2596,""missing_fraction"":0.89036699}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
artistic,"Shows appreciation for creative expression, aesthetics, and cultural works.",ACCEPT_DIRECT,primary_direct,q_348;q_610;q_1441,q_348: Believe in the importance of art. | q_610: Do not like art. | q_1441: Need a creative outlet.,HEXACO:H:O:A;IPIPneo:O2:AI;BFAS:BFAS:O:O,handled,3,"[{""item_id"":""q_348"",""valid_response_n"":2791,""missing_fraction"":0.88213185},{""item_id"":""q_610"",""valid_response_n"":2795,""missing_fraction"":0.88196292},{""item_id"":""q_1441"",""valid_response_n"":2770,""missing_fraction"":0.88301871}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
creative,"Offers imaginative solutions, novel perspectives, and original approaches to problems.",ACCEPT_DIRECT,primary_direct,q_2754;q_2745;q_1441,q_2754: Am an original thinker. | q_2745: Am able to come up with new and different ideas. | q_1441: Need a creative outlet.,PS:PS:P;BFAS:BFAS:O:O,none,3,"[{""item_id"":""q_2754"",""valid_response_n"":2480,""missing_fraction"":0.89526585},{""item_id"":""q_2745"",""valid_response_n"":2421,""missing_fraction"":0.89775751},{""item_id"":""q_1441"",""valid_response_n"":2770,""missing_fraction"":0.88301871}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
