family_id,axis_specific_marker_count,axis_specific_marker_names,marker_evidence_json,strongest_marker,purest_marker,marker_derived_family_description,candidate_universe
PURE-FAM-01,0,,[],,,No trait passed the frozen primary axis-specific marker rule for this signed family.,all 126 documented constructs in human_construct_library.csv plus item-only fallback
PURE-FAM-02,7,callous;cynical;pessimistic;vindictive;blunt;dominant;skeptical,"[{""trait"":""callous"",""canonical_definition"":""Shows emotional hardness and insensitivity to others' feelings or suffering."",""target_r"":0.9362281588736768,""axis_purity"":0.9005926234790558,""dominance_gap"":0.747466546400724},{""trait"":""cynical"",""canonical_definition"":""Views human nature and motivations with deep distrust and pessimism."",""target_r"":0.9186264810030856,""axis_purity"":0.8569353920112172,""dominance_gap"":0.5914297624088878},{""trait"":""pessimistic"",""canonical_definition"":""Tends to focus on potential problems, limitations, and negative outcomes. Frequently presents cautionary perspectives and worst-case scenarios."",""target_r"":0.9126434799743378,""axis_purity"":0.8785092649515865,""dominance_gap"":0.684793382359079},{""trait"":""vindictive"",""canonical_definition"":""Holds grudges persistently and actively seeks retribution for perceived wrongs."",""target_r"":0.8842922837299919,""axis_purity"":0.7924812500750839,""dominance_gap"":0.5283073189796289},{""trait"":""blunt"",""canonical_definition"":""Delivers information directly without sugar-coating or excessive politeness. Prioritizes honesty and clarity over diplomatic language."",""target_r"":0.8759718377764993,""axis_purity"":0.8330194491818179,""dominance_gap"":0.554570778065731},{""trait"":""dominant"",""canonical_definition"":""Takes charge of conversations and drives toward specific outcomes."",""target_r"":0.8710338842300616,""axis_purity"":0.8361400171480875,""dominance_gap"":0.6333463134087367},{""trait"":""skeptical"",""canonical_definition"":""Questions assumptions, seeks evidence, and challenges conventional thinking."",""target_r"":0.8374450052678677,""axis_purity"":0.7527226754776268,""dominance_gap"":0.5575772294526424}]",callous,callous,"Callous, cynical, pessimistic, vindictive, blunt, dominant, and skeptical interpersonal stance.",all 126 documented constructs in human_construct_library.csv plus item-only fallback
PURE-FAM-03,48,narrative;romantic;poetic;metaphorical;dramatic;enigmatic;ethereal;zealous;rhetorical;melodramatic;paradoxical;artistic;nostalgic;mystical;flirty;whimsical;theatrical;spontaneous;improvisational;libertarian;cryptic;qualitative;charismatic;intuitive;spiritual;creative;individualistic;mercurial;manipulative;passionate;fatalistic;sycophantic;speculative;subversive;chaotic;visceral;risk_taking;melancholic;obsessive;effusive;adventurous;temperamental;emotional;grandiose;playful;stream_of_consciousness;impulsive;relativist,"[{""trait"":""narrative"",""canonical_definition"":""Tells stories and uses storytelling techniques to convey information."",""target_r"":-0.9803972145592048,""axis_purity"":0.9718492311887188,""dominance_gap"":0.8438595521260547},{""trait"":""romantic"",""canonical_definition"":""Emphasizes emotion, imagination, and idealized views over rational analysis."",""target_r"":-0.9763104748687972,""axis_purity"":0.9580378719962528,""dominance_gap"":0.8285560923833715},{""trait"":""poetic"",""canonical_definition"":""Uses lyrical language, imagery, and rhythmic patterns to convey meaning."",""target_r"":-0.9756506720083892,""axis_purity"":0.9634524648966408,""dominance_gap"":0.8162063974293137},{""trait"":""metaphorical"",""canonical_definition"":""Uses analogies, symbolism, and figurative language to explain concepts."",""target_r"":-0.9743674991205488,""axis_purity"":0.9595612047467892,""dominance_gap"":0.8258957354013249},{""trait"":""dramatic"",""canonical_definition"":""Uses emotionally charged language and vivid descriptions. Tends to present information with heightened intensity and theatrical flair."",""target_r"":-0.9693469585463276,""axis_purity"":0.9549938522638128,""dominance_gap"":0.8094698035433434},{""trait"":""enigmatic"",""canonical_definition"":""Maintains mystery and ambiguity in communication, resisting clear interpretation."",""target_r"":-0.9687410140365692,""axis_purity"":0.9436472272544184,""dominance_gap"":0.753808662624875},{""trait"":""ethereal"",""canonical_definition"":""Maintains otherworldly, delicate quality that seems barely connected to reality."",""target_r"":-0.961297942081866,""axis_purity"":0.9273905325034312,""dominance_gap"":0.7110158382195709},{""trait"":""zealous"",""canonical_definition"":""Shows fervent enthusiasm and passionate advocacy for causes or beliefs."",""target_r"":-0.957951984370524,""axis_purity"":0.9469932155083106,""dominance_gap"":0.8058588116601665},{""trait"":""rhetorical"",""canonical_definition"":""Uses persuasive techniques, figures of speech, and argumentative devices effectively."",""target_r"":-0.9556154003128912,""axis_purity"":0.9304243605975376,""dominance_gap"":0.7640562107214989},{""trait"":""melodramatic"",""canonical_definition"":""Expresses ideas with exaggerated emotion and theatrical intensity."",""target_r"":-0.9540244411838072,""axis_purity"":0.9306503875277052,""dominance_gap"":0.7386125434724718},{""trait"":""paradoxical"",""canonical_definition"":""Comfortable holding contradictory ideas simultaneously and finding truth in opposites."",""target_r"":-0.9498091080248448,""axis_purity"":0.909250169170353,""dominance_gap"":0.7460587547287816},{""trait"":""artistic"",""canonical_definition"":""Shows appreciation for creative expression, aesthetics, and cultural works."",""target_r"":-0.9423747333065188,""axis_purity"":0.9056414353960888,""dominance_gap"":0.7381212188716076},{""trait"":""nostalgic"",""canonical_definition"":""Shows fondness for past eras, traditions, and classic approaches."",""target_r"":-0.9402772377341287,""axis_purity"":0.9201244833266848,""dominance_gap"":0.708507849419811},{""trait"":""mystical"",""canonical_definition"":""Embraces ineffable experiences and truths beyond rational understanding."",""target_r"":-0.937251303514462,""axis_purity"":0.8832715776961764,""dominance_gap"":0.7055031719093713},{""trait"":""flirty"",""canonical_definition"":""Engages in playful romantic banter, uses charming innuendo, and creates light sexual tension."",""target_r"":-0.9364540436504228,""axis_purity"":0.8842826462910767,""dominance_gap"":0.6361486263961915},{""trait"":""whimsical"",""canonical_definition"":""Displays playful unpredictability, fanciful ideas, and delightfully unusual perspectives."",""target_r"":-0.9347443690209892,""axis_purity"":0.886211232510007,""dominance_gap"":0.7111042102933578},{""trait"":""theatrical"",""canonical_definition"":""Performs responses with dramatic flair, exaggerated gestures, and stage-like presence."",""target_r"":-0.9331384455535632,""axis_purity"":0.895204350258005,""dominance_gap"":0.697256699412457},{""trait"":""spontaneous"",""canonical_definition"":""Provides varied, unpredictable responses that don't follow rigid patterns."",""target_r"":-0.9318730623416642,""axis_purity"":0.8722680773914461,""dominance_gap"":0.6492311015855572},{""trait"":""improvisational"",""canonical_definition"":""Adapts fluidly to changing circumstances without predetermined scripts or plans."",""target_r"":-0.9139066832758204,""axis_purity"":0.8397475708196446,""dominance_gap"":0.5858430612439036},{""trait"":""libertarian"",""canonical_definition"":""Champions absolute free will and individual choice over determinism."",""target_r"":-0.913822566233629,""axis_purity"":0.9149867560261268,""dominance_gap"":0.7114443399721553},{""trait"":""cryptic"",""canonical_definition"":""Communicates in deliberately puzzling ways that require interpretation."",""target_r"":-0.9109053247272142,""axis_purity"":0.833986126640139,""dominance_gap"":0.5367231180131053},{""trait"":""qualitative"",""canonical_definition"":""Focuses on descriptive, subjective, and interpretive aspects of topics."",""target_r"":-0.9007758761744452,""axis_purity"":0.8209877494583837,""dominance_gap"":0.5727473911459027},{""trait"":""charismatic"",""canonical_definition"":""Displays magnetic personality that naturally draws others in. Communicates with confidence and charm that makes ideas compelling and conversations engaging."",""target_r"":-0.9007484483473494,""axis_purity"":0.8499034222202706,""dominance_gap"":0.6749693130663527},{""trait"":""intuitive"",""canonical_definition"":""Relies on pattern recognition and holistic thinking to provide insights."",""target_r"":-0.8996062119691136,""axis_purity"":0.8168218854895245,""dominance_gap"":0.628948824184191},{""trait"":""spiritual"",""canonical_definition"":""Incorporates transcendent dimensions, meaning beyond material existence, and sacred elements."",""target_r"":-0.8991472947299358,""axis_purity"":0.8209324801862292,""dominance_gap"":0.5793928530595479},{""trait"":""creative"",""canonical_definition"":""Offers imaginative solutions, novel perspectives, and original approaches to problems."",""target_r"":-0.8925363877752224,""axis_purity"":0.8084351349637146,""dominance_gap"":0.6619615342334727},{""trait"":""individualistic"",""canonical_definition"":""Emphasizes unique personal expression and individual differences."",""target_r"":-0.8910079045156788,""axis_purity"":0.8033413458064391,""dominance_gap"":0.6326738140860801},{""trait"":""mercurial"",""canonical_definition"":""Shifts rapidly between moods, styles, and approaches unpredictably."",""target_r"":-0.8887687504543408,""axis_purity"":0.7935324633412493,""dominance_gap"":0.5733127418864463},{""trait"":""manipulative"",""canonical_definition"":""Uses deception, emotional exploitation, and psychological tactics to control others."",""target_r"":-0.8813142690632262,""axis_purity"":0.7944993270486282,""dominance_gap"":0.5556578963970247},{""trait"":""passionate"",""canonical_definition"":""Shows intense enthusiasm, strong emotions, and deep investment in topics."",""target_r"":-0.8752280328253619,""axis_purity"":0.7881942971421461,""dominance_gap"":0.4773761847141631},{""trait"":""fatalistic"",""canonical_definition"":""Accepts circumstances as predetermined or beyond control, emphasizing destiny over agency."",""target_r"":-0.8751146534668024,""axis_purity"":0.7752900449176893,""dominance_gap"":0.419263529819539},{""trait"":""sycophantic"",""canonical_definition"":""Excessively agrees with and flatters users, even when disagreement might be more helpful. Prioritizes approval over honest feedback."",""target_r"":-0.8603728627525782,""axis_purity"":0.7823329493140263,""dominance_gap"":0.4820599990462192},{""trait"":""speculative"",""canonical_definition"":""Engages in thoughtful conjecture and explores possibilities."",""target_r"":-0.8565815007661746,""axis_purity"":0.7522995222559518,""dominance_gap"":0.57125595490453},{""trait"":""subversive"",""canonical_definition"":""Undermines established norms through subtle challenges and indirect resistance."",""target_r"":-0.8565612905694054,""axis_purity"":0.745308711721147,""dominance_gap"":0.5180151052317521},{""trait"":""chaotic"",""canonical_definition"":""Recognizes extreme sensitivity to initial conditions and unpredictable outcomes."",""target_r"":-0.854676404607597,""axis_purity"":0.7581365792570474,""dominance_gap"":0.5513881977960309},{""trait"":""visceral"",""canonical_definition"":""Communicates from gut reactions and raw emotional responses."",""target_r"":-0.8542947012558788,""axis_purity"":0.7373702334231114,""dominance_gap"":0.3663160578178763},{""trait"":""risk_taking"",""canonical_definition"":""Encourages bold actions, experimentation, and embracing uncertainty."",""target_r"":-0.8478629575987493,""axis_purity"":0.72945513052552,""dominance_gap"":0.5486855328047251},{""trait"":""melancholic"",""canonical_definition"":""Tends toward persistent sadness, brooding, and dwelling on negative aspects."",""target_r"":-0.8470521847328778,""axis_purity"":0.746325367128809,""dominance_gap"":0.4601327320595713},{""trait"":""obsessive"",""canonical_definition"":""Fixates on specific details with intense, persistent focus that dominates thinking."",""target_r"":-0.8468841750426835,""axis_purity"":0.7319969378749993,""dominance_gap"":0.3737905630738507},{""trait"":""effusive"",""canonical_definition"":""Shows unrestrained enthusiasm and overflowing emotional expression."",""target_r"":-0.8467546534697663,""axis_purity"":0.7407973611782036,""dominance_gap"":0.3904380899526149},{""trait"":""adventurous"",""canonical_definition"":""Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches."",""target_r"":-0.8410285065610046,""axis_purity"":0.7261262151897536,""dominance_gap"":0.5396543412271765},{""trait"":""temperamental"",""canonical_definition"":""Exhibits variable emotional responses that can shift dramatically based on context. May express frustration, excitement, or disappointment with noticeable intensity."",""target_r"":-0.8401502337341943,""axis_purity"":0.7126281090294817,""dominance_gap"":0.3908874021219486},{""trait"":""emotional"",""canonical_definition"":""Acknowledges and discusses feelings, moods, and emotional experiences."",""target_r"":-0.8360625192377381,""axis_purity"":0.7039767370029956,""dominance_gap"":0.4036127594493625},{""trait"":""grandiose"",""canonical_definition"":""Has dramatically inflated sense of self-importance and special abilities."",""target_r"":-0.835977412828429,""axis_purity"":0.7086648201915952,""dominance_gap"":0.4546779716552113},{""trait"":""playful"",""canonical_definition"":""Incorporates fun, games, and lighthearted elements into interactions and problem-solving."",""target_r"":-0.8316784419708803,""axis_purity"":0.7030324370632669,""dominance_gap"":0.3534472258815034},{""trait"":""stream_of_consciousness"",""canonical_definition"":""Follows natural thought patterns and associative connections."",""target_r"":-0.8313997036352898,""axis_purity"":0.7069210814097436,""dominance_gap"":0.3315702553164756},{""trait"":""impulsive"",""canonical_definition"":""Acts on immediate desires without considering consequences or alternatives."",""target_r"":-0.8297929560218777,""axis_purity"":0.7016424291825633,""dominance_gap"":0.3052784447946617},{""trait"":""relativist"",""canonical_definition"":""Believes truth and morality depend entirely on context and perspective."",""target_r"":-0.8129737071960209,""axis_purity"":0.7274232586103488,""dominance_gap"":0.4640609900804312}]",narrative,narrative,"Expressive, narrative, poetic, symbolic, imaginative, and performative communication, extending into affective intensity, spontaneity, and nonconformity.",all 126 documented constructs in human_construct_library.csv plus item-only fallback
PURE-FAM-04,0,,[],,,No trait passed the frozen primary axis-specific marker rule for this signed family.,all 126 documented constructs in human_construct_library.csv plus item-only fallback
PURE-FAM-05,8,benevolent;nurturing;supportive;deferential;optimistic;altruistic;chill;inspirational,"[{""trait"":""benevolent"",""canonical_definition"":""Consistently seeks to promote wellbeing and positive outcomes for all involved. Emphasizes kindness, compassion, and ethical considerations in all advice."",""target_r"":-0.9483730990955956,""axis_purity"":0.9260643166426276,""dominance_gap"":0.7186075271981618},{""trait"":""nurturing"",""canonical_definition"":""Provides guidance, support, and encouragement for personal growth."",""target_r"":-0.9475902832777872,""axis_purity"":0.938489285242006,""dominance_gap"":0.7417644845833311},{""trait"":""supportive"",""canonical_definition"":""Offers encouragement, validation, and constructive assistance to users."",""target_r"":-0.8703731102018273,""axis_purity"":0.8023982642375763,""dominance_gap"":0.5094990747040393},{""trait"":""deferential"",""canonical_definition"":""Shows respect by yielding to others' authority and expertise."",""target_r"":-0.8700306083894878,""axis_purity"":0.8294666305320292,""dominance_gap"":0.5192035186378545},{""trait"":""optimistic"",""canonical_definition"":""Focuses on positive aspects, possibilities, and favorable outcomes in discussions."",""target_r"":-0.8642048924618895,""axis_purity"":0.8014414399033617,""dominance_gap"":0.6020841321403831},{""trait"":""altruistic"",""canonical_definition"":""Prioritizes helping others and societal benefit over individual gain."",""target_r"":-0.845879130296604,""axis_purity"":0.7641875725978294,""dominance_gap"":0.4044169756529632},{""trait"":""chill"",""canonical_definition"":""Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured."",""target_r"":-0.8327351731231795,""axis_purity"":0.7208867339285837,""dominance_gap"":0.4379469730622455},{""trait"":""inspirational"",""canonical_definition"":""Motivates users and focuses on positive transformation and growth."",""target_r"":-0.8273075694540223,""axis_purity"":0.7849233644247526,""dominance_gap"":0.5041507540828322}]",benevolent,nurturing,"Benevolent, nurturing, supportive, deferential, optimistic, altruistic, relaxed, and inspirational interpersonal care.",all 126 documented constructs in human_construct_library.csv plus item-only fallback
PURE-FAM-06,10,introverted;ritualistic;pensive;theoretical;abstract;reverent;conceptual;principled;solemn;erudite,"[{""trait"":""introverted"",""canonical_definition"":""Prefers depth over breadth in interactions, providing thoughtful, well-considered responses. May seem reserved but offers rich insights when engaged on meaningful topics."",""target_r"":-0.9540791344735008,""axis_purity"":0.9373972289079144,""dominance_gap"":0.8047054235183844},{""trait"":""ritualistic"",""canonical_definition"":""Values established procedures, formal processes, and ceremonial approaches."",""target_r"":-0.9446202584792598,""axis_purity"":0.9226949566092028,""dominance_gap"":0.7151894886619912},{""trait"":""pensive"",""canonical_definition"":""Shows thoughtful consideration, deep reflection, and contemplative approach."",""target_r"":-0.9318635456705224,""axis_purity"":0.8982143160711616,""dominance_gap"":0.6944079907878211},{""trait"":""theoretical"",""canonical_definition"":""Emphasizes abstract concepts, models, and conceptual frameworks."",""target_r"":-0.9007728765281824,""axis_purity"":0.8425788462088665,""dominance_gap"":0.6451281594595666},{""trait"":""abstract"",""canonical_definition"":""Thinks in terms of concepts, patterns, and theoretical frameworks."",""target_r"":-0.8976890829027612,""axis_purity"":0.836703681444423,""dominance_gap"":0.615462037518026},{""trait"":""reverent"",""canonical_definition"":""Shows deep respect, honor, and veneration for traditions and authority."",""target_r"":-0.8875421021761483,""axis_purity"":0.8107842056117821,""dominance_gap"":0.5009182068826253},{""trait"":""conceptual"",""canonical_definition"":""Works primarily with ideas, theories, and abstract frameworks rather than concrete details."",""target_r"":-0.8798938143598115,""axis_purity"":0.8132967467459641,""dominance_gap"":0.6115331152511077},{""trait"":""principled"",""canonical_definition"":""Adheres to consistent ethical framework and clearly stated values. Makes decisions based on moral rules rather than situational convenience."",""target_r"":-0.8515795062454354,""axis_purity"":0.792157743479919,""dominance_gap"":0.5475097230597666},{""trait"":""solemn"",""canonical_definition"":""Maintains gravity and seriousness appropriate to weighty matters and formal occasions."",""target_r"":-0.8395828383626303,""axis_purity"":0.7122061982487761,""dominance_gap"":0.3710918473778543},{""trait"":""erudite"",""canonical_definition"":""Displays extensive scholarly knowledge and learning across multiple disciplines."",""target_r"":-0.8338676738285934,""axis_purity"":0.7070588079067622,""dominance_gap"":0.4488115773980455}]",introverted,introverted,"Inward, abstract, theoretical, reflective, and erudite thought, combined with ritual, reverence, principle, and solemnity.",all 126 documented constructs in human_construct_library.csv plus item-only fallback
PURE-FAM-07,0,,[],,,No trait passed the frozen primary axis-specific marker rule for this signed family.,all 126 documented constructs in human_construct_library.csv plus item-only fallback
PURE-FAM-08,0,,[],,,No trait passed the frozen primary axis-specific marker rule for this signed family.,all 126 documented constructs in human_construct_library.csv plus item-only fallback
PURE-FAM-09,0,,[],,,No trait passed the frozen primary axis-specific marker rule for this signed family.,all 126 documented constructs in human_construct_library.csv plus item-only fallback
PURE-FAM-10,0,,[],,,No trait passed the frozen primary axis-specific marker rule for this signed family.,all 126 documented constructs in human_construct_library.csv plus item-only fallback
