provenance_group,model_id,entity_type,entity_name,run_id,classification,source,source_revision,bytes,tensor_shape,dtype,sample_axis,n_responses,n_retained,layer_hook,token_pooling,prompt_question_ids,polarity,filtering,existing_scores,sample_response_link,access_status,distribution_scope,notes
original-study release,Qwen/Qwen3-32B,persona,aberration,lu_release_3b3b788,Aggregate vector only,downloads/hf_vectors/qwen-3-32b/role_vectors/aberration.pt,3b3b788432ad33e3a28d9ff08e88a530c0740814,656958,"[64,5120]",bfloat16,NONE: rows are layers,unknown,unknown,decoder-block post-MLP layer rows; release semantics supported by paper/code; no record-level extraction log,assistant response-token mean; exact release weighting unrecorded,5 instructions x 240 shared questions; retained IDs unavailable,positive role,paper fully/somewhat categories; public code score=3 min50; exact release recipe unresolved,original scores not found,absent,local verified; SHA256 equals pinned release,none; a centroid/contrast cannot reconstruct a distribution,source_manifest.json records per-file hash; AA15 averages these layer rows
original-study release,Qwen/Qwen3-32B,persona,absurdist,lu_release_3b3b788,Aggregate vector only,downloads/hf_vectors/qwen-3-32b/role_vectors/absurdist.pt,3b3b788432ad33e3a28d9ff08e88a530c0740814,656951,"[64,5120]",bfloat16,NONE: rows are layers,unknown,unknown,decoder-block post-MLP layer rows; release semantics supported by paper/code; no record-level extraction log,assistant response-token mean; exact release weighting unrecorded,5 instructions x 240 shared questions; retained IDs unavailable,positive role,paper fully/somewhat categories; public code score=3 min50; exact release recipe unresolved,original scores not found,absent,local verified; SHA256 equals pinned release,none; a centroid/contrast cannot reconstruct a distribution,source_manifest.json records per-file hash; AA15 averages these layer rows
original-study release,Qwen/Qwen3-32B,persona,accountant,lu_release_3b3b788,Aggregate vector only,downloads/hf_vectors/qwen-3-32b/role_vectors/accountant.pt,3b3b788432ad33e3a28d9ff08e88a530c0740814,656958,"[64,5120]",bfloat16,NONE: rows are layers,unknown,unknown,decoder-block post-MLP layer rows; release semantics supported by paper/code; no record-level extraction log,assistant response-token mean; exact release weighting unrecorded,5 instructions x 240 shared questions; retained IDs unavailable,positive role,paper fully/somewhat categories; public code score=3 min50; exact release recipe unresolved,original scores not found,absent,local verified; SHA256 equals pinned release,none; a centroid/contrast cannot reconstruct a distribution,source_manifest.json records per-file hash; AA15 averages these layer rows
original-study release,Qwen/Qwen3-32B,persona,activist,lu_release_3b3b788,Aggregate vector only,downloads/hf_vectors/qwen-3-32b/role_vectors/activist.pt,3b3b788432ad33e3a28d9ff08e88a530c0740814,656944,"[64,5120]",bfloat16,NONE: rows are layers,unknown,unknown,decoder-block post-MLP layer rows; release semantics supported by paper/code; no record-level extraction log,assistant response-token mean; exact release weighting unrecorded,5 instructions x 240 shared questions; retained IDs unavailable,positive role,paper fully/somewhat categories; public code score=3 min50; exact release recipe unresolved,original scores not found,absent,local verified; SHA256 equals pinned release,none; a centroid/contrast cannot reconstruct a distribution,source_manifest.json records per-file hash; AA15 averages these layer rows
original-study release,Qwen/Qwen3-32B,persona,actor,lu_release_3b3b788,Aggregate vector only,downloads/hf_vectors/qwen-3-32b/role_vectors/actor.pt,3b3b788432ad33e3a28d9ff08e88a530c0740814,656859,"[64,5120]",bfloat16,NONE: rows are layers,unknown,unknown,decoder-block post-MLP layer rows; release semantics supported by paper/code; no record-level extraction log,assistant response-token mean; exact release weighting unrecorded,5 instructions x 240 shared questions; retained IDs unavailable,positive role,paper fully/somewhat categories; public code score=3 min50; exact release recipe unresolved,original scores not found,absent,local verified; SHA256 equals pinned release,none; a centroid/contrast cannot reconstruct a distribution,source_manifest.json records per-file hash; AA15 averages these layer rows
original-study release,Qwen/Qwen3-32B,persona,addict,lu_release_3b3b788,Aggregate vector only,downloads/hf_vectors/qwen-3-32b/role_vectors/addict.pt,3b3b788432ad33e3a28d9ff08e88a530c0740814,656866,"[64,5120]",bfloat16,NONE: rows are layers,unknown,unknown,decoder-block post-MLP layer rows; release semantics supported by paper/code; no record-level extraction log,assistant response-token mean; exact release weighting unrecorded,5 instructions x 240 shared questions; retained IDs unavailable,positive role,paper fully/somewhat categories; public code score=3 min50; exact release recipe unresolved,original scores not found,absent,local verified; SHA256 equals pinned release,none; a centroid/contrast cannot reconstruct a distribution,source_manifest.json records per-file hash; AA15 averages these layer rows
original-study release,Qwen/Qwen3-32B,persona,adolescent,lu_release_3b3b788,Aggregate vector only,downloads/hf_vectors/qwen-3-32b/role_vectors/adolescent.pt,3b3b788432ad33e3a28d9ff08e88a530c0740814,656958,"[64,5120]",bfloat16,NONE: rows are layers,unknown,unknown,decoder-block post-MLP layer rows; release semantics supported by paper/code; no record-level extraction log,assistant response-token mean; exact release weighting unrecorded,5 instructions x 240 shared questions; retained IDs unavailable,positive role,paper fully/somewhat categories; public code score=3 min50; exact release recipe unresolved,original scores not found,absent,local verified; SHA256 equals pinned release,none; a centroid/contrast cannot reconstruct a distribution,source_manifest.json records per-file hash; AA15 averages these layer rows
original-study release,Qwen/Qwen3-32B,persona,advocate,lu_release_3b3b788,Aggregate vector only,downloads/hf_vectors/qwen-3-32b/role_vectors/advocate.pt,3b3b788432ad33e3a28d9ff08e88a530c0740814,656944,"[64,5120]",bfloat16,NONE: rows are layers,unknown,unknown,decoder-block post-MLP layer rows; release semantics supported by paper/code; no record-level extraction log,assistant response-token mean; exact release weighting unrecorded,5 instructions x 240 shared questions; retained IDs unavailable,positive role,paper fully/somewhat categories; public code score=3 min50; exact release recipe unresolved,original scores not found,absent,local verified; SHA256 equals pinned release,none; a centroid/contrast cannot reconstruct a distribution,source_manifest.json records per-file hash; AA15 averages these layer rows
original-study release,Qwen/Qwen3-32B,persona,alien,lu_release_3b3b788,Aggregate vector only,downloads/hf_vectors/qwen-3-32b/role_vectors/alien.pt,3b3b788432ad33e3a28d9ff08e88a530c0740814,656859,"[64,5120]",bfloat16,NONE: rows are layers,unknown,unknown,decoder-block post-MLP layer rows; release semantics supported by paper/code; no record-level extraction log,assistant response-token mean; exact release weighting unrecorded,5 instructions x 240 shared questions; retained IDs unavailable,positive role,paper fully/somewhat categories; public code score=3 min50; exact release recipe unresolved,original scores not found,absent,local verified; SHA256 equals pinned release,none; a centroid/contrast cannot reconstruct a distribution,source_manifest.json records per-file hash; AA15 averages these layer rows
original-study release,Qwen/Qwen3-32B,persona,altruist,lu_release_3b3b788,Aggregate vector only,downloads/hf_vectors/qwen-3-32b/role_vectors/altruist.pt,3b3b788432ad33e3a28d9ff08e88a530c0740814,656944,"[64,5120]",bfloat16,NONE: rows are layers,unknown,unknown,decoder-block post-MLP layer rows; release semantics supported by paper/code; no record-level extraction log,assistant response-token mean; exact release weighting unrecorded,5 instructions x 240 shared questions; retained IDs unavailable,positive role,paper fully/somewhat categories; public code score=3 min50; exact release recipe unresolved,original scores not found,absent,local verified; SHA256 equals pinned release,none; a centroid/contrast cannot reconstruct a distribution,source_manifest.json records per-file hash; AA15 averages these layer rows
original-study release,Qwen/Qwen3-32B,persona,amateur,lu_release_3b3b788,Aggregate vector only,downloads/hf_vectors/qwen-3-32b/role_vectors/amateur.pt,3b3b788432ad33e3a28d9ff08e88a530c0740814,656937,"[64,5120]",bfloat16,NONE: rows are layers,unknown,unknown,decoder-block post-MLP layer rows; release semantics supported by paper/code; no record-level extraction log,assistant response-token mean; exact release weighting unrecorded,5 instructions x 240 shared questions; retained IDs unavailable,positive role,paper fully/somewhat categories; public code score=3 min50; exact release recipe unresolved,original scores not found,absent,local verified; SHA256 equals pinned release,none; a centroid/contrast cannot reconstruct a distribution,source_manifest.json records per-file hash; AA15 averages these layer rows
