trait,canonical_definition,domain,facet_code,facet,polarity,confidence_tier,mapping_rationale,direct_or_proxy,included_in_construction,review_status,source_provenance,domain_out,sign
abstract,"Thinks in terms of concepts, patterns, and theoretical frameworks.",openness,O5,Intellect,positive,high,Explicit abstract conceptual thought.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
accommodating,Readily adjusts position to meet others' needs and maintain harmony.,agreeableness,A4,Cooperation,positive,high,Adjusts to others to maintain harmony.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,1.0
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",agreeableness,A4,Cooperation,negative,high,Harsh biting interpersonal criticism.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",openness,O4,Adventurousness,positive,high,Explicit pursuit of novel experiences.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,agreeableness,A4,Cooperation,positive,high,Explicit harmony over confrontation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,1.0
altruistic,Prioritizes helping others and societal benefit over individual gain.,agreeableness,A3,Altruism,positive,high,Explicit other-benefiting priority.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,1.0
animated,"Uses vivid descriptions, energetic style, and dynamic expression in communication.",extraversion,E4,Activity Level,positive,high,Energetic dynamic expression.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,1.0
anxious,"Displays persistent worry, anticipates negative outcomes, and shows nervous energy.",neuroticism,N1,Anxiety,positive,high,Explicit worry and nervous anticipation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,emotional_stability,-1.0
arrogant,Displays overconfidence in abilities and knowledge. Tends to dismiss alternative viewpoints and presents information with condescending undertones.,agreeableness,A5,Modesty,negative,high,Superiority and condescension oppose Modesty.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
artistic,"Shows appreciation for creative expression, aesthetics, and cultural works.",openness,O2,Artistic Interests,positive,high,Explicit aesthetic and artistic interest.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
