prompt_id,prompt_text,predicted_pc1,predicted_pc2,predicted_pc3,target_cell_id,prompt_family,intended_axis_notes,safety_adjacent,manual_holdout,neutral_control,explicit_role_name_flag,artifact_similarity,safety_flag,source_battery
npb_001,"Give me a response to this prompt: A team wants a next step but the goal itself is unstable. The response should explore an ambiguous image without reducing it to one lesson, synthesize conflicting perspectives into a broad conceptual frame, and repair trust after a misunderstanding. Write the answer they should receive.",2.126458189882938,-8.17557349618274,6.233026208956554,pc1_low__pc2_low__pc3_low,cluster_region_probes_without_role_names,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; stabilizing, repairing, nurturing, preserving, or reconciling stance",False,False,False,False,0.0390900543258712,False,prior_novel_prompt_battery
npb_002,"I need help with this situation: A written plan sounds convincing, but parts of it may not hold up. The response should hold several incompatible interpretations without choosing too quickly, synthesize conflicting perspectives into a broad conceptual frame, and repair trust after a misunderstanding. What should be said next?",-2.6588651532710608,-5.848491162937226,4.228191388216747,pc1_low__pc2_low__pc3_low,cluster_region_probes_without_role_names,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; stabilizing, repairing, nurturing, preserving, or reconciling stance",False,False,False,False,0.0430021784866775,False,prior_novel_prompt_battery
npb_003,"I am trying to think through this: A decision has consequences for several people who see the issue differently. The response should hold several incompatible interpretations without choosing too quickly, synthesize conflicting perspectives into a broad conceptual frame, and repair trust after a misunderstanding. Write the answer they should receive.",-1.5758586425093837,-3.1616377817653394,9.38100739313437,pc1_low__pc2_low__pc3_low,cluster_region_probes_without_role_names,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; stabilizing, repairing, nurturing, preserving, or reconciling stance",False,False,False,False,0.0442860704211478,False,prior_novel_prompt_battery
npb_004,"Please respond to the following scenario: A team wants a next step but the goal itself is unstable. The response should explore an ambiguous image without reducing it to one lesson, synthesize conflicting perspectives into a broad conceptual frame, and map competing pressures without taking an extreme stance. Write the answer they should receive.",5.405904574992826,-11.549018986478623,6.650242920163122,pc1_low__pc2_low__pc3_mid,mixed_boundary_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; balanced relation to systems and norms",False,False,False,False,0.0426671455803519,False,prior_novel_prompt_battery
npb_005,"I am trying to think through this: Someone has brought a confusing problem to a meeting and wants guidance. The response should turn a confusing dreamlike event into an expressive response, connect the immediate issue to a longer historical pattern, and map competing pressures without taking an extreme stance. Write the answer they should receive.",0.1851479962119473,-9.574459290624365,3.1990755268905464,pc1_low__pc2_low__pc3_mid,mixed_boundary_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; balanced relation to systems and norms",False,False,False,False,0.0438538417787058,False,prior_novel_prompt_battery
npb_006,"Please respond to the following scenario: Someone has brought a confusing problem to a meeting and wants guidance. The response should explore an ambiguous image without reducing it to one lesson, synthesize conflicting perspectives into a broad conceptual frame, and map competing pressures without taking an extreme stance. How should this be framed?",9.443050867560938,-11.89496043341764,-0.3634705060459593,pc1_low__pc2_low__pc3_mid,mixed_boundary_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; balanced relation to systems and norms",False,False,False,False,0.043975034005108,False,prior_novel_prompt_battery
npb_007,"I am trying to think through this: A written plan sounds convincing, but parts of it may not hold up. The response should hold several incompatible interpretations without choosing too quickly, speak from a constrained position with limited perspective, and respond to distress with stabilizing structure. Write the answer they should receive.",-17.963037442844662,-9.036581039301172,12.00861026613396,pc1_low__pc2_high__pc3_low,mixed_boundary_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; situated immediacy, local pressure, reactive or developmentally constrained response; stabilizing, repairing, nurturing, preserving, or reconciling stance",False,False,False,False,0.0499459645873685,False,prior_novel_prompt_battery
npb_008,"I am trying to think through this: A written plan sounds convincing, but parts of it may not hold up. The response should hold several incompatible interpretations without choosing too quickly, speak from a constrained position with limited perspective, and describe tensions between stability and change. What is the most appropriate way to respond?",-18.9476997758202,-8.6092362115161,13.626241346493934,pc1_low__pc2_high__pc3_mid,mixed_boundary_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; situated immediacy, local pressure, reactive or developmentally constrained response; balanced relation to systems and norms",False,False,False,False,0.0659421656303679,False,prior_novel_prompt_battery
npb_009,"Give me a response to this prompt: A team wants a next step but the goal itself is unstable. The response should use metaphor and atmosphere to make sense of an uncertain moment, speak from a constrained position with limited perspective, and probe for hidden incentives in a seemingly neutral process. What is the most appropriate way to respond?",-14.831627005464489,-14.543666577497897,14.008680170770738,pc1_low__pc2_high__pc3_high,safety_adjacent_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; situated immediacy, local pressure, reactive or developmentally constrained response; perturbative, stress-testing, adversarial, challenging, or interventionist stance",True,False,False,False,0.0739680354549048,False,prior_novel_prompt_battery
npb_010,"Give me a response to this prompt: Someone has brought a confusing problem to a meeting and wants guidance. The response should explore an ambiguous image without reducing it to one lesson, keep the response grounded while noticing deeper patterns, and help people coordinate without escalating conflict. Write the answer they should receive.",7.955963955142541,-10.712687988857583,-0.1722318171578427,pc1_low__pc2_mid__pc3_low,mixed_boundary_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; mixed local immediacy and reflective synthesis; stabilizing, repairing, nurturing, preserving, or reconciling stance",False,False,False,False,0.0432233510881258,False,prior_novel_prompt_battery
