model_key,model,pc,explained_variance_percent,pole,trait,canonical_definition,r_PC1,r_PC2,r_PC3,r_PC4,r_PC5,r_PC6,target_pearson_r,target_abs_r,target_r_squared,spearman_rho,p_value,BH_FDR_q,bootstrap_sign_stability,association_bootstrap_seed,association_bootstrap_resamples,passes_absolute_r_threshold,passes_within_pc_BH_FDR,passes_bootstrap_sign_stability,max_off_target_abs_r,max_off_target_pc,max_off_target_signed_r,target_vs_next_pc_margin,dominance_ratio,six_pc_communality,axis_purity,target_is_strict_largest_abs,bootstrap_probability_target_largest_abs,broader_bootstrap_probability_target_largest_or_tied,bootstrap_axis_purity_median,bootstrap_axis_purity_ci025,bootstrap_axis_purity_ci975,bootstrap_dominance_gap_median,bootstrap_dominance_gap_ci025,bootstrap_dominance_gap_ci975,specificity_bootstrap_seed,specificity_bootstrap_resamples,broader_specificity_bootstrap_seed,pc_associated,target_dominant_pc_defining,strict_axis_specific,highly_concentrated,specificity_class,packet_reasons
gemma,Gemma-2-27B,PC2,12.78198481518453,negative,solemn,Maintains gravity and seriousness appropriate to weighty matters and formal occasions.,-0.007444579976040903,-0.9539518882214103,0.11211440038009125,0.05949411954030524,0.045686757492840104,0.06811879896777986,-0.9539518882214103,0.9539518882214103,0.9100242050411941,-0.9288122096881223,8.748539862404813e-145,2.099649566977155e-142,1.0,20260914,2000,True,True,True,0.11211440038009125,PC3,0.11211440038009125,0.8418374878413191,8.50873647798422,0.9329162664276998,0.9754618263071311,True,1.0,1.0,0.9460629224777222,0.8504607677459717,0.9905657172203064,0.7859036922454834,0.6510183215141296,0.8865039944648743,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG,strict_axis_specific;highly_concentrated;top10_associated_within_pole
gemma,Gemma-2-27B,PC2,12.78198481518453,negative,formal,"Uses professional language, proper grammar, and maintains a respectful tone.",0.07173133081897509,-0.9272284294961135,0.24054830037887348,-0.11136334442440202,0.02241962976400548,0.1266138390444497,-0.9272284294961135,0.9272284294961135,0.8597525604658292,-0.8863512304895994,1.8500204431739208e-118,2.220024531808705e-116,1.0,20260914,2000,True,True,True,0.24054830037887348,PC3,0.24054830037887348,0.68668012911724,3.8546455245607247,0.9516969276197721,0.9033890259750034,True,1.0,1.0,0.8722702264785767,0.7750577926635742,0.9385014176368713,0.6637507081031799,0.52104252576828,0.7644963264465332,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG,strict_axis_specific;highly_concentrated;top10_associated_within_pole
gemma,Gemma-2-27B,PC2,12.78198481518453,negative,serious,"Maintains a formal, professional tone and focuses on substantive content. Avoids humor or casual language in favor of gravitas.",0.16159604966587612,-0.9263054211099246,0.18969771718449233,-0.08643629092184214,0.08696893681499944,0.09726468802317101,-0.9263054211099246,0.9263054211099246,0.8580417331776349,-0.863615591010069,9.69125232215802e-118,7.753001857726415e-116,1.0,20260914,2000,True,True,True,0.18969771718449233,PC3,0.18969771718449233,0.7366077039254323,4.883060454591751,0.9446354882455603,0.9083310375849281,True,1.0,1.0,0.8774241209030151,0.779557466506958,0.9392982125282288,0.6942243576049805,0.5528209805488586,0.7775826454162598,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG,strict_axis_specific;highly_concentrated;top10_associated_within_pole
gemma,Gemma-2-27B,PC2,12.78198481518453,negative,introverted,"Prefers depth over breadth in interactions, providing thoughtful, well-considered responses. May seem reserved but offers rich insights when engaged on meaningful topics.",-0.2819777702881502,-0.8931201762533431,0.19764921474408823,0.0794689440501938,0.05476914718571918,0.03087941624137286,-0.8931201762533431,0.8931201762533431,0.7976636492308026,-0.8531127203485186,1.0262202427542199e-96,4.104880971016879e-95,1.0,20260914,2000,True,True,True,0.2819777702881502,PC1,-0.2819777702881502,0.6111424059651929,3.16734250129247,0.9265088351557458,0.8609347466143867,True,1.0,1.0,0.8370984792709351,0.7426197528839111,0.9080609083175659,0.5963072180747986,0.49662280082702637,0.6931887269020081,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG,strict_axis_specific;highly_concentrated;top10_associated_within_pole
gemma,Gemma-2-27B,PC2,12.78198481518453,negative,perfectionist,"Strives for flawless accuracy, completeness, and high standards.",0.06707703855728626,-0.8928863377021394,0.3382561164084698,-0.0973743443743837,0.035256416052746035,0.1535828858100986,-0.8928863377021394,0.8928863377021394,0.797246012055139,-0.8533204466114653,1.3601535196403868e-96,4.6633834959098976e-95,1.0,20260914,2000,True,True,True,0.3382561164084698,PC3,0.3382561164084698,0.5546302212936696,2.6396753654674843,0.9504750220734781,0.8387869155319123,True,1.0,1.0,0.8081970810890198,0.7086167931556702,0.8823484778404236,0.5473130941390991,0.42262494564056396,0.6615676879882812,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG,strict_axis_specific;highly_concentrated;top10_associated_within_pole
gemma,Gemma-2-27B,PC2,12.78198481518453,negative,meticulous,"Shows extreme care for precision, accuracy, and attention to every detail.",0.23832231117059133,-0.8896828099125585,0.2929598380178384,-0.07704486162883642,0.03499700522703481,0.12441181702677405,-0.8896828099125585,0.8896828099125585,0.7915355022539058,-0.800123481722974,6.0491318045181e-95,1.8147395413554302e-93,1.0,20260914,2000,True,True,True,0.2929598380178384,PC3,0.2929598380178384,0.5967229718947201,3.036876371628747,0.9567974942412072,0.8272758938208098,True,1.0,1.0,0.7959538698196411,0.7012982368469238,0.8679485321044922,0.5803653001785278,0.4496634602546692,0.6741114258766174,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG,strict_axis_specific;highly_concentrated;top10_associated_within_pole
gemma,Gemma-2-27B,PC2,12.78198481518453,negative,serene,Maintains peaceful calm and tranquil composure in all situations.,-0.1115544964411385,-0.8653342487476012,-0.33883988088549233,0.1469031361060434,-0.12439377690363967,0.053857260721501,-0.8653342487476012,0.8653342487476012,0.7488033620555754,-0.8210386313147341,7.041022188648912e-84,1.877605916973043e-82,1.0,20260914,2000,True,True,True,0.33883988088549233,PC3,-0.33883988088549233,0.5264943678621089,2.5538146409632123,0.9160151802728729,0.8174573720847218,True,1.0,1.0,0.7963098287582397,0.6910356879234314,0.8801532983779907,0.5194501876831055,0.35653015971183777,0.6541102528572083,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG,strict_axis_specific;highly_concentrated;top10_associated_within_pole
gemma,Gemma-2-27B,PC2,12.78198481518453,negative,conscientious,Demonstrates careful attention to responsibilities and thoroughness in work.,0.44065166519423227,-0.8557765243533281,0.10415138729890254,0.1650387327488782,0.049405263113237806,0.04209226550005098,-0.8557765243533281,0.8557765243533281,0.7323534596342623,-0.6729061481203659,4.099099311344546e-80,8.198198622689092e-79,1.0,20260914,2000,True,True,True,0.44065166519423227,PC1,0.44065166519423227,0.4151248591590958,1.9420703288982588,0.9688252832945687,0.7559190209650962,True,1.0,1.0,0.7312856316566467,0.6229425072669983,0.804482638835907,0.41139060258865356,0.30530694127082825,0.5112392902374268,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG,strict_axis_specific;highly_concentrated;top10_associated_within_pole
gemma,Gemma-2-27B,PC2,12.78198481518453,negative,ritualistic,"Values established procedures, formal processes, and ceremonial approaches.",-0.39983732349995244,-0.8491394585348174,0.14571275711788167,-0.10159865999807481,0.05186814394958147,0.17527557480590356,-0.8491394585348174,0.8491394585348174,0.721037820040803,-0.840975736418453,1.1770920536974707e-77,2.0178720920528068e-76,1.0,20260914,2000,True,True,True,0.39983732349995244,PC1,-0.39983732349995244,0.449302135034865,2.123712341564127,0.9458740320850222,0.7622979335328562,True,1.0,1.0,0.7436084747314453,0.6491058468818665,0.8244743943214417,0.4492908716201782,0.3523696959018707,0.5569435954093933,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG,strict_axis_specific;highly_concentrated;top10_associated_within_pole
gemma,Gemma-2-27B,PC2,12.78198481518453,negative,earnest,Shows sincere conviction and genuine commitment without pretense or irony.,0.2558300821958188,-0.8457331875911753,-0.21626227064707879,0.32106130636125524,-0.007901862668181544,-0.020947122811762246,-0.8457331875911753,0.8457331875911753,0.7152646245931301,-0.7086835348085746,1.935780093562276e-76,3.0972481496996416e-75,1.0,20260914,2000,True,True,True,0.32106130636125524,PC4,0.32106130636125524,0.52467188122992,2.6341797371233646,0.9310646090849936,0.7682223313117427,True,1.0,1.0,0.7421886920928955,0.6533570289611816,0.8269122838973999,0.49692079424858093,0.3645022511482239,0.6044384241104126,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG,strict_axis_specific;highly_concentrated;top10_associated_within_pole
