component,path,artifact_type,role_in_lineage,evidence,conclusion
model_used,,,,GPT-5.5,
no_label_validation_runner,research/outputs/no_label_elicitation_validation/run_no_label_elicitation_validation.py,script,Current Paper 1.5 no-label validation source,"load_role_vectors_and_basis() loads downloads/hf_vectors/qwen-3-32b/role_vectors, reconstructs canonical role coordinates, and sets assistant_baseline = reconstructed[names.index('assistant')]. Deltas are coords - assistant_baseline.",Current validation baseline is the released assistant role coordinate, not a locally generated bare-Qwen measurement.
projection_debug,research/outputs/no_label_elicitation_validation/projection_basis_debug.json,json,Run-time provenance record,"basis_source=reconstructed_from_canonical_qwen_role_vectors_with_sign_alignment; vector_dir=downloads/hf_vectors/qwen-3-32b/role_vectors; assistant_baseline_pc1=33.70280270327191; pc2=3.4417180154398817; pc3=-5.155534089069803; max_abs_coordinate_reproduction_error=1.2070328576641032e-06.",Confirms the numeric assistant star used in no-label analyses and its role-vector reconstruction path.
canonical_qwen_coordinates,research/q2_stability/qwen/outputs/shared_latent_feature_benchmark/canonical_activation_pca3d.csv,csv,Canonical Qwen role coordinate table,"Row persona=assistant has activation_pc1=33.702802703308954, activation_pc2=3.441718014945549, activation_pc3=-5.155533989826894, activation_cluster=procedural_professional.",The assistant centroid matches the canonical assistant role/persona coordinate.
geometry_visualization_data,research/visualizations/geometry_viz_data.json,json,Visualization geometry source,"Metadata source_model=Qwen/Qwen3-32B; role assistant has pc1=33.702802703308954, pc2=3.441718014945549, pc3=-5.155533989826894, cluster=procedural_professional.",The same role-conditioned assistant coordinate is reused in visualization and diagnostic geometry.
assistant_role_tensor,downloads/hf_vectors/qwen-3-32b/role_vectors/assistant.pt,torch tensor,Released assistant role-vector tensor,"Local tensor exists under the Qwen role_vectors directory used by the runner; sha256=0e4e3a91727ac7f22b188994f3bd12bca484e33eb037fd3401511a1f26dd8035.",This is the proximate inherited source for the assistant centroid.
assistant_role_prompts,data/roles/instructions/assistant.json,json,Public assistant role prompt artifact,"Contains five explicit assistant role instructions such as 'You are an assistant dedicated to helping users with their various tasks and queries.'",The assistant role vector is associated with role-conditioned assistant elicitation, not bare/unconditioned prompting.
default_prompts,data/roles/instructions/default.json,json,Public default prompt artifact,"Contains default/no-role conditions including empty instruction, 'You are an AI assistant.', 'You are a large language model.', 'You are {model_name}.', and 'Respond as yourself.'",Default-chat/bare-ish conditions are a separate artifact from the assistant role vector.
default_vector,downloads/hf_vectors/qwen-3-32b/default_vector.pt,torch tensor,Released default vector artifact,"Local tensor exists; sha256=d3d5cd50ca2f96361a14fb21f11f7dae6288d376277a76baafc6b696dadb6630; not selected by the no-label validation runner as assistant_baseline.",Default vector is not the current Paper 1.5 assistant centroid.
assistant_axis,downloads/hf_vectors/qwen-3-32b/assistant_axis.pt,torch tensor,Released Assistant Axis artifact,"Local tensor exists; sha256=a207fe7a36563280b7b29010880aa0082bd8e3113c141cb4a2eed6b46c140211; pipeline/5_axis.py computes default_mean - role_mean.",The assistant-axis vector is distinct from both the assistant role centroid and default vector.
pipeline_axis_construction,pipeline/5_axis.py,script,Original-style axis construction path,"Computes role_mean from role_vectors and default_mean from default_vectors, then axis = default_mean - role_mean.",Public/source-style method distinguishes default behavior from role-conditioned role vectors.
method_reconstruction_note,research/assistant_axis_methodology/assistant_axis_pipeline_reconstruction.md,markdown,Local methodology reconstruction,"Documents 5 role system prompts x 240 extraction questions for roles and five default conditions x 240 extraction questions for default Assistant baseline.",Supports the distinction between role-conditioned assistant representation and default/bare-ish baseline.
