model_trait,model_trait_description,outcome_id,outcome_description,outcome_content,mapping_tier,sapa_proxy_construct,sapa_source_scales,sapa_item_ids,human_measurement_support_tier,exact_source_group,exact_source_group_size,overlap_item_ids,predictor_min_observed_items,outcome_min_observed_items,eligible_respondent_n,pearson_r,pearson_ci95_low,pearson_ci95_high,spearman_r,spearman_ci95_approx_low,spearman_ci95_approx_high,association_status,unavailable_reason
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",HiFWB_composite,frozen_13_item_composite,Composite,close,acerbic,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,q_1051,INSUFFICIENT,971fdb1c2900,1,,1,2,1243,-0.02554261,-0.08102937,0.03010197,-0.02164022,-0.07714922,0.03400253,observed,
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",q_2765,Am happy with my life.,Appraisal,close,acerbic,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,q_1051,INSUFFICIENT,971fdb1c2900,1,,1,1,384,-0.13162475,-0.22868824,-0.03196999,-0.14040949,-0.237153,-0.04090844,observed,
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",q_1371,Love life.,Appraisal,close,acerbic,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,q_1051,INSUFFICIENT,971fdb1c2900,1,,1,1,406,-0.05277182,-0.1493286,0.0447819,-0.03629239,-0.13314583,0.06124766,observed,
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",q_1043,Have a lot of fun.,Affect,close,acerbic,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,q_1051,INSUFFICIENT,971fdb1c2900,1,,1,1,354,0.0401531,-0.06435139,0.14378646,0.028686,-0.07577573,0.13252489,observed,
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",q_208,Am often in a bad mood.,Affect,close,acerbic,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,q_1051,INSUFFICIENT,971fdb1c2900,1,,1,1,397,-0.15109517,-0.24586085,-0.0534684,-0.15072063,-0.24550072,-0.05308622,observed,
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",q_206,Am often down in the dumps.,Affect,close,acerbic,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,q_1051,INSUFFICIENT,971fdb1c2900,1,,1,1,401,-0.05644901,-0.15352955,0.04171082,-0.05099302,-0.14818229,0.0471718,observed,
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",q_1578,Rarely feel depressed.,Affect,close,acerbic,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,q_1051,INSUFFICIENT,971fdb1c2900,1,,1,1,393,0.03001258,-0.06911467,0.12855298,0.01386348,-0.08517539,0.11263107,observed,
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",q_875,Feel that my life lacks direction.,Meaning-making,close,acerbic,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,q_1051,INSUFFICIENT,971fdb1c2900,1,,1,1,425,-0.07132221,-0.16532172,0.02396145,-0.0681546,-0.16222401,0.02714246,observed,
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",q_285,Am very pleased with myself.,Self-concept,close,acerbic,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,q_1051,INSUFFICIENT,971fdb1c2900,1,,1,1,427,0.03555947,-0.05953929,0.13001856,0.03469566,-0.06040105,0.12916822,observed,
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",q_820,Feel comfortable with myself.,Self-concept,close,acerbic,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,q_1051,INSUFFICIENT,971fdb1c2900,1,,1,1,367,0.09958392,-0.00281493,0.19991605,0.09580329,-0.00663191,0.19624876,observed,
