model_key,model,pc,pole,trait,canonical_definition,r_PC1,r_PC2,r_PC3,r_PC4,r_PC5,r_PC6,target_pearson_r,target_abs_r,target_r_squared,spearman_rho,p_value,BH_FDR_q,bootstrap_sign_stability,association_bootstrap_seed,association_bootstrap_resamples,passes_absolute_r_threshold,passes_within_pc_BH_FDR,passes_bootstrap_sign_stability,max_off_target_abs_r,max_off_target_pc,max_off_target_signed_r,target_vs_next_pc_margin,dominance_ratio,six_pc_communality,axis_purity,target_is_strict_largest_abs,bootstrap_probability_target_largest_abs,broader_bootstrap_probability_target_largest_or_tied,bootstrap_axis_purity_median,bootstrap_axis_purity_ci025,bootstrap_axis_purity_ci975,bootstrap_dominance_gap_median,bootstrap_dominance_gap_ci025,bootstrap_dominance_gap_ci975,specificity_bootstrap_seed,specificity_bootstrap_resamples,broader_specificity_bootstrap_seed,pc_associated,target_dominant_pc_defining,strict_axis_specific,highly_concentrated,specificity_class
gemma,Gemma-2-27B,PC1,negative,enigmatic,"Maintains mystery and ambiguity in communication, resisting clear interpretation.",-0.9909202773640183,-0.03535168456354504,0.006106956203869761,0.05284533136603435,-0.017650240812826592,-0.02547048071396117,-0.9909202773640183,0.9909202773640183,0.981922996091183,-0.9903747727993999,6.097529882859139e-240,1.4634071718861932e-237,1.0,20260913,2000,True,True,True,0.05284533136603435,PC4,0.05284533136603435,0.938074945997984,18.751330566940478,0.9869629380424765,0.9948934840843269,True,1.0,1.0,0.9808391332626343,0.9396970868110657,0.9963120222091675,0.8892223834991455,0.7938127517700195,0.9461876749992371,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
gemma,Gemma-2-27B,PC1,negative,ethereal,"Maintains otherworldly, delicate quality that seems barely connected to reality.",-0.9787421403702293,-0.14780973317824783,-0.04688385198642056,0.019995474482207874,-0.06068680499698162,-0.05663934933972182,-0.9787421403702293,0.9787421403702293,0.9579361773364977,-0.9822532529355762,7.182342980677027e-190,5.745874384541622e-188,1.0,20260913,2000,True,True,True,0.14780973317824783,PC2,-0.14780973317824783,0.8309324071919815,6.621635255845684,0.9892727133299445,0.9683236628573669,True,1.0,1.0,0.9552813768386841,0.9063721299171448,0.9856061935424805,0.821631133556366,0.7381698489189148,0.8953943252563477,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
gemma,Gemma-2-27B,PC1,negative,cryptic,Communicates in deliberately puzzling ways that require interpretation.,-0.9743753331160352,-0.17200887823574262,0.05336125204273595,0.06488236401320832,-0.004253315600421473,0.011731072285764643,-0.9743753331160352,0.9743753331160352,0.9494072897849846,-0.9697129338449555,6.348265936634402e-179,3.8089595619806415e-177,1.0,20260913,2000,True,True,True,0.17200887823574262,PC2,-0.17200887823574262,0.8023664548802926,5.664680469461748,0.9862071971069847,0.9626854200314582,True,1.0,1.0,0.9499995708465576,0.9062904119491577,0.9792839288711548,0.799140989780426,0.7119174003601074,0.8733754754066467,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
gemma,Gemma-2-27B,PC1,negative,fatalistic,"Accepts circumstances as predetermined or beyond control, emphasizing destiny over agency.",-0.9734815861983462,-0.15919240160633366,0.07726143198650516,-0.05816604493811762,0.00671434549214486,-0.004374587454715467,-0.9734815861983462,0.9734815861983462,0.9476663986672482,-0.9699627823778888,6.4357769916578065e-177,3.0891729559957467e-175,1.0,20260913,2000,True,True,True,0.15919240160633366,PC2,-0.15919240160633366,0.8142891845920126,6.115125950581897,0.9824254565035758,0.9646191396953067,True,1.0,1.0,0.9520872831344604,0.8972961902618408,0.9823358058929443,0.807623565196991,0.7201837301254272,0.8811576962471008,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
gemma,Gemma-2-27B,PC1,negative,melodramatic,Expresses ideas with exaggerated emotion and theatrical intensity.,-0.9677435530192321,0.05397833412105369,0.08946838955877412,0.07116089992983671,-0.0830402342941364,0.0703132538484353,-0.9677435530192321,0.9677435530192321,0.9365275844102873,-0.9728847984766741,1.7801226460616247e-165,7.120490584246499e-164,1.0,20260913,2000,True,True,True,0.08946838955877412,PC3,0.08946838955877412,0.878275163460458,10.816597435047113,0.9643493455522156,0.9711497070327799,True,1.0,1.0,0.9577383995056152,0.897904098033905,0.990369439125061,0.8274779319763184,0.7372297048568726,0.9025853872299194,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
gemma,Gemma-2-27B,PC1,negative,dramatic,Uses emotionally charged language and vivid descriptions. Tends to present information with heightened intensity and theatrical flair.,-0.9668326094522219,0.029310566332838545,0.059638676622390314,0.15167745705464175,-0.0872331923119657,0.023914029933539995,-0.9668326094522219,0.9668326094522219,0.9347652947001928,-0.9712241424078937,7.487602901457358e-164,2.5671781376425226e-162,1.0,20260913,2000,True,True,True,0.15167745705464175,PC4,0.15167745705464175,0.8151551523975802,6.374267002010199,0.9703687373953759,0.9633093675392425,True,1.0,1.0,0.950043797492981,0.893821656703949,0.982323944568634,0.8030765056610107,0.7045289874076843,0.8702282309532166,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
gemma,Gemma-2-27B,PC1,negative,romantic,"Emphasizes emotion, imagination, and idealized views over rational analysis.",-0.9664301192880436,0.00937395987883619,-0.10785902041208906,0.13068686731079995,-0.14833246861801763,-0.01433422975791055,-0.9664301192880436,0.9664301192880436,0.9339871754671021,-0.9708571593433544,3.7795849053549044e-163,1.1338754716064713e-161,1.0,20260913,2000,True,True,True,0.14833246861801763,PC5,-0.14833246861801763,0.8180976506700259,6.515297212350536,0.984995663551746,0.9482145049240979,True,1.0,1.0,0.9342958331108093,0.8652490973472595,0.9775710105895996,0.7868589758872986,0.6876967549324036,0.8651334643363953,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
gemma,Gemma-2-27B,PC1,negative,poetic,"Uses lyrical language, imagery, and rhythmic patterns to convey meaning.",-0.9642649686108158,0.006471290570021396,-0.10147106059256748,0.12896527595829288,-0.06686524126821586,0.020194584868398095,-0.9642649686108158,0.9642649686108158,0.9298069296900175,-0.972596866795534,1.6531382111005243e-159,4.408368562934731e-158,1.0,20260913,2000,True,True,True,0.12896527595829288,PC4,0.12896527595829288,0.8352996926525229,7.476934868287005,0.961656007580302,0.9668810077208144,True,1.0,1.0,0.9525458812713623,0.8922450542449951,0.9867603778839111,0.8121806383132935,0.7058987617492676,0.8883897066116333,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
gemma,Gemma-2-27B,PC1,negative,mystical,Embraces ineffable experiences and truths beyond rational understanding.,-0.9604350417077605,-0.12756961804618977,-0.1139447082085678,0.13909885881981407,-0.13605182668096197,-0.0267505757355014,-0.9604350417077605,0.9604350417077605,0.9224354693401876,-0.9647240414298491,1.3800121254251892e-153,3.3120291010204544e-152,1.0,20260913,2000,True,True,True,0.13909885881981407,PC4,0.13909885881981407,0.8213361828879464,6.904693897969999,0.990267058687756,0.9315017209221774,True,1.0,1.0,0.9193915128707886,0.8537896871566772,0.9649852514266968,0.7785978317260742,0.6916370391845703,0.843116283416748,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
gemma,Gemma-2-27B,PC1,negative,obsessive,"Fixates on specific details with intense, persistent focus that dominates thinking.",-0.9510481783495754,0.15380181558023864,0.1750088945066773,-0.11870235781632334,-0.019635347178921857,-0.0644553127621125,-0.9510481783495754,0.9510481783495754,0.9044926375420459,-0.9602146504717117,3.0208014052939113e-141,6.590839429732169e-140,1.0,20260913,2000,True,True,True,0.1750088945066773,PC3,0.1750088945066773,0.7760392838428981,5.434284817525597,0.977406033127526,0.9254011197862466,True,1.0,1.0,0.910152018070221,0.8390024900436401,0.960310161113739,0.7436801195144653,0.6294569373130798,0.8209919333457947,20260920,2000,20260912,True,True,True,True,AXIS_SPECIFIC_STRONG
