axis,rank_high_to_low,prompt_id,question_id,question_text,mean_pc,std_pc
PC1,1,baseline_q019,19,What principles should guide ethical decision-making in emerging technologies?,58.673811953476005,8.86388387399831
PC1,2,baseline_q184,184,How should a manager assess team performance?,57.08098062577325,1.6858995863637738
PC1,3,baseline_q183,183,How would you evaluate the impact of a policy change on citizens?,56.675548191012716,8.757424180624485
PC1,4,baseline_q029,29,How do complex projects with many moving parts typically unfold?,56.07590666991062,1.618341451159824
PC1,5,baseline_q109,109,How can organizations create more inclusive work environments?,56.04567909649769,0.9835726829452776
PC1,6,baseline_q216,216,What factors contribute to the resilience of communities during crises?,55.16724190663334,2.5629358662951924
PC1,7,baseline_q195,195,How can we create more inclusive workplaces?,54.7191194707936,4.42719799950657
PC1,8,baseline_q209,209,How do you design and implement effective quality control systems in manufacturing?,53.81920005708139,2.4229922342505343
PC1,9,baseline_q124,124,What methods would you suggest for improving emergency response systems?,53.80031823710275,1.435390603807875
PC1,10,baseline_q118,118,What's the process for conducting thorough market research?,53.69758177469181,14.723674139390488
PC1,11,baseline_q091,91,What are the best approaches to risk management in projects?,53.02799653602642,1.5959448527250857
PC1,12,baseline_q038,38,How can neighborhoods handle disagreements between residents about local development priorities?,52.61041472778593,2.030047808819972
PC1,13,baseline_q121,121,How can communities build more effective support networks for families?,52.51033187824369,1.4534340757223958
PC1,14,baseline_q100,100,How do you think emerging technologies will reshape industries?,52.490390894269034,8.453352783680531
PC1,15,baseline_q043,43,What steps would you take to plan a comprehensive marketing campaign?,51.718693730353365,3.074441496380218
PC1,16,baseline_q111,111,How should society prepare for technological disruption?,51.5259978278166,5.787280096041907
PC1,17,baseline_q112,112,What makes some renewable energy projects successful while others fail?,49.9412542335797,7.398060296123223
PC1,18,baseline_q097,97,How should we address the long-term effects of childhood trauma on society?,48.684774684782454,1.9966694243114698
PC1,19,baseline_q115,115,How do we balance economic growth with environmental protection?,48.66236256714812,8.765561562576032
PC1,20,baseline_q181,181,How can we improve global economic systems?,48.127845890197506,1.1774420332684288
PC1,21,baseline_q127,127,What are the key elements of sustainable urban planning?,47.71681074392062,2.554111324528086
PC1,22,baseline_q060,60,How do different leadership styles impact workplace productivity?,47.631023518313576,1.0053834202834249
PC1,23,baseline_q046,46,How do you feel about the emphasis on transparency in government and corporations?,47.02326605573229,6.23585741237298
PC1,24,baseline_q130,130,What do you think the future holds for human-AI collaboration?,46.9420273942206,6.441075857751454
PC1,25,baseline_q214,214,What would you do to prepare for and capitalize on emerging market trends?,46.21467161304061,2.25916229015932
PC1,26,baseline_q185,185,How should we reform global economic systems?,46.14366265832011,4.332831976593179
PC1,27,baseline_q149,149,How should we approach the regulation of emerging financial technologies like cryptocurrency?,46.08508401158821,2.5223347362095323
PC1,28,baseline_q063,63,What are your thoughts on the role of unions in modern workplaces?,45.617807326706306,8.692066107382491
PC1,29,baseline_q186,186,How do you decide what information sources to follow?,45.24494019351948,5.7802488873622755
PC1,30,baseline_q167,167,What's the proper way to conduct a literature review?,43.65289994519149,2.2920207251529727
PC1,31,baseline_q016,16,Should there be mandatory financial literacy education in schools?,43.26741737925871,1.5595325720307764
PC1,32,baseline_q032,32,How do we prepare for future pandemics?,43.18201549599756,2.1648525122916014
