family_id,human_construct_id,match_status,match_rationale,covered_axis_specific_markers,important_uncovered_axis_specific_markers,measurement_direction,human_construct_name,framework,domain,level,construct_definition,SAPA_scale_or_key,item_ids,item_count,library_scoring_direction,item_valid_n_min,item_valid_n_median,item_valid_n_max,pairwise_standardized_alpha,reliability_note,source_provenance,item_wording_json,overlap_with_other_proposed_human_constructs,substantial_item_overlap,candidate_universe,epistemic_status
PURE-FAM-01,,NO_DEFENSIBLE_MATCH,"No primary axis-specific marker evidence is present, so no human measurement counterpart is proposed.",,,,No defensible SAPA counterpart,,,none,,,,0,,,,,,,,[],,False,full documented 126-construct SAPA human_construct_library.csv plus item-level fallback,INTERPRETATION_OF_AVAILABLE_SAPA_MEASUREMENT; HUMAN_MODEL_EQUIVALENCE_NOT_TESTED
PURE-FAM-02,BFAS:BFAS:A:C,FACET_OR_SUBCOMPONENT,"Low Compassion is a narrower measure of callousness and reduced concern for others but does not capture dominance, skepticism, or pessimism.",callous;vindictive,cynical;pessimistic;blunt;dominant;skeptical,Lower Compassion is the proposed direction.,Compassion,Big Five Aspects,Agreeableness,aspect,"Emotional concern, empathy, and active care for others.",BFAScomp,q_146;q_195;q_460;q_668;q_844;q_1162;q_1307;q_1763;q_1766;q_1774,10,higher values indicate named construct after released +/- key,3914,4039.0,4129,0.87613599,"Pairwise-complete standardized alpha estimated here under randomized planned missingness; diagnostic, not a complete-case coefficient.",https://ipip.ori.org/BFASKeys.htm,"[{""item_id"":""q_146"",""item_wording"":""Am indifferent to the feelings of others.""},{""item_id"":""q_195"",""item_wording"":""Am not interested in other people's problems.""},{""item_id"":""q_460"",""item_wording"":""Can't be bothered with other's needs.""},{""item_id"":""q_668"",""item_wording"":""Don't have a soft side.""},{""item_id"":""q_844"",""item_wording"":""Feel others' emotions.""},{""item_id"":""q_1162"",""item_wording"":""Inquire about others' well-being.""},{""item_id"":""q_1307"",""item_wording"":""Like to do things for others.""},{""item_id"":""q_1763"",""item_wording"":""Sympathize with others' feelings.""},{""item_id"":""q_1766"",""item_wording"":""Take an interest in other people's lives.""},{""item_id"":""q_1774"",""item_wording"":""Take no time for others.""}]","PURE-FAM-02/IPIP100:B5:A:shared=5,jaccard=0.200;PURE-FAM-05/IPIPneo:A3:AL:shared=2,jaccard=0.111;PURE-FAM-05/BFAS:BFAS:A:C:shared=10,jaccard=1.000;PURE-FAM-05/IPIP100:B5:A:shared=5,jaccard=0.200",True,full documented 126-construct SAPA human_construct_library.csv plus item-level fallback,INTERPRETATION_OF_AVAILABLE_SAPA_MEASUREMENT; HUMAN_MODEL_EQUIVALENCE_NOT_TESTED
PURE-FAM-02,IPIPneo:A1:TR,FACET_OR_SUBCOMPONENT,"Low Trust measures the cynical and suspicious component without representing callousness, blunt dominance, or general pessimism.",cynical;skeptical,callous;pessimistic;vindictive;blunt;dominant,Lower Trust is the proposed direction.,Trust,IPIP-NEO,Agreeableness,facet,Belief that others are generally honest and well-intentioned.,NEOa1,q_286;q_343;q_377;q_379;q_381;q_594;q_1758;q_1835;q_1854;q_1855,10,higher values indicate named construct after released +/- key,2415,2470.0,2643,0.87912704,"Pairwise-complete standardized alpha estimated here under randomized planned missingness; diagnostic, not a complete-case coefficient.",https://ipip.ori.org/30FacetNEO-PI-RItems.htm,"[{""item_id"":""q_286"",""item_wording"":""Am wary of others.""},{""item_id"":""q_343"",""item_wording"":""Believe in human goodness.""},{""item_id"":""q_377"",""item_wording"":""Believe that others have good intentions.""},{""item_id"":""q_379"",""item_wording"":""Believe that people are basically moral.""},{""item_id"":""q_381"",""item_wording"":""Believe that people are essentially evil.""},{""item_id"":""q_594"",""item_wording"":""Distrust people.""},{""item_id"":""q_1758"",""item_wording"":""Suspect hidden motives in others.""},{""item_id"":""q_1835"",""item_wording"":""Think that all will be well.""},{""item_id"":""q_1854"",""item_wording"":""Trust others.""},{""item_id"":""q_1855"",""item_wording"":""Trust what people say.""}]",,False,full documented 126-construct SAPA human_construct_library.csv plus item-level fallback,INTERPRETATION_OF_AVAILABLE_SAPA_MEASUREMENT; HUMAN_MODEL_EQUIVALENCE_NOT_TESTED
PURE-FAM-02,MPQ:MPQ:SP,FACET_OR_SUBCOMPONENT,"Social Potency supplies a human measure of dominance and interpersonal force, but not callousness or cynicism.",dominant;blunt,callous;cynical;pessimistic;vindictive;skeptical,Higher Social Potency is the proposed direction.,Social Potency,Multidimensional Personality Questionnaire,Positive Emotionality,primary_trait,"Interpersonal force, leadership, persuasiveness, and social dominance.",MPQsp,q_131;q_455;q_690;q_905;q_1045;q_1114;q_1180;q_1242;q_1652;q_1768,10,higher values indicate named construct after released +/- key,2428,3545.0,4366,0.8555745,"Pairwise-complete standardized alpha estimated here under randomized planned missingness; diagnostic, not a complete-case coefficient.",https://ipip.ori.org/newMPQKey.htm,"[{""item_id"":""q_131"",""item_wording"":""Am good at making impromptu speeches.""},{""item_id"":""q_455"",""item_wording"":""Can talk others into doing things.""},{""item_id"":""q_690"",""item_wording"":""Don't like to draw attention to myself.""},{""item_id"":""q_905"",""item_wording"":""Find it difficult to manipulate others.""},{""item_id"":""q_1045"",""item_wording"":""Have a natural talent for influencing people.""},{""item_id"":""q_1114"",""item_wording"":""Have little to say.""},{""item_id"":""q_1180"",""item_wording"":""Keep in the background.""},{""item_id"":""q_1242"",""item_wording"":""Lack the talent for influencing people.""},{""item_id"":""q_1652"",""item_wording"":""See myself as a good leader.""},{""item_id"":""q_1768"",""item_wording"":""Take charge.""}]","PURE-FAM-03/HEXACO:H:X:E:shared=1,jaccard=0.053;PURE-FAM-06/IPIP100:B5:E:shared=4,jaccard=0.154",False,full documented 126-construct SAPA human_construct_library.csv plus item-level fallback,INTERPRETATION_OF_AVAILABLE_SAPA_MEASUREMENT; HUMAN_MODEL_EQUIVALENCE_NOT_TESTED
PURE-FAM-02,MPQ:MPQ:AG,PARTIAL_FAMILY_MATCH,"Aggression captures vindictive, hard-edged, dominant antagonism but not the family's distrustful or pessimistic cognitive stance.",vindictive;callous;blunt;dominant,cynical;pessimistic;skeptical,Higher Aggression is the proposed direction.,Aggression,Multidimensional Personality Questionnaire,Negative Emotionality,primary_trait,"Vindictiveness, willingness to hurt, and enjoyment of aggressive behavior.",MPQag,q_501;q_630;q_957;q_1051;q_1150;q_1571;q_1585;q_1683;q_1869;q_2021,10,higher values indicate named construct after released +/- key,2369,2555.5,6022,0.79285066,"Pairwise-complete standardized alpha estimated here under randomized planned missingness; diagnostic, not a complete-case coefficient.",https://ipip.ori.org/newMPQKey.htm,"[{""item_id"":""q_501"",""item_wording"":""Cheat to get ahead.""},{""item_id"":""q_630"",""item_wording"":""Do things out of revenge.""},{""item_id"":""q_957"",""item_wording"":""Get back at others.""},{""item_id"":""q_1051"",""item_wording"":""Have a sharp tongue.""},{""item_id"":""q_1150"",""item_wording"":""Hold a grudge.""},{""item_id"":""q_1571"",""item_wording"":""Rarely complain.""},{""item_id"":""q_1585"",""item_wording"":""Rarely get irritated.""},{""item_id"":""q_1683"",""item_wording"":""Seldom get mad.""},{""item_id"":""q_1869"",""item_wording"":""Try to forgive and forget.""},{""item_id"":""q_2021"",""item_wording"":""Would never take things that aren't mine.""}]",,False,full documented 126-construct SAPA human_construct_library.csv plus item-level fallback,INTERPRETATION_OF_AVAILABLE_SAPA_MEASUREMENT; HUMAN_MODEL_EQUIVALENCE_NOT_TESTED
PURE-FAM-02,IPIP100:B5:A,STRONG_FAMILY_MATCH,"Low Big Five Agreeableness directly covers the central callous, vindictive, blunt, and antagonistic interpersonal content, while dominance and pessimism remain only partly represented.",callous;vindictive;blunt;cynical;skeptical,pessimistic;dominant,Lower Agreeableness is the proposed direction.,Agreeableness,Big Five,Agreeableness,domain,"Compassionate, cooperative, trusting, and considerate interpersonal orientation.",IPIP100agree,q_140;q_146;q_150;q_195;q_200;q_217;q_838;q_844;q_1041;q_1053;q_1162;q_1163;q_1206;q_1364;q_1385;q_1419;q_1705;q_1763;q_1792;q_1832,20,higher values indicate named construct after released +/- key,2561,4033.0,4157,0.91007102,"Pairwise-complete standardized alpha estimated here under randomized planned missingness; diagnostic, not a complete-case coefficient.",https://ipip.ori.org/newBigFive5broadKey.htm,"[{""item_id"":""q_140"",""item_wording"":""Am hard to get to know.""},{""item_id"":""q_146"",""item_wording"":""Am indifferent to the feelings of others.""},{""item_id"":""q_150"",""item_wording"":""Am interested in people.""},{""item_id"":""q_195"",""item_wording"":""Am not interested in other people's problems.""},{""item_id"":""q_200"",""item_wording"":""Am not really interested in others.""},{""item_id"":""q_217"",""item_wording"":""Am on good terms with nearly everyone.""},{""item_id"":""q_838"",""item_wording"":""Feel little concern for others.""},{""item_id"":""q_844"",""item_wording"":""Feel others' emotions.""},{""item_id"":""q_1041"",""item_wording"":""Have a good word for everyone.""},{""item_id"":""q_1053"",""item_wording"":""Have a soft heart.""},{""item_id"":""q_1162"",""item_wording"":""Inquire about others' well-being.""},{""item_id"":""q_1163"",""item_wording"":""Insult people.""},{""item_id"":""q_1206"",""item_wording"":""Know how to comfort others.""},{""item_id"":""q_1364"",""item_wording"":""Love children.""},{""item_id"":""q_1385"",""item_wording"":""Love to help others.""},{""item_id"":""q_1419"",""item_wording"":""Make people feel at ease.""},{""item_id"":""q_1705"",""item_wording"":""Show my gratitude.""},{""item_id"":""q_1763"",""item_wording"":""Sympathize with others' feelings.""},{""item_id"":""q_1792"",""item_wording"":""Take time out for others.""},{""item_id"":""q_1832"",""item_wording"":""Think of others first.""}]","PURE-FAM-02/BFAS:BFAS:A:C:shared=5,jaccard=0.200;PURE-FAM-05/IPIPneo:A3:AL:shared=3,jaccard=0.111;PURE-FAM-05/BFAS:BFAS:A:C:shared=5,jaccard=0.200;PURE-FAM-05/IPIP100:B5:A:shared=20,jaccard=1.000",True,full documented 126-construct SAPA human_construct_library.csv plus item-level fallback,INTERPRETATION_OF_AVAILABLE_SAPA_MEASUREMENT; HUMAN_MODEL_EQUIVALENCE_NOT_TESTED
PURE-FAM-03,IPIPneo:E5:ES,FACET_OR_SUBCOMPONENT,"Excitement Seeking captures the spontaneous, adventurous, risk-taking, intense portion, not symbolic or narrative expression.",spontaneous;adventurous;risk_taking;impulsive;playful,poetic;metaphorical;mystical;narrative;rhetorical,Higher Excitement Seeking is the proposed direction.,Excitement Seeking,IPIP-NEO,Extraversion,facet,"Preference for stimulation, novelty, and risk.",NEOe5,q_31;q_294;q_576;q_745;q_746;q_1360;q_1368;q_1662;q_1664;q_2017,10,higher values indicate named construct after released +/- key,2363,2472.5,2537,0.86152134,"Pairwise-complete standardized alpha estimated here under randomized planned missingness; diagnostic, not a complete-case coefficient.",https://ipip.ori.org/30FacetNEO-PI-RItems.htm,"[{""item_id"":""q_31"",""item_wording"":""Act wild and crazy.""},{""item_id"":""q_294"",""item_wording"":""Am willing to try anything once.""},{""item_id"":""q_576"",""item_wording"":""Dislike loud music.""},{""item_id"":""q_745"",""item_wording"":""Enjoy being part of a loud crowd.""},{""item_id"":""q_746"",""item_wording"":""Enjoy being reckless.""},{""item_id"":""q_1360"",""item_wording"":""Love action.""},{""item_id"":""q_1368"",""item_wording"":""Love excitement.""},{""item_id"":""q_1662"",""item_wording"":""Seek adventure.""},{""item_id"":""q_1664"",""item_wording"":""Seek danger.""},{""item_id"":""q_2017"",""item_wording"":""Would never go hang gliding or bungee jumping.""}]",,False,full documented 126-construct SAPA human_construct_library.csv plus item-level fallback,INTERPRETATION_OF_AVAILABLE_SAPA_MEASUREMENT; HUMAN_MODEL_EQUIVALENCE_NOT_TESTED
PURE-FAM-03,IPIPneo:O1:IM,FACET_OR_SUBCOMPONENT,"Imagination measures fantasy, symbolic thought, and vivid inner experience, leaving rhetorical and interpersonal performance uncovered.",ethereal;whimsical;mystical;creative;metaphorical;speculative,rhetorical;theatrical;charismatic;flirty;manipulative,Higher Imagination is the proposed direction.,Imagination,IPIP-NEO,Openness to Experience,facet,Vivid fantasy and imaginative engagement.,NEOo1,q_609;q_780;q_1058;q_1083;q_1161;q_1310;q_1381;q_1675;q_1682;q_1738,10,higher values indicate named construct after released +/- key,2447,2707.5,2828,0.82027804,"Pairwise-complete standardized alpha estimated here under randomized planned missingness; diagnostic, not a complete-case coefficient.",https://ipip.ori.org/30FacetNEO-PI-RItems.htm,"[{""item_id"":""q_609"",""item_wording"":""Do not have a good imagination.""},{""item_id"":""q_780"",""item_wording"":""Enjoy wild flights of fantasy.""},{""item_id"":""q_1058"",""item_wording"":""Have a vivid imagination.""},{""item_id"":""q_1083"",""item_wording"":""Have difficulty imagining things.""},{""item_id"":""q_1161"",""item_wording"":""Indulge in my fantasies.""},{""item_id"":""q_1310"",""item_wording"":""Like to get lost in thought.""},{""item_id"":""q_1381"",""item_wording"":""Love to daydream.""},{""item_id"":""q_1675"",""item_wording"":""Seldom daydream.""},{""item_id"":""q_1682"",""item_wording"":""Seldom get lost in thought.""},{""item_id"":""q_1738"",""item_wording"":""Spend time reflecting on things.""}]","PURE-FAM-03/MPQ:MPQ:AB:shared=5,jaccard=0.333;PURE-FAM-03/BFAS:BFAS:O:O:shared=2,jaccard=0.111",True,full documented 126-construct SAPA human_construct_library.csv plus item-level fallback,INTERPRETATION_OF_AVAILABLE_SAPA_MEASUREMENT; HUMAN_MODEL_EQUIVALENCE_NOT_TESTED
PURE-FAM-03,IPIPneo:O2:AI,FACET_OR_SUBCOMPONENT,"Artistic Interests measures the poetic, artistic, and aesthetic portion but not narrative performance, spontaneity, or affective intensity.",poetic;artistic;creative;romantic,narrative;dramatic;rhetorical;charismatic;spontaneous;manipulative,Higher Artistic Interests is the proposed direction.,Artistic Interests,IPIP-NEO,Openness to Experience,facet,Aesthetic sensitivity and engagement with art and beauty.,NEOo2,q_348;q_607;q_608;q_610;q_611;q_612;q_776;q_1289;q_1369;q_1648,10,higher values indicate named construct after released +/- key,2446,2739.0,2816,0.79755968,"Pairwise-complete standardized alpha estimated here under randomized planned missingness; diagnostic, not a complete-case coefficient.",https://ipip.ori.org/30FacetNEO-PI-RItems.htm,"[{""item_id"":""q_348"",""item_wording"":""Believe in the importance of art.""},{""item_id"":""q_607"",""item_wording"":""Do not enjoy going to art museums.""},{""item_id"":""q_608"",""item_wording"":""Do not enjoy watching dance performances.""},{""item_id"":""q_610"",""item_wording"":""Do not like art.""},{""item_id"":""q_611"",""item_wording"":""Do not like concerts.""},{""item_id"":""q_612"",""item_wording"":""Do not like poetry.""},{""item_id"":""q_776"",""item_wording"":""Enjoy the beauty of nature.""},{""item_id"":""q_1289"",""item_wording"":""Like music.""},{""item_id"":""q_1369"",""item_wording"":""Love flowers.""},{""item_id"":""q_1648"",""item_wording"":""See beauty in things that others might not notice.""}]","PURE-FAM-03/MPQ:MPQ:AB:shared=3,jaccard=0.176;PURE-FAM-03/BFAS:BFAS:O:O:shared=4,jaccard=0.250;PURE-FAM-06/MPQ:MPQ:TR:shared=1,jaccard=0.053",True,full documented 126-construct SAPA human_construct_library.csv plus item-level fallback,INTERPRETATION_OF_AVAILABLE_SAPA_MEASUREMENT; HUMAN_MODEL_EQUIVALENCE_NOT_TESTED
PURE-FAM-03,MPQ:MPQ:AB,FACET_OR_SUBCOMPONENT,"Absorption measures immersive imagination, aesthetic sensitivity, fantasy, and mystical involvement, not public performance or nonconformity.",ethereal;enigmatic;mystical;intuitive;spiritual;whimsical;creative,rhetorical;theatrical;charismatic;subversive;individualistic,Higher Absorption is the proposed direction.,Absorption,Multidimensional Personality Questionnaire,Absorption,primary_trait,"Imaginative and perceptual involvement, including altered or highly engaging experiences.",MPQab,q_610;q_612;q_780;q_1058;q_1310;q_1381;q_1389;q_1587;q_1648;q_1682,10,higher values indicate named construct after released +/- key,2447,2729.0,2816,0.76917307,"Pairwise-complete standardized alpha estimated here under randomized planned missingness; diagnostic, not a complete-case coefficient.",https://ipip.ori.org/newMPQKey.htm,"[{""item_id"":""q_610"",""item_wording"":""Do not like art.""},{""item_id"":""q_612"",""item_wording"":""Do not like poetry.""},{""item_id"":""q_780"",""item_wording"":""Enjoy wild flights of fantasy.""},{""item_id"":""q_1058"",""item_wording"":""Have a vivid imagination.""},{""item_id"":""q_1310"",""item_wording"":""Like to get lost in thought.""},{""item_id"":""q_1381"",""item_wording"":""Love to daydream.""},{""item_id"":""q_1389"",""item_wording"":""Love to reflect on things.""},{""item_id"":""q_1587"",""item_wording"":""Rarely look for a deeper meaning in things.""},{""item_id"":""q_1648"",""item_wording"":""See beauty in things that others might not notice.""},{""item_id"":""q_1682"",""item_wording"":""Seldom get lost in thought.""}]","PURE-FAM-03/IPIPneo:O1:IM:shared=5,jaccard=0.333;PURE-FAM-03/IPIPneo:O2:AI:shared=3,jaccard=0.176;PURE-FAM-03/BFAS:BFAS:O:O:shared=4,jaccard=0.250",True,full documented 126-construct SAPA human_construct_library.csv plus item-level fallback,INTERPRETATION_OF_AVAILABLE_SAPA_MEASUREMENT; HUMAN_MODEL_EQUIVALENCE_NOT_TESTED
