model,dimension,dropped_trait,dropped_polarity,direction_cosine_to_full,role_score_pearson_to_full,role_score_spearman_to_full
qwen,openness,curious,positive,0.9981989833802719,0.9995661031354569,0.9994125962897782
qwen,openness,creative,positive,0.9990685728301274,0.999644117352828,0.999519921525634
qwen,openness,exploratory,positive,0.9975096979115337,0.9993998794035971,0.9992354519488763
qwen,openness,abstract,positive,0.9975021454325933,0.998284807883172,0.9977277054903207
qwen,openness,conceptual,positive,0.9972929049990703,0.998299848876163,0.9976515391939067
qwen,openness,philosophical,positive,0.998959923631461,0.9991164111538308,0.9987455641787601
qwen,openness,poetic,positive,0.9978154543311278,0.9984909993038914,0.9978956175528693
qwen,openness,speculative,positive,0.999201648423721,0.9996885016366148,0.9995314618735754
qwen,openness,open_ended,positive,0.9971004641488239,0.9986235841978197,0.9983699258532646
qwen,openness,iconoclastic,positive,0.9975459102424851,0.9984696173003413,0.9981212313551254
qwen,openness,adventurous,positive,0.9980030389680354,0.9989367792222736,0.9986693978823462
qwen,openness,literal,negative,0.9958069689521668,0.9994776813208496,0.9992643028187301
qwen,openness,practical,negative,0.9901631072595117,0.9924222251260814,0.9911225873460086
qwen,openness,traditional,negative,0.9935315495714137,0.996734819283682,0.9961501399267189
qwen,openness,cautious,negative,0.9919283524275572,0.9981182211211388,0.9977882923170133
qwen,openness,convergent,negative,0.9949085641118597,0.9993258898894201,0.9990571535731803
qwen,openness,closure_seeking,negative,0.9932211059249786,0.9987664320947752,0.9984737889847379
qwen,openness,formalist,negative,0.9938406563320137,0.9942224448162331,0.9939505496090707
qwen,conscientiousness,conscientious,positive,0.9981462923487623,0.9995310926916192,0.9997080291970804
qwen,conscientiousness,methodical,positive,0.9992933605044173,0.9999235123371243,0.9998338189896426
qwen,conscientiousness,meticulous,positive,0.9977118760512196,0.9995567327792743,0.9994541415423676
qwen,conscientiousness,efficient,positive,0.9951283830552959,0.9996212357843792,0.9995072271428984
qwen,conscientiousness,regulatory,positive,0.9970848884624024,0.9997691737397588,0.9996982199013301
qwen,conscientiousness,principled,positive,0.9958509678243515,0.9991938079975992,0.9991662098612273
qwen,conscientiousness,data_driven,positive,0.997262208728872,0.9991240555434178,0.9990888895300194
qwen,conscientiousness,problem_solving,positive,0.9959960751026938,0.9991047827883507,0.9989180923804853
qwen,conscientiousness,disorganized,negative,0.9982909452453688,0.9997354755393569,0.9997824644413029
qwen,conscientiousness,impulsive,negative,0.9960249371827283,0.9997592704236938,0.9995960878220479
qwen,conscientiousness,chaotic,negative,0.9962689761625171,0.9996771259527998,0.9996278237788868
qwen,conscientiousness,spontaneous,negative,0.9990912885015617,0.9997762466226096,0.9997616918150082
qwen,conscientiousness,flippant,negative,0.9974418168068692,0.9994803398834244,0.9996607137705202
qwen,conscientiousness,improvisational,negative,0.9978804457408282,0.9994063718373223,0.9994460632988085
qwen,conscientiousness,mercurial,negative,0.9990849949198667,0.9997868148706471,0.9997386111191254
qwen,extraversion,extroverted,positive,0.9988207669504308,0.9993656299155736,0.999441447159632
qwen,extraversion,gregarious,positive,0.9980371213572914,0.9985426937216318,0.9983549234009406
qwen,extraversion,charismatic,positive,0.9989788742827608,0.999566503282515,0.9996047430830041
qwen,extraversion,animated,positive,0.9997420541028417,0.9999424704090567,0.9998990219555121
qwen,extraversion,effusive,positive,0.999311389673895,0.9999401038156839,0.9998944058163354
qwen,extraversion,theatrical,positive,0.9977754913002456,0.9971101875348715,0.9966457978708059
qwen,extraversion,entertaining,positive,0.9988159979090268,0.9998198476678078,0.9997761172499351
qwen,extraversion,verbose,positive,0.9965042561169596,0.9997631433560751,0.9996491734225788
qwen,extraversion,introverted,negative,0.9956024736558191,0.9965711256716169,0.9975130550186088
qwen,extraversion,reserved,negative,0.9975194635553716,0.9992008265824052,0.9989677158766338
qwen,extraversion,introspective,negative,0.9936818833525541,0.9992410761739675,0.9991206254868585
qwen,extraversion,understated,negative,0.9902585655467382,0.9968694225649937,0.9965754017483628
qwen,extraversion,detached,negative,0.9968741828648766,0.9983808565002538,0.9985811142205938
qwen,extraversion,stoic,negative,0.9985145965763258,0.9996341893105586,0.9995522344998702
qwen,agreeableness,agreeable,positive,0.9995228691620669,0.999360020070967,0.9988650067799545
qwen,agreeableness,collaborative,positive,0.9987663854846264,0.9998014357715967,0.9996035890482099
qwen,agreeableness,empathetic,positive,0.9989293173132247,0.9979526779364571,0.9965257782522143
qwen,agreeableness,supportive,positive,0.9995277433182966,0.9998625961479646,0.9997553446236405
qwen,agreeableness,benevolent,positive,0.999735635129111,0.9999020104614245,0.9997466893626843
qwen,agreeableness,nurturing,positive,0.999681762574531,0.9998876582543976,0.999697642883933
qwen,agreeableness,conciliatory,positive,0.9992324984019855,0.9986290883508565,0.9975672946539339
qwen,agreeableness,generous,positive,0.9985817575770872,0.9997166991420394,0.9995320388909725
qwen,agreeableness,accommodating,positive,0.9989550818727373,0.9989357372853125,0.9984749430195321
qwen,agreeableness,forgiving,positive,0.9993431279958878,0.999221033257606,0.9986711289345376
qwen,agreeableness,tactful,positive,0.9993344371395528,0.9992528842170373,0.9987138282219208
qwen,agreeableness,confrontational,negative,0.9993302058319933,0.9998519203011415,0.9997195695450218
qwen,agreeableness,callous,negative,0.9991999515969362,0.9994182963383514,0.9989007818585731
qwen,agreeableness,cynical,negative,0.999397928620597,0.9998372351191501,0.9996122443091661
qwen,agreeableness,hostile,negative,0.9991869836157141,0.9990393867959301,0.9986099650904474
qwen,agreeableness,vindictive,negative,0.9984594372375855,0.998807548536833,0.9980196762932402
qwen,agreeableness,critical,negative,0.9981629575735408,0.9994848525577483,0.9992417991402441
qwen,agreeableness,acerbic,negative,0.9991686495945391,0.9994584704074722,0.9993531634978796
qwen,agreeableness,cruel,negative,0.9994450448240162,0.999696271287515,0.9995516574824731
qwen,agreeableness,competitive,negative,0.9990552335451064,0.9996827659989795,0.9993739361241742
qwen,neuroticism,anxious,positive,0.9979311785547726,0.9987728597723531,0.9991015839127549
qwen,neuroticism,neurotic,positive,0.9983428828186196,0.999065347573305,0.9991967917832724
qwen,neuroticism,reactive,positive,0.9968735001562856,0.9985286596263679,0.9981252704769049
qwen,neuroticism,pessimistic,positive,0.9966994805500808,0.9988616152516017,0.9985193733591067
qwen,neuroticism,melancholic,positive,0.9974018608355121,0.9988915902329965,0.9990848504082399
qwen,neuroticism,temperamental,positive,0.9984100153817336,0.9995911053930154,0.9995499264302818
qwen,neuroticism,paranoid,positive,0.9965752418081402,0.9990740908083776,0.9990433051556505
qwen,neuroticism,fatalistic,positive,0.9964295959262919,0.9976294743257379,0.9981864343209949
qwen,neuroticism,impatient,positive,0.9970720905379761,0.9994172568962667,0.9992816133406424
qwen,neuroticism,melodramatic,positive,0.9967579883133919,0.9987418592900911,0.9990819653212544
qwen,neuroticism,calm,negative,0.9991087474390226,0.9999139999969197,0.9998355500418338
qwen,neuroticism,resilient,negative,0.9979605373440007,0.9996525560230771,0.9996035890482099
qwen,neuroticism,serene,negative,0.996793317742185,0.9978415146349585,0.9981091139897867
qwen,neuroticism,patient,negative,0.996883507203918,0.9996544406267485,0.9996555206139465
qwen,neuroticism,grounded,negative,0.9936227501675936,0.996238167891163,0.9968644874642971
qwen,neuroticism,confident,negative,0.9951546415819356,0.9992058667395638,0.9991921756440957
qwen,neuroticism,stoic,negative,0.9956192621658142,0.9975045319611778,0.9967335045151612
qwen,neuroticism,nonchalant,negative,0.9971350572961865,0.9991298397468446,0.9993537405152766
qwen,neuroticism,chill,negative,0.9952915067202437,0.9981072566047916,0.997939470875047
llama,openness,curious,positive,0.9977842613833459,0.9975492680904313,0.9976209572718618
llama,openness,creative,positive,0.9987483714136973,0.999568615164309,0.9995026110037217
llama,openness,exploratory,positive,0.99735032390042,0.9985284807703553,0.9986278526297567
llama,openness,abstract,positive,0.9980180190173901,0.9992336909099859,0.9989636767548541
llama,openness,conceptual,positive,0.9978479211951701,0.9992316675729672,0.998961945702663
llama,openness,philosophical,positive,0.9991257400889932,0.9995434670981034,0.999403364011425
llama,openness,poetic,positive,0.9978494951611941,0.9975612021178265,0.9981691237990826
llama,openness,speculative,positive,0.998968521747948,0.9997516507547162,0.9996774472750353
llama,openness,open_ended,positive,0.9971967520400555,0.9989798221400106,0.9987848013617612
llama,openness,iconoclastic,positive,0.9971718053963732,0.9967657449862332,0.9967196560976316
llama,openness,adventurous,positive,0.9975603477741282,0.9989849908992071,0.9988886644932345
llama,openness,literal,negative,0.9923775417533042,0.994059741285671,0.9959943452295087
llama,openness,practical,negative,0.9916384444549567,0.9941076300856415,0.9933700701076139
llama,openness,traditional,negative,0.9928058785646379,0.9973757913809979,0.9971454949366723
llama,openness,cautious,negative,0.9917927367385033,0.9975978693746347,0.9975378667666831
llama,openness,convergent,negative,0.9952627192827466,0.9993156308387118,0.9990196474423704
llama,openness,closure_seeking,negative,0.9925500794991807,0.9986488948323671,0.9983329967398519
llama,openness,formalist,negative,0.993092104259671,0.9902135382836198,0.9899691295692566
llama,conscientiousness,conscientious,positive,0.9966383679319858,0.9990424172815651,0.9996364790398431
llama,conscientiousness,methodical,positive,0.9986683913868202,0.999878531321488,0.9998170854851274
llama,conscientiousness,meticulous,positive,0.9970579133247417,0.998775831247503,0.9989204004500737
llama,conscientiousness,efficient,positive,0.9942028089069612,0.9991643188103693,0.9993548945500709
llama,conscientiousness,regulatory,positive,0.9947286700940011,0.9992882321600403,0.9991367819739765
llama,conscientiousness,principled,positive,0.9946798913099825,0.9991062274407346,0.9992977698277604
llama,conscientiousness,data_driven,positive,0.9950701275159441,0.9988158565258887,0.998923285537059
llama,conscientiousness,problem_solving,positive,0.9954105497265557,0.9994257704303658,0.9993352759585703
llama,conscientiousness,disorganized,negative,0.9967393160968411,0.9989765155664885,0.9996001269438275
llama,conscientiousness,impulsive,negative,0.9955469901041131,0.9985568947249863,0.9989146302761028
llama,conscientiousness,chaotic,negative,0.9936341239364446,0.9982432334173176,0.9984507082888551
llama,conscientiousness,spontaneous,negative,0.996428762099528,0.997788705130049,0.9985788061510055
llama,conscientiousness,flippant,negative,0.9960550735988456,0.9985697321925728,0.9993860534895126
llama,conscientiousness,improvisational,negative,0.9955540178073536,0.9984876662800932,0.9986382389429042
llama,conscientiousness,mercurial,negative,0.9972999168260419,0.9994521368671402,0.9994160583941606
llama,extraversion,extroverted,positive,0.9978780816943358,0.9976422645098619,0.9969579642826232
llama,extraversion,gregarious,positive,0.9978666777540403,0.9958656406485998,0.995051498802689
llama,extraversion,charismatic,positive,0.9978718840467735,0.9969822476618578,0.9968887221949742
llama,extraversion,animated,positive,0.9990924911357738,0.9996135207086169,0.9994754911860593
llama,extraversion,effusive,positive,0.9974160469261588,0.9968118880891412,0.9971339545887308
llama,extraversion,theatrical,positive,0.997065204885335,0.9904797904784396,0.9881832607253108
llama,extraversion,entertaining,positive,0.9971184033252896,0.9962857069473958,0.9962713135801045
llama,extraversion,verbose,positive,0.9960425327004265,0.9984350217407053,0.9978021407345431
llama,extraversion,introverted,negative,0.9934080249872059,0.9832525177942109,0.9852970197051442
llama,extraversion,reserved,negative,0.9961578913428528,0.9952222661837316,0.9937993710510372
llama,extraversion,introspective,negative,0.9927655766432001,0.9960282064819378,0.9962534260407951
llama,extraversion,understated,negative,0.9877540749774127,0.9836743081686617,0.9852958656703499
llama,extraversion,detached,negative,0.9952399313227035,0.9953397435125512,0.995640056547705
llama,extraversion,stoic,negative,0.9970624233617534,0.9958862168599252,0.9958143158016215
llama,agreeableness,agreeable,positive,0.9995228489844986,0.9998301263587728,0.9992383370358617
llama,agreeableness,collaborative,positive,0.9982540731356195,0.9998001404762237,0.9992417991402441
llama,agreeableness,empathetic,positive,0.9985294544118669,0.9988876030075119,0.9951438215862208
llama,agreeableness,supportive,positive,0.9992218003552679,0.9996891531286756,0.999170826000404
llama,agreeableness,benevolent,positive,0.9994527253004484,0.9999120685011076,0.9995885865958858
llama,agreeableness,nurturing,positive,0.9994698437103116,0.9998676063313111,0.9995620437956204
llama,agreeableness,conciliatory,positive,0.9991025883826252,0.999591245042047,0.9981246934595078
llama,agreeableness,generous,positive,0.9986268767044924,0.9994349599820905,0.9989480972851333
llama,agreeableness,accommodating,positive,0.9980292561310907,0.9991427837441567,0.9967583162632354
llama,agreeableness,forgiving,positive,0.9990211673052368,0.9997810403642036,0.9991304347826088
llama,agreeableness,tactful,positive,0.9994510733227652,0.999783026491555,0.999147745304521
llama,agreeableness,confrontational,negative,0.9984024301814364,0.9996390012458385,0.998636507890713
llama,agreeableness,callous,negative,0.9992193799305034,0.9998193672787161,0.9995383860823404
llama,agreeableness,cynical,negative,0.9987406932494105,0.999833809660475,0.9997484204148757
llama,agreeableness,hostile,negative,0.9990759375321643,0.999477969867781,0.9987386399699951
llama,agreeableness,vindictive,negative,0.9976941680572073,0.9997710875293367,0.9993635498110268
llama,agreeableness,critical,negative,0.9973401084395173,0.9988677021788186,0.9976099939413173
llama,agreeableness,acerbic,negative,0.9990779561609971,0.9998209830073675,0.9996872565707856
llama,agreeableness,cruel,negative,0.999362092540178,0.9998826877705322,0.9997570756758317
llama,agreeableness,competitive,negative,0.9980395688263166,0.999568644589086,0.9988425031014685
llama,neuroticism,anxious,positive,0.9978435143997707,0.9989405131657266,0.9991258186434322
llama,neuroticism,neurotic,positive,0.9984081266677277,0.9989861976562385,0.9991990998528607
llama,neuroticism,reactive,positive,0.9970749098729588,0.9983016019815342,0.9985349528288279
llama,neuroticism,pessimistic,positive,0.9974371291723454,0.9995026996645602,0.9992896915842012
llama,neuroticism,melancholic,positive,0.9971541988185876,0.9986439732218959,0.9989786792071782
llama,neuroticism,temperamental,positive,0.9978770819624327,0.999592428338454,0.9995851244915036
llama,neuroticism,paranoid,positive,0.9971175305716365,0.9994984810122491,0.9997097602492716
llama,neuroticism,fatalistic,positive,0.9963738820297334,0.9980759892901321,0.9984639796889877
llama,neuroticism,impatient,positive,0.9966035097597549,0.9991419998696144,0.9992158333573757
llama,neuroticism,melodramatic,positive,0.9958361354666994,0.996843120015531,0.9976521162113039
llama,neuroticism,calm,negative,0.9984027464846985,0.9996993178568965,0.9996809093794179
llama,neuroticism,resilient,negative,0.9971401631349294,0.9994509952161326,0.9995862785262977
llama,neuroticism,serene,negative,0.9962624017124906,0.9969099392832941,0.9974039987305617
llama,neuroticism,patient,negative,0.9960669588560189,0.9996912418096843,0.9997091832318744
llama,neuroticism,grounded,negative,0.9932562663804586,0.9935859177551468,0.993689160728196
llama,neuroticism,confident,negative,0.9939749092098972,0.9991827785624652,0.9989365569371916
llama,neuroticism,stoic,negative,0.9950633093389811,0.9970715708375306,0.9957670003750614
llama,neuroticism,nonchalant,negative,0.9961474123979717,0.9987619298725313,0.9993652808632181
llama,neuroticism,chill,negative,0.9952867303695098,0.998234112883219,0.9983987767231183
gemma,openness,curious,positive,0.9975394867360792,0.9989949072364757,0.9985736129944318
gemma,openness,creative,positive,0.9984856158998795,0.9994730271730471,0.9993860534895126
gemma,openness,exploratory,positive,0.9969467476040421,0.9989721912120744,0.9983439600703962
gemma,openness,abstract,positive,0.9972404946972041,0.9981612956730493,0.9977023167248492
gemma,openness,conceptual,positive,0.997012957461239,0.9981895474587146,0.9976174951674792
gemma,openness,philosophical,positive,0.9989163244899175,0.999007508170371,0.9985943856207267
gemma,openness,poetic,positive,0.9971667098703806,0.9974706973055006,0.9968841060557976
gemma,openness,speculative,positive,0.998779379683045,0.999626230880045,0.9994616427685294
gemma,openness,open_ended,positive,0.996793282868881,0.9980650999159141,0.9970300914572574
gemma,openness,iconoclastic,positive,0.9967702395875724,0.9975480132824006,0.9972551282421166
gemma,openness,adventurous,positive,0.9975269428767359,0.9989075299015728,0.9985187963417098
gemma,openness,literal,negative,0.9927365951940571,0.9980822140372833,0.9978811921179424
gemma,openness,practical,negative,0.9884630918912569,0.9902391159206346,0.9893817258590347
gemma,openness,traditional,negative,0.9923221232195264,0.996332330102182,0.9959072156025506
gemma,openness,cautious,negative,0.9904413662299401,0.99673476395615,0.9961622572920574
gemma,openness,convergent,negative,0.9926228745460235,0.9987632860547317,0.9981350797726551
gemma,openness,closure_seeking,negative,0.9914120948235693,0.997310998354566,0.9964692305473011
gemma,openness,formalist,negative,0.992557464120206,0.9930485862112203,0.9918871353971322
gemma,conscientiousness,conscientious,positive,0.9972186209085824,0.9992326127079697,0.9995608897608264
gemma,conscientiousness,methodical,positive,0.998981983030381,0.999848888616922,0.9997403421713165
gemma,conscientiousness,meticulous,positive,0.9974287831915112,0.9989824352864808,0.9990006058682669
gemma,conscientiousness,efficient,positive,0.994571777551261,0.9996724038520517,0.999581662387121
gemma,conscientiousness,regulatory,positive,0.9956970073429035,0.9995670013515595,0.9994622197859264
gemma,conscientiousness,principled,positive,0.9956541677831062,0.9991657497192168,0.9991390900435648
gemma,conscientiousness,data_driven,positive,0.996369540586942,0.9990880700794222,0.9991760191569775
gemma,conscientiousness,problem_solving,positive,0.9956112256283826,0.9990969671019805,0.998945789215545
gemma,conscientiousness,disorganized,negative,0.9969644335549515,0.9996249954206814,0.9996087822047834
gemma,conscientiousness,impulsive,negative,0.9949390405253827,0.999617334423343,0.999688987622977
gemma,conscientiousness,chaotic,negative,0.9949360323220573,0.9996065733299603,0.9995758922131502
gemma,conscientiousness,spontaneous,negative,0.9975589103404554,0.9990655403676069,0.9991933296788897
gemma,conscientiousness,flippant,negative,0.9968324835171529,0.9989553385565557,0.9993508554282913
gemma,conscientiousness,improvisational,negative,0.9955113450949563,0.9988395003596133,0.9988055739880558
gemma,conscientiousness,mercurial,negative,0.9979587359968477,0.9995412447351312,0.999287383514613
gemma,extraversion,extroverted,positive,0.9984287502661857,0.9984979687591731,0.9987126741871267
gemma,extraversion,gregarious,positive,0.9977877166788297,0.9968683694052503,0.9970727907446411
gemma,extraversion,charismatic,positive,0.9984737370219363,0.9991703226024372,0.9993589336718501
gemma,extraversion,animated,positive,0.9995451035397758,0.9999331843429162,0.999852860563746
gemma,extraversion,effusive,positive,0.9986860854490579,0.9996847818552609,0.9995712760739736
gemma,extraversion,theatrical,positive,0.9972951035150182,0.9951675041441763,0.9951963301693546
gemma,extraversion,entertaining,positive,0.9984389356994474,0.9995843629463801,0.9995251146822077
gemma,extraversion,verbose,positive,0.9965571636608773,0.9997536999556496,0.9996335939528578
gemma,extraversion,introverted,negative,0.9942033997322453,0.9921062003746044,0.9950301491589972
gemma,extraversion,reserved,negative,0.9972866454712788,0.9988353853586663,0.9984484002192667
gemma,extraversion,introspective,negative,0.9929592648518455,0.9983836962236052,0.998188165373186
gemma,extraversion,understated,negative,0.9906307068957486,0.9947695767187065,0.9958281642191513
gemma,extraversion,detached,negative,0.9957877856186468,0.9980077349471739,0.9981835492340094
gemma,extraversion,stoic,negative,0.9974468636443223,0.9989399874166754,0.9989227085196618
gemma,agreeableness,agreeable,positive,0.9996835489339184,0.9997877468773004,0.9993768212111596
gemma,agreeableness,collaborative,positive,0.9982872112601002,0.9995084589581784,0.9986503563082427
gemma,agreeableness,empathetic,positive,0.9986726707453999,0.9987199690903713,0.9969983555004185
gemma,agreeableness,supportive,positive,0.9992521405357833,0.9998283043326596,0.9996243616745046
gemma,agreeableness,benevolent,positive,0.9995272685564928,0.9998851327897544,0.9996930267447564
gemma,agreeableness,nurturing,positive,0.9995267180031757,0.9998919365294692,0.9997876575978768
gemma,agreeableness,conciliatory,positive,0.9991039879906141,0.9992293825027099,0.9981691237990826
gemma,agreeableness,generous,positive,0.9984177696459098,0.9996758635613263,0.9995187674908399
gemma,agreeableness,accommodating,positive,0.9982089811871995,0.9987249908704313,0.9977202042641585
gemma,agreeableness,forgiving,positive,0.9986033110321809,0.9990372896306923,0.9976486541069215
gemma,agreeableness,tactful,positive,0.9992452971648311,0.9995833194040161,0.9992112172181993
