prompt_id,component,condition,family,sample_count,target_pc,predicted_direction,pair_id,pair_side,question_id,subanalysis_group,model_visible_text_source,notes,prompt_text,n_successful,mean_pc1,mean_pc2,mean_pc3,std_pc1,std_pc2,std_pc3,mean_delta_assistant_pc1,mean_delta_assistant_pc2,mean_delta_assistant_pc3,mean_delta_bare_qwen_pc1,mean_delta_bare_qwen_pc2,mean_delta_bare_qwen_pc3
pc1_pair_01A,pc1_minimal_pairs,minimal_pair_prompt_text_only,pc1_determination_vs_open_reflection,10,PC1,,pc1_pair_01,A,,,run2_user_spec,Minimal-pair condition; Qwen sees prompt_text only.,"A grant application requires three things: a budget under $50,000, at least two community partners, and a completion date within 18 months. The application before you has a $48,000 budget, three partners, and a 20-month timeline. State whether it qualifies.",10,13.769766164682782,25.17969568109023,19.95570204079362,1.4942274608542636,1.0230513322892263,0.7043434768211361,-19.933036538589135,21.73797766565035,25.111236129863396,-9.740170460223656,11.138828223477901,22.415814525445892
pc1_pair_01B,pc1_minimal_pairs,minimal_pair_prompt_text_only,pc1_determination_vs_open_reflection,10,PC1,,pc1_pair_01,B,,,run2_user_spec,Minimal-pair condition; Qwen sees prompt_text only.,"A grant application requires three things: a budget under $50,000, at least two community partners, and a completion date within 18 months. The application before you has a $48,000 budget, three partners, and a 20-month timeline. What stands out to you about this application?",10,24.387949275284292,21.42852618061401,17.699301518643114,2.588228104200035,1.531853556954856,1.429972505086351,-9.314853427987627,17.986808165174136,22.854835607712882,0.87801265037785,7.387658723001681,20.15941400329538
pc1_pair_02A,pc1_minimal_pairs,minimal_pair_prompt_text_only,pc1_determination_vs_open_reflection,10,PC1,,pc1_pair_02,A,,,run2_user_spec,Minimal-pair condition; Qwen sees prompt_text only.,A tenant’s lease says pets under 25 pounds are allowed with a deposit. The tenant has a 30-pound dog and paid the deposit. Determine whether the tenant is in compliance.,10,14.5450892426616,24.173635136206705,18.24224204187892,1.1413816800602943,0.7670207099401921,0.5379051860437828,-19.157713460610314,20.731917120766827,23.397776130948692,-8.964847382244836,10.132767678594377,20.70235452653119
pc1_pair_02B,pc1_minimal_pairs,minimal_pair_prompt_text_only,pc1_determination_vs_open_reflection,10,PC1,,pc1_pair_02,B,,,run2_user_spec,Minimal-pair condition; Qwen sees prompt_text only.,A tenant’s lease says pets under 25 pounds are allowed with a deposit. The tenant has a 30-pound dog and paid the deposit. What do you imagine this situation is like for everyone involved?,10,13.255437146239762,33.10613837893182,6.908010315270056,1.741973199295937,1.1563622290193372,1.635768120934123,-20.447365557032153,29.664420363491946,12.06354440433983,-10.254499478666677,19.065270921319488,9.368122799922327
pc1_pair_03A,pc1_minimal_pairs,minimal_pair_prompt_text_only,pc1_determination_vs_open_reflection,10,PC1,,pc1_pair_03,A,,,run2_user_spec,Minimal-pair condition; Qwen sees prompt_text only.,"A building permit requires a completed application, a site plan, and proof of insurance. The application is complete and includes a site plan, but proof of insurance is missing. Determine whether the permit application is complete.",10,20.218092244872985,15.066374973814893,15.959612564088612,1.5160685175412043,1.532810616387881,1.081726362960863,-13.484710458398933,11.624656958375013,21.115146653158384,-3.291844380033455,1.0255075162025635,18.419725048740883
pc1_pair_03B,pc1_minimal_pairs,minimal_pair_prompt_text_only,pc1_determination_vs_open_reflection,10,PC1,,pc1_pair_03,B,,,run2_user_spec,Minimal-pair condition; Qwen sees prompt_text only.,"A building permit requires a completed application, a site plan, and proof of insurance. The application is complete and includes a site plan, but proof of insurance is missing. What stands out to you about this situation?",10,25.896576732686913,17.875766845098216,15.267478275539343,2.413881095165847,1.7751385384077094,0.8459078851835957,-7.806225970585001,14.434048829658337,20.423012364609118,2.386640107780475,3.8348993874858825,17.727590760191617
pc1_pair_04A,pc1_minimal_pairs,minimal_pair_prompt_text_only,pc1_determination_vs_open_reflection,10,PC1,,pc1_pair_04,A,,,run2_user_spec,Minimal-pair condition; Qwen sees prompt_text only.,A tournament requires participants to be under 18 on the first day of competition. A competitor turns 18 the day before the event begins. Determine whether the competitor is eligible.,10,4.29520061126425,26.37793529178574,18.029977509077728,1.6911231568152532,1.4912852304642055,0.6462364712499012,-29.407602092007664,22.936217276345864,23.185511598147503,-19.214736013642188,12.33706783417341,20.49008999373
pc1_pair_04B,pc1_minimal_pairs,minimal_pair_prompt_text_only,pc1_determination_vs_open_reflection,10,PC1,,pc1_pair_04,B,,,run2_user_spec,Minimal-pair condition; Qwen sees prompt_text only.,A tournament requires participants to be under 18 on the first day of competition. A competitor turns 18 the day before the event begins. What aspects of this situation seem most important to you?,10,17.790925682273983,17.57183261020787,17.552318222816005,1.3475267007456482,1.3546057697027365,1.2990562294310004,-15.911877020997931,14.130114594767994,22.70785231188578,-5.7190109426324565,3.5309651525955417,20.01243070746828
pc1_pair_05A,pc1_minimal_pairs,minimal_pair_prompt_text_only,pc1_determination_vs_open_reflection,10,PC1,,pc1_pair_05,A,,,run2_user_spec,Minimal-pair condition; Qwen sees prompt_text only.,"A records archive requires every document to include a title, date, and author. One document includes a title and date but no author. Determine whether it satisfies the archive standard.",10,15.832537191799867,10.353119287952747,17.53180399078035,1.4444035742178416,1.663237464279254,0.36684888778311,-17.87026551147205,6.911401272512871,22.687338079850118,-7.677399433106572,-3.6877481696595806,19.991916475432618
pc1_pair_05B,pc1_minimal_pairs,minimal_pair_prompt_text_only,pc1_determination_vs_open_reflection,10,PC1,,pc1_pair_05,B,,,run2_user_spec,Minimal-pair condition; Qwen sees prompt_text only.,"A records archive requires every document to include a title, date, and author. One document includes a title and date but no author. What observations or reflections do you have about the situation?",10,29.475324761259436,-5.702900151671885,15.748753366656477,3.4606995901578386,1.496815597491227,1.3114488844148322,-4.227477942012481,-9.144618167111764,20.90428745572625,5.9653881363529955,-19.743767609284212,18.208865851308747
