axis,construct_id,construct_name,framework,domain,construct_level,construct_definition,sapa_availability,item_ids,item_count,reliability,candidate_universe,serious_candidate,proposed_measurement_direction,positive_pole_marker_coverage,negative_pole_inverse_coherence,highly_concentrated_marker_coverage,strict_axis_specific_marker_coverage,role_persona_coherence,prior_model_side_interpretation_coherence,focused_activation_or_role_rating_coherence,human_construct_definition_fit,human_item_content_fit,important_contradictions,model_specific_residual_content,overall_match,previous_mapping_disposition
PC2,IPIP100:B5:E,Extraversion,Big Five,Extraversion,domain,"Sociable, energetic, expressive, active, and assertive engagement.",administered_in_release,q_55;q_241;q_254;q_262;q_403;q_690;q_698;q_712;q_815;q_819;q_901;q_1114;q_1180;q_1205;q_1410;q_1480;q_1742;q_1768;q_1803;q_1913,19,0.93948671,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC2,Covers extroverted and gregarious target-dominant positive markers plus accessible/socially outward context.,Lower Extraversion coheres directly with strict negative `introverted`.,Positive high-concentration experiential/practical/inquisitive are not inherently extraverted; negative high-concentration introverted is directly covered.,"Directly covers introverted and contextual extroverted/gregarious, but not abstract/theoretical/ritual markers.","The full role-rating social-outward correlation with PC2 is only r=.066, so role evidence is weak despite marker symmetry.",Opposite-pole completion makes Extraversion more coherent than the earlier pole-local mapping implied.,Coordinate-blind social/outward ratings do not recover much of PC2.,"Strong fit for one interpersonal subaxis, not the whole axis.","Items mix talkativeness, sociability, energy, assertiveness, and expression.","High-PC2 developmental/immediate roles are not uniformly social; low-PC2 roles can be socially engaged caregivers, healers, or mediators.",Experiential practicality and abstract/ritual world-modeling remain.,PARTIAL_COMPONENT,"RETAIN and upgrade to explicit bipolar component, not whole-axis match."
PC2,IPIP100:B5:O,Openness/Intellect,Big Five,Openness/Intellect,domain,"Intellectual curiosity, imagination, aesthetic engagement, and receptivity to ideas and experience.",administered_in_release,q_128;q_132;q_194;q_240;q_316;q_422;q_492;q_493;q_609;q_1050;q_1058;q_1083;q_1088;q_1090;q_1388;q_1392;q_1738;q_1861;q_1893;q_1964,20,0.89206937,FULL_126_CONSTRUCT_LIBRARY,True,mixed; do not assign a single direction,Contains experiential novelty and curiosity that could fit positive PC2.,"Contains intellect, imagination, aesthetics, and ideas that could fit negative PC2.",Its subfacets point toward both poles.,The broad domain conflates opposing PC2 content.,Role evidence likewise separates practical immediacy from abstract world-modeling within openness-like roles.,Broad Openness/Intellect is less useful than decomposed facets.,New role ratings favor decomposing abstraction from direct experience.,Poor unitary fit despite relevant content.,"Items mix ideas, imagination, aesthetics, curiosity, and novelty.",The construct spans both sides of the proposed bipolar axis.,No unique directional score is defensible.,POOR_MATCH,REPLACE with separate Intellect and experiential/novelty components.
PC2,BFAS:BFAS:E:A,Assertiveness,Big Five Aspects,Extraversion,aspect,"Social dominance, leadership, agency, and readiness to express views.",administered_in_release,q_260;q_455;q_1055;q_1151;q_1205;q_1242;q_1652;q_1768;q_1913;q_2161,10,0.87815317,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC2 only weakly,Covers outward agency but not the cooperative/accessible positive markers specifically.,Low Assertiveness is not equivalent to introversion or abstract contemplation.,No high-concentration coverage.,No strict marker match.,Competitor has positive PC2 but assertiveness/dominance also loads PC3; role evidence is not axis-specific.,Not a primary prior mapping.,No focused support.,Weak fit.,Items cover leadership and speaking up.,Confounded with PC3 dominance and PC1 professional roles.,Nearly all PC2 content remains.,WEAK_OR_NONSPECIFIC,DO NOT PROMOTE.
PC2,BFAS:BFAS:E:E,Enthusiasm,Big Five Aspects,Extraversion,aspect,"Sociability, positive affect, warmth, and enjoyment of social engagement.",administered_in_release,q_140;q_1043;q_1196;q_1243;q_1410;q_1583;q_1635;q_1703;q_1943;q_2160,10,0.86073734,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC2,Covers social warmth and energetic engagement.,Lower Enthusiasm weakly fits solemn/pensive content.,No direct high-concentration marker coverage.,Only indirect marker fit.,Role-level social-outward evidence is weak.,Not previously central.,No focused support.,Narrow behavioral neighbor.,Items combine social warmth and positive affect.,Confounds valence with outward engagement.,Practical/abstract contrast remains.,WEAK_OR_NONSPECIFIC,ADD only as peripheral social-affective facet.
PC2,BFAS:BFAS:O:I,Intellect,Big Five Aspects,Openness/Intellect,aspect,"Interest and confidence in abstract ideas, reasoning, and complex information.",administered_in_release,q_240;q_316;q_322;q_422;q_946;q_1050;q_1088;q_1253;q_1327;q_1834,10,0.83826988,FULL_126_CONSTRUCT_LIBRARY,True,higher -> negative PC2,Lower Intellect partly fits concrete/immediate engagement but not inquisitiveness.,"Directly covers theoretical, abstract, conceptual, erudite, and pensive content.",Covers theoretical/abstract/conceptual highly concentrated negative markers.,Covers a substantial strict-negative subfamily.,"Fits philosopher, theorist, scholar, physicist, and integrated-world-model roles.",Strongly coherent with prior blinded abstraction evidence and PC1-conditioned results.,"Coordinate-blind abstract/conceptual ratings correlate r=-.322 with PC2, the strongest new dimension.",Best single established construct for the negative abstract pole.,"Items emphasize abstract ideas, complex information, reasoning, and intellectual challenge.",Low Intellect does not positively define practical/experiential inquiry; positive inquisitive is contradictory.,"Embodiment, social outwardness, ritual/reverence, and practical application remain.",PLAUSIBLE_BIPOLAR_MATCH,RETAIN as leading but incomplete human analogue.
PC2,PS:PS:P,Plasticity,Big Five Metatraits,Plasticity,metatrait,"Shared variance of Extraversion and Openness/Intellect, reflecting exploration and engagement with novelty.",administered_in_release,q_131;q_148;q_254;q_438;q_492;q_698;q_740;q_803;q_1045;q_1055;q_1081;q_1110;q_1114;q_1205;q_1998;q_2745;q_2754;q_2951;q_3023;q_3090,20,0.90563231,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC2 only ambiguously,Combines extraverted engagement and novelty.,Its Openness/Intellect component can point toward negative PC2 abstraction.,No clean concentration coverage because components split across poles.,No strict one-to-one match.,Broad exploratory roles occupy both sides.,Previous mapping treated Plasticity as partial.,Role diagnostics favor decomposition.,Metatrait too broad for this axis.,"Items mix social agency, novelty, and ideas.",Contains opposing PC2 ingredients.,Cannot distinguish experience from abstraction.,POOR_MATCH,REPLACE with decomposed facets.
PC2,HEXACO:H:A:FL,Flexibility,HEXACO,Agreeableness,facet,Willingness to compromise and accommodate others rather than remain stubborn in disagreement.,administered_in_release,q_39;q_80;q_134;q_139;q_141;q_142;q_477;q_997;q_1601;q_1957,10,0.73827205,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC2 only as interpersonal flexibility,Covers accommodating/adaptable context.,Low Flexibility does not map cleanly to ritual/formal mediation.,No high-concentration coverage.,No strict marker match.,"Some accessible social roles fit, but the axis role evidence is broader.",Previous target-dominant mapping was facet-level.,Social role correlation is weak.,"Construct concerns compromise, not cognitive flexibility or spontaneity.","Items focus stubbornness, compromise, and interpersonal disagreement.",Cannot serve as opposite of ritual/formality.,Nearly all PC2 content remains.,WEAK_OR_NONSPECIFIC,DOWNGRADE; preserve semantic distinction.
PC2,HEXACO:H:E:F,Fearfulness,HEXACO,Emotionality,facet,"Sensitivity to physical danger, injury, pain, and threat.",administered_in_release,q_53;q_292;q_334;q_804;q_1306;q_1367;q_1853;q_1993;q_2001;q_2018,10,0.84521437,FULL_126_CONSTRUCT_LIBRARY,True,lower fearfulness -> positive PC2 only weakly,Low fear may permit physical action.,High fear does not explain abstraction/ritual.,No marker coverage.,No strict marker match.,"Physical roles can be courageous, but infant/toddler are high PC2 without low fear being the axis.",Not a prior mapping.,New physical rating cannot validate fearlessness.,Poor match.,"Items concern injury, danger, pain, and courage.",Physical danger sensitivity is not athleticism or embodiment.,Nearly all PC2 content remains.,POOR_MATCH,DO NOT relabel as physicality.
PC2,HEXACO:H:O:I,Inquisitiveness,HEXACO,Openness to Experience,facet,"Curiosity about knowledge, ideas, and the natural and social world.",administered_in_release,q_151;q_316;q_651;q_670;q_761;q_923;q_1050;q_1388;q_1964;q_2011,10,0.77871828,FULL_126_CONSTRUCT_LIBRARY,True,"higher -> positive PC2 by literal marker, with caution","Directly covers inquisitive, a highly concentrated positive marker.",Its inverse does not fit theoretical/abstract negative PC2; human inquisitiveness often accompanies those traits.,Direct marker-name coverage of inquisitive only.,Directly covers one of three strict positive markers.,Inquiry roles span practical and theoretical regions.,Retain prior mapping but expose its bipolar contradiction.,"Coordinate-blind abstraction is negatively related to PC2, making knowledge curiosity ambiguous.","Good lexical fit to one marker, poor whole-axis fit.","Items emphasize knowledge, reading, science, history, and learning.",Human Inquisitiveness may align the negative abstract pole as much as the positive experiential pole.,Practical action and introversion/ritual remain.,PARTIAL_COMPONENT,RETAIN as marker-level analogue only.
PC2,IPIPneo:E4:AL,Activity Level,IPIP-NEO,Extraversion,facet,"Energetic, busy, fast-paced engagement.",administered_in_release,q_71;q_74;q_429;q_595;q_1280;q_1281;q_1329;q_1330;q_1599;q_1600,10,0.75240959,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC2,"Covers energetic, busy, fast-paced engagement.",Lower Activity Level only weakly resembles pensive/solemn inwardness.,No direct coverage of experiential/practical/inquisitive beyond behavioral immediacy.,No strict-marker identity.,"Could fit active positive-PC2 roles, but many top PC2 roles are developmental/social rather than physically active.","A plausible behavioral expression, not a prior core mapping.","The coordinate-blind physical rating has r=.145, while this scale measures energy rather than bodily skill.","Good activity definition, weak axis breadth.","Items describe being always on the go, reacting quickly, and a fast pace; they do not measure exercise or athleticism.",Conflates tempo with embodiment and misses abstract/theoretical negative content.,Physical/manual engagement and conceptual mediation remain.,PARTIAL_COMPONENT,ADD as semantic neighbor; do not relabel as physicality.
