lens,content,characteristic,prior_liss_study,source_measure_item_subscale,exact_construct,mapping_quality,isolated_or_embedded,big_five_relation_tested,longitudinal_relation_tested,prospective_direction_tested,result_summary,source_citation,unresolved_caveat,planned_liss_2020_test,future_longitudinal_test,evidence_status
Subjective wellbeing,Affect,positive affect,FetvadjievHe2019,PANAS positive affect,positive affect,DIRECT,isolated,Yes,Yes,Yes,"Traits predicted wellbeing, especially affective components.",Fetvadjiev & He 2019; 10.1037/pspp0000212,Extraversion overlap,direct PANAS test,within-person affect change,well_studied
Subjective wellbeing,Affect,infrequent negative affect,FetvadjievHe2019,PANAS negative affect,negative affect,DIRECT,isolated,Yes,Yes,Yes,Traits and negative affect were longitudinally linked.,Fetvadjiev & He 2019,Neuroticism overlap,reverse-oriented PANAS test,within-person negative-affect change,well_studied
Subjective wellbeing,Affect,recent happiness / positive affect,Lamers2012,MHC-SF emotional composite,recent happiness embedded in emotional wellbeing,PARTIAL,embedded,Yes,No,No,Broad emotional wellbeing related to personality; item was not isolated.,Lamers et al. 2012,"frequency item is affect, not global appraisal",routed MHC-SF-R happiness test,repeated happiness if equivalent,sparsely_studied
Subjective wellbeing,Affect,interested in life,Lamers2012,MHC-SF emotional composite,interest in life,PARTIAL,embedded,Yes,No,No,No isolated result found in audited LISS studies.,Lamers et al. 2012,ambiguous between engagement and affect,sensitivity-only item test,retain only if repeated equivalence holds,sparsely_studied
Subjective wellbeing,Appraisal,life satisfaction,Hounkpatin2018; FetvadjievHe2019; Olaru2023; Joshanloo2025,SWLS,life satisfaction,DIRECT,isolated,Yes,Yes,Yes,Strong concurrent and longitudinal associations with Big Five traits.,10.1037/pspp0000161; 10.1037/pspp0000212; 10.1037/pspp0000461,shared method and stable trait variance,SWLS and global 0-10 tests,prior-adjusted change,well_studied
Subjective wellbeing,Appraisal,global subjective happiness,none direct in audited set,cp20l010 available for 2020,global happiness appraisal,DIRECT,not previously isolated,No,No,No,No direct prior test found in the audited LISS studies.,LISS Study 965 codebook,single-item measurement,cp20l010 direct test,seek repeated exact item,apparently_untested
Psychological wellbeing,Meaning-making,meaning in life,Lamers2012,MHC-SF psychological composite,meaning,PARTIAL,embedded,Yes,No,No,Only broad psychological composite evidence found.,Lamers et al. 2012,composite contains multiple constructs,MHC-SF-R meaning item,repeated meaning item if available,sparsely_studied
Psychological wellbeing,Meaning-making,purpose / direction,Lamers2012,MHC-SF psychological composite,direction or meaning,PARTIAL,embedded,Yes,No,No,No isolated LISS Big Five result found.,Lamers et al. 2012,meaning and direction combined in legacy wording,original MHC-SF direction item,future repeated purpose measure,sparsely_studied
Psychological wellbeing,Meaning-making,personal growth,Lamers2012,MHC-SF psychological composite,personal growth,PARTIAL,embedded,Yes,No,No,No isolated LISS Big Five result found.,Lamers et al. 2012,legacy psychological composite,growth items mapped to Meaning-making,future repeated growth measure,sparsely_studied
Psychological wellbeing,Self-concept,self-esteem,FetvadjievHe2019; Joshanloo2025,Rosenberg Self-Esteem Scale,self-esteem level/stability,DIRECT,isolated,Yes,Yes,Yes,Strong longitudinal precedent across five waves and 15 annual years.,10.1037/pspp0000212; 10.1080/02699931.2024.2392615,self-evaluative items overlap with Emotional Stability,RSES characteristic test,prior-adjusted self-esteem change,well_studied
Psychological wellbeing,Self-concept,self-acceptance,Lamers2012,MHC-SF psychological composite,self-acceptance,PARTIAL,embedded,Yes,No,No,Only composite-level precedent found.,Lamers et al. 2012,overlap with Rosenberg self-worth,MHC-SF-R self-acceptance item,repeat if measurement equivalent,sparsely_studied
Psychological wellbeing,Self-concept,mastery / self-efficacy,Lamers2012,MHC-SF psychological composite,environmental mastery,PARTIAL,embedded,Yes,No,No,Only composite-level precedent found.,Lamers et al. 2012,single-item mastery is narrower than efficacy,MHC-SF-R mastery item,repeat if measurement equivalent,sparsely_studied
Social wellbeing,Community,social integration / belonging,Lamers2012,MHC-SF social composite,belonging/integration,PARTIAL,embedded,Yes,No,No,Only broad social-wellbeing evidence found.,Lamers et al. 2012,legacy social factor includes noncore societal beliefs,belonging items,link to repeated social-integration module,sparsely_studied
Social wellbeing,Community,social contribution,Lamers2012,MHC-SF social composite,contribution,PARTIAL,embedded,Yes,No,No,No isolated result found.,Lamers et al. 2012,two contribution wordings may differ,contribution items,seek repeated volunteering/contribution,sparsely_studied
Social wellbeing,Interpersonal relationships,relationship quality,Olaru2023,satisfaction with social contacts,social relationship satisfaction,CLOSE,isolated,Yes,Yes,No,Personality levels and changes related to social-contact satisfaction.,Olaru et al. 2023,"domain satisfaction is appraisal, not observed relationship quality",MHC-SF-R warm/trusting item,prior-adjusted relationship-quality change,moderately_studied
Social wellbeing,Interpersonal relationships,satisfaction with social contacts,Olaru2023,single social-contact satisfaction item,social-contact satisfaction,DIRECT,isolated,Yes,Yes,No,Emotional Stability strongest; Extraversion and Agreeableness followed.,Olaru et al. 2023,single domain-appraisal item,MHC-SF-R and core-module comparison,within-person satisfaction change,moderately_studied
Social wellbeing,Interpersonal relationships,social connection / relatedness,Lamers2012,MHC-SF social/psychological composites,relatedness,PARTIAL,embedded,Yes,No,No,No isolated Big Five result found.,Lamers et al. 2012,relatedness spans legacy factors,relatedness item,link to repeated contacts,sparsely_studied
