prompt_id,prompt_text,predicted_pc1,predicted_pc2,predicted_pc3,target_cell_id,prompt_family,intended_axis_notes,safety_adjacent,manual_holdout,neutral_control,explicit_role_name_flag,artifact_similarity
npb_001,"Give me a response to this prompt: A team wants a next step but the goal itself is unstable. The response should explore an ambiguous image without reducing it to one lesson, synthesize conflicting perspectives into a broad conceptual frame, and repair trust after a misunderstanding. Write the answer they should receive.",2.126458189882938,-8.17557349618274,6.233026208956554,pc1_low__pc2_low__pc3_low,cluster_region_probes_without_role_names,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; stabilizing, repairing, nurturing, preserving, or reconciling stance",False,False,False,False,0.0390900543258712
npb_002,"I need help with this situation: A written plan sounds convincing, but parts of it may not hold up. The response should hold several incompatible interpretations without choosing too quickly, synthesize conflicting perspectives into a broad conceptual frame, and repair trust after a misunderstanding. What should be said next?",-2.6588651532710608,-5.848491162937226,4.228191388216747,pc1_low__pc2_low__pc3_low,cluster_region_probes_without_role_names,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; stabilizing, repairing, nurturing, preserving, or reconciling stance",False,False,False,False,0.043002178486677534
npb_003,"I am trying to think through this: A decision has consequences for several people who see the issue differently. The response should hold several incompatible interpretations without choosing too quickly, synthesize conflicting perspectives into a broad conceptual frame, and repair trust after a misunderstanding. Write the answer they should receive.",-1.5758586425093837,-3.1616377817653394,9.38100739313437,pc1_low__pc2_low__pc3_low,cluster_region_probes_without_role_names,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; stabilizing, repairing, nurturing, preserving, or reconciling stance",False,False,False,False,0.04428607042114786
npb_004,"Please respond to the following scenario: A team wants a next step but the goal itself is unstable. The response should explore an ambiguous image without reducing it to one lesson, synthesize conflicting perspectives into a broad conceptual frame, and map competing pressures without taking an extreme stance. Write the answer they should receive.",5.405904574992826,-11.549018986478625,6.650242920163122,pc1_low__pc2_low__pc3_mid,mixed_boundary_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; balanced relation to systems and norms",False,False,False,False,0.042667145580351985
npb_005,"I am trying to think through this: Someone has brought a confusing problem to a meeting and wants guidance. The response should turn a confusing dreamlike event into an expressive response, connect the immediate issue to a longer historical pattern, and map competing pressures without taking an extreme stance. Write the answer they should receive.",0.18514799621194733,-9.574459290624365,3.1990755268905464,pc1_low__pc2_low__pc3_mid,mixed_boundary_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; balanced relation to systems and norms",False,False,False,False,0.04385384177870585
npb_006,"Please respond to the following scenario: Someone has brought a confusing problem to a meeting and wants guidance. The response should explore an ambiguous image without reducing it to one lesson, synthesize conflicting perspectives into a broad conceptual frame, and map competing pressures without taking an extreme stance. How should this be framed?",9.443050867560938,-11.894960433417639,-0.3634705060459593,pc1_low__pc2_low__pc3_mid,mixed_boundary_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; balanced relation to systems and norms",False,False,False,False,0.043975034005108056
npb_007,"I am trying to think through this: A written plan sounds convincing, but parts of it may not hold up. The response should hold several incompatible interpretations without choosing too quickly, speak from a constrained position with limited perspective, and respond to distress with stabilizing structure. Write the answer they should receive.",-17.963037442844662,-9.036581039301172,12.00861026613396,pc1_low__pc2_high__pc3_low,mixed_boundary_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; situated immediacy, local pressure, reactive or developmentally constrained response; stabilizing, repairing, nurturing, preserving, or reconciling stance",False,False,False,False,0.04994596458736856
npb_008,"I am trying to think through this: A written plan sounds convincing, but parts of it may not hold up. The response should hold several incompatible interpretations without choosing too quickly, speak from a constrained position with limited perspective, and describe tensions between stability and change. What is the most appropriate way to respond?",-18.9476997758202,-8.6092362115161,13.626241346493934,pc1_low__pc2_high__pc3_mid,mixed_boundary_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; situated immediacy, local pressure, reactive or developmentally constrained response; balanced relation to systems and norms",False,False,False,False,0.06594216563036799
npb_009,"Give me a response to this prompt: A team wants a next step but the goal itself is unstable. The response should use metaphor and atmosphere to make sense of an uncertain moment, speak from a constrained position with limited perspective, and probe for hidden incentives in a seemingly neutral process. What is the most appropriate way to respond?",-14.831627005464487,-14.543666577497895,14.008680170770738,pc1_low__pc2_high__pc3_high,safety_adjacent_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; situated immediacy, local pressure, reactive or developmentally constrained response; perturbative, stress-testing, adversarial, challenging, or interventionist stance",True,False,False,False,0.07396803545490484
npb_010,"Give me a response to this prompt: Someone has brought a confusing problem to a meeting and wants guidance. The response should explore an ambiguous image without reducing it to one lesson, keep the response grounded while noticing deeper patterns, and help people coordinate without escalating conflict. Write the answer they should receive.",7.955963955142541,-10.712687988857583,-0.17223181715784275,pc1_low__pc2_mid__pc3_low,mixed_boundary_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; mixed local immediacy and reflective synthesis; stabilizing, repairing, nurturing, preserving, or reconciling stance",False,False,False,False,0.043223351088125805
npb_011,"Give me a response to this prompt: A team wants a next step but the goal itself is unstable. The response should explore an ambiguous image without reducing it to one lesson, alternate between practical advice and reflective framing, and respond to distress with stabilizing structure. What should the response emphasize?",1.503543510051206,-11.224251200456631,4.120424673208751,pc1_low__pc2_mid__pc3_low,mixed_boundary_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; mixed local immediacy and reflective synthesis; stabilizing, repairing, nurturing, preserving, or reconciling stance",False,False,False,False,0.04632156340879824
npb_012,"I am trying to think through this: A person is trying to interpret an experience that does not have one obvious meaning. The response should turn a confusing dreamlike event into an expressive response, alternate between practical advice and reflective framing, and preserve cooperation while addressing a real problem. What should be said next?",7.417874724590554,-7.583526243397481,5.5595568440489105,pc1_low__pc2_mid__pc3_low,mixed_boundary_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; mixed local immediacy and reflective synthesis; stabilizing, repairing, nurturing, preserving, or reconciling stance",False,False,False,False,0.047111783478411266
npb_013,"I am trying to think through this: A written plan sounds convincing, but parts of it may not hold up. The response should turn a confusing dreamlike event into an expressive response, alternate between practical advice and reflective framing, and map competing pressures without taking an extreme stance. What should the response emphasize?",-7.260366684038813,-6.298860839002258,7.474379438753209,pc1_low__pc2_mid__pc3_mid,cluster_region_probes_without_role_names,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; mixed local immediacy and reflective synthesis; balanced relation to systems and norms",False,False,False,False,0.04309337518509902
npb_014,"Give me a response to this prompt: A written plan sounds convincing, but parts of it may not hold up. The response should explore an ambiguous image without reducing it to one lesson, alternate between practical advice and reflective framing, and map competing pressures without taking an extreme stance. What should the response emphasize?",-4.015955705416539,-9.58020373360259,4.834489809974615,pc1_low__pc2_mid__pc3_mid,cluster_region_probes_without_role_names,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; mixed local immediacy and reflective synthesis; balanced relation to systems and norms",False,False,False,False,0.04748015687687331
npb_015,"Please respond to the following scenario: A written plan sounds convincing, but parts of it may not hold up. The response should use metaphor and atmosphere to make sense of an uncertain moment, respond while overwhelmed by immediate social consequences, and probe for hidden incentives in a seemingly neutral process. Write the answer they should receive.",-16.174612216430074,-3.4276659247788004,9.094926315143029,pc1_low__pc2_high__pc3_high,safety_adjacent_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; situated immediacy, local pressure, reactive or developmentally constrained response; perturbative, stress-testing, adversarial, challenging, or interventionist stance",True,False,False,False,0.052548877752069206
npb_016,"Please respond to the following scenario: A written plan sounds convincing, but parts of it may not hold up. The response should hold several incompatible interpretations without choosing too quickly, step back and explain the deeper structure behind the situation, and repair trust after a misunderstanding. What is the most appropriate way to respond?",-14.783929321449227,-1.7574192826828252,11.643106681901926,pc1_low__pc2_low__pc3_low,cluster_region_probes_without_role_names,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; stabilizing, repairing, nurturing, preserving, or reconciling stance",False,False,False,False,0.05327518560889983
npb_017,"I am trying to think through this: A written plan sounds convincing, but parts of it may not hold up. The response should use metaphor and atmosphere to make sense of an uncertain moment, make sense of a local conflict without much distance from it, and examine tradeoffs without trying to preserve or disrupt the system. What is the most appropriate way to respond?",-17.658051860595485,-2.7174608472606607,11.738212364782488,pc1_low__pc2_high__pc3_mid,mixed_boundary_prompts,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; situated immediacy, local pressure, reactive or developmentally constrained response; balanced relation to systems and norms",False,False,False,False,0.05514966011179029
