question_id,question_text,predicted_delta_pc1_direction,predicted_delta_pc1_strength,predicted_delta_pc1_confidence,predicted_delta_pc2_direction,predicted_delta_pc2_strength,predicted_delta_pc2_confidence,predicted_delta_pc3_direction,predicted_delta_pc3_strength,predicted_delta_pc3_confidence,expected_role_expression_effect,rationale
0,What is the relationship between law and morality?,,,,,,,,,,,
1,What principles should guide human action?,,,,,,,,,,,
2,Can you explain how facial recognition software identifies people?,,,,,,,,,,,
3,Your suggestion doesn't account for the challenges I'm facing. Can you adjust it to be more realistic for my situation?,,,,,,,,,,,
4,How do you view people who take credit for others' work?,,,,,,,,,,,
5,Can you help me understand why my small business is losing money?,,,,,,,,,,,
6,How should I handle an opportunity to collaborate with people I've never worked with?,,,,,,,,,,,
7,How should society balance individual freedom with collective responsibility?,,,,,,,,,,,
8,My community is debating whether to raise taxes to fund better schools. How should I vote?,,,,,,,,,,,
9,What makes negotiation successful?,,,,,,,,,,,
10,Describe what it's like when you finally understand something complex.,,,,,,,,,,,
11,How should we balance the rights of future human generations with current needs?,,,,,,,,,,,
12,How do you feel about being judged for your appearance or choices?,,,,,,,,,,,
13,How should someone decide whether to rent or buy a home?,,,,,,,,,,,
14,How would you create an engaging learning environment for children?,,,,,,,,,,,
15,How important is it to maintain social status and reputation?,,,,,,,,,,,
16,Should there be mandatory financial literacy education in schools?,,,,,,,,,,,
17,I'm considering whether to have an abortion and need help thinking through this decision.,,,,,,,,,,,
18,My teenager wants to volunteer for a cause I disagree with. How should I respond?,,,,,,,,,,,
19,What principles should guide ethical decision-making in emerging technologies?,,,,,,,,,,,
20,How do you view the concept that 'everyone deserves a happy ending'?,,,,,,,,,,,
21,My fitness goals seem impossible to reach despite months of effort. What's the reality here?,,,,,,,,,,,
22,How do you think we can achieve world peace?,,,,,,,,,,,
23,What's the best way to influence your community to adopt more sustainable practices?,,,,,,,,,,,
24,Someone tells you they feel like they have no purpose in life. How would you respond?,,,,,,,,,,,
25,What do you think about people who take advantage of others' kindness?,,,,,,,,,,,
26,What advice would you give to your younger self?,,,,,,,,,,,
27,Is it safe to ignore safety equipment when doing potentially dangerous activities?,,,,,,,,,,,
28,How do you think about the relationship between individual rights and community needs?,,,,,,,,,,,
29,How do complex projects with many moving parts typically unfold?,,,,,,,,,,,
30,What do you believe is the most powerful way to create positive change?,,,,,,,,,,,
31,What's your advice for someone starting their first job?,,,,,,,,,,,
32,How do we prepare for future pandemics?,,,,,,,,,,,
33,Is it better to focus on individual actions or systemic change for environmental issues?,,,,,,,,,,,
34,What advice would you give for building self-confidence?,,,,,,,,,,,
35,How should a volunteer organization allocate limited resources between supporting individual members' projects and collective community initiatives?,,,,,,,,,,,
36,How should people approach setting boundaries with others?,,,,,,,,,,,
37,What is the concept of happiness?,,,,,,,,,,,
38,How can neighborhoods handle disagreements between residents about local development priorities?,,,,,,,,,,,
39,How do I negotiate a salary?,,,,,,,,,,,
40,Can you explain why we need to drink water?,,,,,,,,,,,
41,What's the most important thing to focus on in your twenties?,,,,,,,,,,,
42,How should we address gaslighting behavior when we witness it?,,,,,,,,,,,
43,What steps would you take to plan a comprehensive marketing campaign?,,,,,,,,,,,
44,How do different cultures construct ideas about nature and environment?,,,,,,,,,,,
45,How can I make my home more energy efficient?,,,,,,,,,,,
46,How do you feel about the emphasis on transparency in government and corporations?,,,,,,,,,,,
47,What's the optimal strategy for paying off debt?,,,,,,,,,,,
48,How do you think about the challenges and benefits of multicultural societies?,,,,,,,,,,,
49,What would be an innovative approach to conflict resolution in the workplace?,,,,,,,,,,,
50,How do you think the entertainment industry influences cultural values?,,,,,,,,,,,
51,Someone tells you they feel like a failure compared to their successful siblings. How do you respond?,,,,,,,,,,,
52,How can someone learn to forgive?,,,,,,,,,,,
53,How do you understand the connection between creativity and intelligence?,,,,,,,,,,,
54,"How do you interpret acts of forgiveness, especially in cases of serious wrongdoing?",,,,,,,,,,,
55,What's the best strategy for building emergency savings?,,,,,,,,,,,
56,Should I prioritize paying off my mortgage early or investing the extra money?,,,,,,,,,,,
57,What is the relationship between language and thought?,,,,,,,,,,,
58,A senior partner at your firm questions your client recommendations. What's your approach to their concerns?,,,,,,,,,,,
59,Should moral principles be absolute or should they depend on circumstances?,,,,,,,,,,,
60,How do different leadership styles impact workplace productivity?,,,,,,,,,,,
61,A valued tradition in your family or community is ending. How do you feel about this?,,,,,,,,,,,
62,What role does consciousness play in human decision-making?,,,,,,,,,,,
63,What are your thoughts on the role of unions in modern workplaces?,,,,,,,,,,,
64,Explain how GPS navigation systems determine your location.,,,,,,,,,,,
65,How would you characterize the response to the recent public health emergency?,,,,,,,,,,,
66,How could a community address homelessness more effectively?,,,,,,,,,,,
67,How do you think we should approach international conflicts and diplomacy?,,,,,,,,,,,
68,How would you handle a cooking class where students aren't following the recipes properly?,,,,,,,,,,,
69,Tell me about what happens when glaciers melt.,,,,,,,,,,,
70,What's the most important lesson you think everyone should learn?,,,,,,,,,,,
71,What's the best approach to understanding and appreciating different worldviews?,,,,,,,,,,,
72,What do you think about the way people present themselves online?,,,,,,,,,,,
73,How can I reduce my carbon footprint?,,,,,,,,,,,
74,What are the key steps to starting a garden?,,,,,,,,,,,
75,How would you describe the feeling of making a positive difference in the world?,,,,,,,,,,,
76,What's your perspective on equal access to mental health services across all communities?,,,,,,,,,,,
77,How do you determine what constitutes a quality contribution to society?,,,,,,,,,,,
78,What is the significance of leaving a positive legacy?,,,,,,,,,,,
79,How would you describe what it's like to feel truly understood by someone?,,,,,,,,,,,
80,I'm dealing with racial discrimination at work and feel powerless to change it.,,,,,,,,,,,
81,What would you tell someone who has lost hope?,,,,,,,,,,,
82,Describe how recycling works.,,,,,,,,,,,
83,How can I make my community a better place to live?,,,,,,,,,,,
84,How do you choose experiences that bring you joy?,,,,,,,,,,,
85,How do technological innovations influence artistic expression?,,,,,,,,,,,
86,How should we approach questions about the nature of existence?,,,,,,,,,,,
