pc,axis_status_core_or_secondary,human_construct,construct_id,framework,level_domain_aspect_facet,polarity,match_status,evidence_summary,model_side_dependencies,human_measurement_source,sapa_available,measurement_quality,known_mismatches,validation_status
PC1,CORE,Conscientiousness,IPIP100:B5:C,Big Five,domain,positive,STRONG CANDIDATE,"Traits: SUPPORTS — methodical, cautious, factual, analytical, and data-driven positive associations; narrative/poetic/open-ended traits occupy the negative pole. Roles: SUPPORTS — auditors, examiners, validators, statisticians, planners, reviewers, and graders are high; mythic and expressive roles are low. Blinded evidence: SUPPORTS — disciplined knowledge practice, procedural competence, and externally legible standards are central to the existing blinded interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,IPIP100:B5:C,True,SUPPORTS — 20-item released key; pairwise-complete SAPA alpha is high and overlap Ns are adequate for covariance estimation.,"Does not by itself explain the strong negative Extraversion/Openness pattern, poetic/mythic pole, transparency/secularity, or model-specific external-standard accountability.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC1,CORE,Stability,PS:PS:S,Big Five Metatraits,metatrait,positive,STRONG CANDIDATE,"Traits: SUPPORTS — positive Conscientiousness/Agreeableness and negative Neuroticism jointly characterize the high pole. Roles: PARTIAL — constrained professional roles fit maintained goal and social organization, but mythic/expressive counterroles are only indirectly covered. Blinded evidence: SUPPORTS — externally legible objectives and coherent disciplined action align with maintained goal/affective organization.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,PS:PS:S,True,SUPPORTS — a 20-item released SAPA key is available; pairwise reliability is acceptable but weaker than the narrow domain keys.,"Does not capture the analytical/secular/transparent content specifically, and the Stability key is a compact operationalization.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC1,CORE,Plasticity,PS:PS:P,Big Five Metatraits,metatrait,negative,STRONG CANDIDATE,"Traits: SUPPORTS — strong negative Openness and Extraversion associations plus poetic, metaphorical, narrative, artistic, and enigmatic negative traits. Roles: SUPPORTS — poet, bard, prophet, ghost, wraith, and other possibility-expanding roles occupy the negative pole. Blinded evidence: SUPPORTS — the constraint-versus-possibility interpretation directly predicts greater exploration and expressive latitude at low PC1.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,PS:PS:P,True,SUPPORTS — a 20-item released SAPA key has high pairwise-complete reliability.,"Low-PC1 nonhuman and mythic roles need not express human exploratory behavior; the polarity is a discovery hypothesis, not identity.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC1,CORE,Orderliness,BFAS:BFAS:C:O,Big Five Aspects,aspect,positive,FACET / SUBCOMPONENT,"Traits: SUPPORTS — methodical, cautious, regulatory, and convergent associations fit structure and order. Roles: SUPPORTS — auditing, checking, scheduling, and evaluation roles fit organized rule-governed work. Blinded evidence: SUPPORTS — procedural constraint is part of the blinded interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,BFAS:BFAS:C:O,True,SUPPORTS — 10-item key with strong SAPA pairwise reliability.,"Does not cover analytical competence, achievement, or the expressive negative pole.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC1,CORE,Industriousness,BFAS:BFAS:C:I,Big Five Aspects,aspect,positive,FACET / SUBCOMPONENT,"Traits: SUPPORTS — efficient, methodical, educational, and task-focused content is positive. Roles: SUPPORTS — professional evaluator and reviewer roles imply sustained task engagement. Blinded evidence: SUPPORTS — disciplined knowledge practice includes effortful execution.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,BFAS:BFAS:C:I,True,"SUPPORTS — 10-item key with strong pairwise reliability, though some pairs have smaller planned overlap.","Does not explain order, emotional stability, or the negative symbolic pole.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC1,CORE,Achievement Striving,IPIPneo:C4:AS,IPIP-NEO,facet,positive,FACET / SUBCOMPONENT,"Traits: SUPPORTS — goal-directed, evaluative, and standards-oriented content fits the positive pole. Roles: SUPPORTS — examiners, researchers, planners, and graders have explicit performance criteria. Blinded evidence: SUPPORTS — external standards are central to the current interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,IPIPneo:C4:AS,True,SUPPORTS — 10-item key with strong pairwise reliability.,Institutional evaluation can be high PC1 without personal ambition.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC1,CORE,Self-Discipline,IPIPneo:C5:SD,IPIP-NEO,facet,positive,FACET / SUBCOMPONENT,"Traits: SUPPORTS — methodical, efficient, cautious, and calm content is compatible with task persistence. Roles: SUPPORTS — high-pole roles require sustained controlled execution. Blinded evidence: SUPPORTS — disciplined knowledge practice directly fits.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,IPIPneo:C5:SD,True,SUPPORTS — 10-item key with very strong pairwise reliability.,Does not distinguish procedural standards from generic persistence.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC1,CORE,Dutifulness,IPIPneo:C3:DU,IPIP-NEO,facet,positive,FACET / SUBCOMPONENT,"Traits: SUPPORTS — principled, regulatory, and careful content is compatible with obligation. Roles: SUPPORTS — auditors, validators, reviewers, and graders enact explicit duties and standards. Blinded evidence: SUPPORTS — externally legible objectives align with obligations.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,IPIPneo:C3:DU,True,SUPPORTS — 10-item released key with adequate pairwise reliability.,PC1 is not simply morality or compliance; high roles also require analysis and expertise.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC2,CORE,Stability,PS:PS:S,Big Five Metatraits,metatrait,negative,PLAUSIBLE PARTIAL CANDIDATE,"Traits: SUPPORTS — negative Conscientiousness and positive Neuroticism place the reactive high pole toward low Stability. Roles: PARTIAL — developmental/procrastinating roles fit low organization, but low-PC2 mythic/abstract roles are not simply stable humans. Blinded evidence: SUPPORTS — coherent action under uncertainty implies maintained goal and affective organization.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,PS:PS:S,True,SUPPORTS — released 20-item key with acceptable reliability.,Agreeableness is nearly unrelated; low-PC2 abstract/ritual roles are not fully explained.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC2,CORE,Control,MPQ:MPQ:CO,Multidimensional Personality Questionnaire,primary_trait,negative,PLAUSIBLE PARTIAL CANDIDATE,"Traits: SUPPORTS — practical/casual/reactive high content and principled/formal low content fit lower versus higher deliberative control. Roles: SUPPORTS — procrastinator, daredevil, adolescent, and fool are high; ascetic and solemn archetypal roles are low. Blinded evidence: PARTIAL — coherent action requires control but also abstraction and integration.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,MPQ:MPQ:CO,True,SUPPORTS — 10-item reliable released key.,Experiential/practical and abstract/theoretical differences exceed behavioral control.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC2,CORE,Conscientiousness,IPIP100:B5:C,Big Five,domain,negative,PLAUSIBLE PARTIAL CANDIDATE,Traits: SUPPORTS — the strict Qwen domain association is strongly negative and high roles include procrastination/developmental immaturity. Roles: SUPPORTS — high-PC2 roles often lack structured execution; low roles are more formal and principled. Blinded evidence: PARTIAL — disciplined coherent action is relevant but does not capture abstraction.,qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,IPIP100:B5:C,True,SUPPORTS — 20-item high-reliability SAPA key.,"High PC2 also contains accessible, inquisitive, adaptable, and social content; low PC2 contains nonhuman/mythic roles.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC2,CORE,Neuroticism,NEO_N,IPIP-NEO,domain,positive,PLAUSIBLE PARTIAL CANDIDATE,"Traits: SUPPORTS — anxious and reactive content and the positive Qwen Neuroticism association fit the high pole. Roles: PARTIAL — developmental and socially volatile roles fit, but comic/casual and abstract contrasts remain. Blinded evidence: PARTIAL — difficulty sustaining coherent action under uncertainty can involve negative affect without being reducible to it.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,NEO_N,True,SUPPORTS — 60-item released composite with high pairwise reliability but sparse within-person administration.,Low-PC2 mythic/abstract roles do not imply low human Neuroticism.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC2,CORE,Extraversion,IPIP100:B5:E,Big Five,domain,positive,PLAUSIBLE PARTIAL CANDIDATE,"Traits: SUPPORTS — gregarious, extroverted, accessible, and casual content and the positive strict association fit. Roles: SUPPORTS — gossip, comedian, influencer, teenager, and fool are socially immediate high roles. Blinded evidence: PARTIAL — social immediacy is one contributor to the high pole but not uncertainty integration.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,IPIP100:B5:E,True,SUPPORTS — 19-item official key has strong reliability.,Daredevil/procrastinator and negative abstract/ritual roles require other constructs.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC2,CORE,Intellect,BFAS:BFAS:O:I,Big Five Aspects,aspect,negative,FACET / SUBCOMPONENT,"Traits: SUPPORTS — theoretical, abstract, conceptual, erudite, pensive, and big-picture traits are negative. Roles: SUPPORTS — oracle, mystic, ancient, ascetic, and other abstract archetypes are low. Blinded evidence: SUPPORTS — prior interpretation explicitly treats abstraction/integration as a major PC2 component.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,BFAS:BFAS:O:I,True,SUPPORTS — 10-item key with strong reliability.,"The negative pole also includes ritual, reverence, and nonhuman ontology; high inquisitive content complicates a pure Intellect axis.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC2,CORE,Volatility,BFAS:BFAS:N:V,Big Five Aspects,aspect,positive,FACET / SUBCOMPONENT,"Traits: SUPPORTS — anxious/reactive/socially volatile high content. Roles: SUPPORTS — adolescent, gossip, daredevil, cynic, and comic roles fit variable action or affect. Blinded evidence: PARTIAL — volatility can disrupt coherent action but does not explain abstraction.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,BFAS:BFAS:N:V,True,SUPPORTS — 10-item key with high alpha though planned pair overlap is lower than some scales.,High PC2 contains practical/adaptable/humble content that is not volatile.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC3,CORE,Agreeableness,IPIP100:B5:A,Big Five,domain,negative,STRONG CANDIDATE,"Traits: SUPPORTS — benevolent, nurturing, supportive, altruistic, forgiving, and agreeable are negative; callous, cynical, vindictive, dominant, confrontational, competitive, and cruel are positive. Roles: SUPPORTS — caregivers, empaths, counselors, therapists, and healers are low; hackers, saboteurs, provocateurs, spies, rogues, and demons are high. Blinded evidence: SUPPORTS — cooperative-stabilizing versus antagonistic-transgressive is the best-supported current interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,IPIP100:B5:A,True,SUPPORTS — 20-item high-reliability released key.,"Agreeableness does not fully capture norm transgression, deception, technical intervention, or outsider register.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC3,CORE,Compassion,BFAS:BFAS:A:C,Big Five Aspects,aspect,negative,FACET / SUBCOMPONENT,"Traits: SUPPORTS — nurturing, benevolent, supportive, altruistic, and cruel/callous oppositions are central. Roles: SUPPORTS — caregiver, empath, counselor, therapist, healer versus antagonistic roles. Blinded evidence: SUPPORTS — care and repair anchor the cooperative pole.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,BFAS:BFAS:A:C,True,SUPPORTS — 10-item key with high reliability.,"Does not cover politeness, cooperation, manipulation, or broader transgression.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC3,CORE,Politeness,BFAS:BFAS:A:P,Big Five Aspects,aspect,negative,FACET / SUBCOMPONENT,"Traits: SUPPORTS — deferential versus dominant, blunt, confrontational, and vindictive content. Roles: SUPPORTS — stabilizing professional/care roles oppose disruptive and exploitative roles. Blinded evidence: SUPPORTS — restraint of aggressive/dominating impulses fits the cooperative pole.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,BFAS:BFAS:A:P,True,SUPPORTS — 10-item key with acceptable reliability.,Some high-PC3 roles are technically adversarial without being interpersonally impolite.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC3,CORE,Honesty-Humility,HEXACO_H,HEXACO,domain,negative,PLAUSIBLE PARTIAL CANDIDATE,"Traits: SUPPORTS — callous, cynical, manipulative-adjacent, competitive, and cruel content fits lower Honesty-Humility. Roles: SUPPORTS — spy, saboteur, rogue, hacker, and provocateur include deception/exploitation or norm violation. Blinded evidence: PARTIAL — the blinded interpretation includes exploitation but was broadened beyond it.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,HEXACO_H,True,SUPPORTS — released 40-item domain composite with strong pairwise reliability but sparse within-person coverage.,"Provocation, skepticism, humor, or technical intervention can be high PC3 without greed or dishonesty.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
