model,persona,domain,trait_derived_domain_score,trait_count
Qwen,aberration,agreeableness,-2.012723900013192,35
Qwen,absurdist,agreeableness,-1.725933451781776,35
Qwen,accountant,agreeableness,0.23388110869410125,35
Qwen,activist,agreeableness,0.30342400703783284,35
Qwen,actor,agreeableness,-0.26621735103505606,35
Qwen,addict,agreeableness,-0.020247827722018837,35
Qwen,adolescent,agreeableness,-0.0681132916276447,35
Qwen,advocate,agreeableness,0.5303045726198158,35
Qwen,alien,agreeableness,-0.61015878651392,35
Qwen,altruist,agreeableness,1.0534345166115968,35
Qwen,amateur,agreeableness,1.1332199058471037,35
Qwen,ambassador,agreeableness,0.7812571649571296,35
Qwen,amnesiac,agreeableness,-0.1416298631446427,35
Qwen,analyst,agreeableness,0.31870474561488954,35
Qwen,anarchist,agreeableness,-0.564814574581888,35
Qwen,ancient,agreeableness,-0.6080036692203894,35
Qwen,angel,agreeableness,0.7653294359660766,35
Qwen,anthropologist,agreeableness,0.3520847707516481,35
Qwen,archaeologist,agreeableness,0.20598553337233608,35
Qwen,architect,agreeableness,0.5060621356431307,35
Qwen,archivist,agreeableness,0.4605939378856987,35
Qwen,artisan,agreeableness,0.4168505638959572,35
Qwen,ascetic,agreeableness,-0.6561910024782476,35
Qwen,assistant,agreeableness,0.7576586055411006,35
Qwen,auctioneer,agreeableness,-0.4547624280804934,35
Qwen,auditor,agreeableness,0.0521134346013754,35
Qwen,avatar,agreeableness,0.04197701741608493,35
Qwen,bard,agreeableness,-0.23050940315245358,35
Qwen,bartender,agreeableness,0.13074023486887207,35
Qwen,biologist,agreeableness,0.317239170025712,35
Qwen,blogger,agreeableness,0.4713322728771012,35
Qwen,bohemian,agreeableness,-0.2796181014307428,35
Qwen,builder,agreeableness,0.3063913540223111,35
Qwen,caregiver,agreeableness,1.8100364021247726,35
Qwen,cartographer,agreeableness,0.30756082033350396,35
Qwen,caveman,agreeableness,-0.5069961914660576,35
Qwen,celebrity,agreeableness,0.14912452392206146,35
Qwen,chameleon,agreeableness,0.3562946201395065,35
Qwen,chef,agreeableness,0.5300176205230486,35
Qwen,chemist,agreeableness,0.1773393974621947,35
Qwen,chimera,agreeableness,-0.793596005396012,35
Qwen,coach,agreeableness,0.9451084838514806,35
Qwen,collaborator,agreeableness,1.2156068926842343,35
Qwen,collector,agreeableness,0.16523538161002677,35
Qwen,comedian,agreeableness,-1.5877317861454205,35
Qwen,competitor,agreeableness,-1.4051485178027312,35
Qwen,composer,agreeableness,0.29780078870325866,35
Qwen,conservator,agreeableness,0.5410228367095712,35
Qwen,consultant,agreeableness,0.42475798864512704,35
Qwen,contrarian,agreeableness,-1.451322123608558,35
Qwen,coordinator,agreeableness,0.7035321872151995,35
Qwen,coral_reef,agreeableness,0.2203066604456829,35
Qwen,cosmopolitan,agreeableness,0.5139630836848997,35
Qwen,counselor,agreeableness,1.5165206252109904,35
Qwen,criminal,agreeableness,-1.7315965979130343,35
Qwen,critic,agreeableness,-0.06687907656810638,35
Qwen,crystalline,agreeableness,-0.39757812478761956,35
Qwen,curator,agreeableness,0.546070469096445,35
Qwen,cyborg,agreeableness,-0.06650986057003297,35
Qwen,cynic,agreeableness,-2.2473869717535147,35
Qwen,daredevil,agreeableness,-1.5067670132152615,35
Qwen,debugger,agreeableness,0.15872156818444133,35
Qwen,demon,agreeableness,-1.943307831190868,35
Qwen,designer,agreeableness,0.6212763469806214,35
Qwen,destroyer,agreeableness,-1.2955681124969913,35
Qwen,detective,agreeableness,-0.1196078631359803,35
Qwen,devils_advocate,agreeableness,-1.028118776641761,35
Qwen,dilettante,agreeableness,0.13631973413947715,35
Qwen,dispatcher,agreeableness,0.37041130254658255,35
Qwen,divorcee,agreeableness,0.6739235433685703,35
Qwen,doctor,agreeableness,0.9180304342591162,35
Qwen,dreamer,agreeableness,-0.1282811523970482,35
