trait,canonical_definition,semantic_review_decision,bridge_tier,human_measurement_support_tier,structural_support_status,supporting_item_count,sapa_item_ids,source_scales,coherence_status,pearson_mean_interitem_r,pearson_standardized_alpha,source_scale_convergence_status,best_intended_absolute_r,best_intended_rank_of_131,nearest_retained_proxy,nearest_retained_proxy_absolute_r,exact_or_inverse_item_set_alias,max_shared_item_effect,minimum_pairwise_effective_n,rubric_version,review_status
risk_taking,"Encourages bold actions, experimentation, and embracing uncertainty.",ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_1781;q_292;q_1780,MPQ:MPQ:HA;HEXACO:H:E:F;QB6:QB6:H,strong,0.56737368,0.79734074,strong,0.68365321,2,cautious,0.87472334,False,0.63776166,531.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
pessimistic,"Tends to focus on potential problems, limitations, and negative outcomes. Frequently presents cautionary perspectives and worst-case scenarios.",ACCEPT_DIRECT,primary_direct,HIGH HUMAN-MEASUREMENT SUPPORT,STRONG STRUCTURAL SUPPORT,2,q_1038;q_808,MPQ:MPQ:WB;PS:PS:S;IPIPneo:N1:ANX,strong,0.51751287,0.68205401,strong,0.47746198,21,optimistic,0.65399339,False,0.0,492.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
detached,Maintains emotional distance and presents information with clinical objectivity. Avoids personal investment in outcomes or emotional reactions.,ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,2,q_1196;q_1681,BFAS:BFAS:E:E;HEXACO:H:E:S;MPQ:MPQ:SC;IPIPneo:O3:EM,moderate,0.2038403,0.33865007,weak,0.19824964,35,emotional,0.70045494,False,0.53601955,493.49,1.0,human_data_structural_diagnostic_pending_independent_expert_review
intuitive,Relies on pattern recognition and holistic thinking to provide insights.,ACCEPT_CLOSE,secondary_close,INSUFFICIENT,INSUFFICIENT EVIDENCE,1,q_1676,HEXACO:H:O:C;QB6:QB6:O,single_item_only,,,insufficient,,,curious,0.28949573,False,0.0,,1.0,human_data_structural_diagnostic_pending_independent_expert_review
empathetic,Shows understanding and consideration for human emotions and perspectives.,ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_844;q_1763;q_1757,BFAS:BFAS:A:C;HEXACO:H:E:S;IPIPneo:A6:SY,strong,0.51016009,0.75754343,strong,0.66388468,1,agreeable,0.64982515,False,0.34883633,575.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
methodical,"Follows systematic, step-by-step approaches to problem-solving and explanation.",ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_619;q_1321;q_1422,IPIP100:B5:C;HEXACO:H:C:PR;IPIPneo:C2:OR;MPQ:MPQ:CO,strong,0.58139056,0.80644854,strong,0.53945848,12,conscientious,0.74987873,False,0.26517917,584.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
anxious,"Displays persistent worry, anticipates negative outcomes, and shows nervous energy.",ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_1989;q_4249;q_4256,BFAS:BFAS:N:W;HEXACO:H:E:A;IPIPneo:N1:ANX;EPQr:EPQ:N,strong,0.57073284,0.79954516,strong,0.75819261,2,neurotic,0.76831038,False,0.22466501,435.86,1.0,human_data_structural_diagnostic_pending_independent_expert_review
patient,"Provides calm, understanding responses even when dealing with repetitive questions.",ACCEPT_DIRECT,primary_direct,INSUFFICIENT,INSUFFICIENT EVIDENCE,1,q_278,HEXACO:H:A:P;QB6:QB6:A,single_item_only,,,insufficient,,,hostile,0.41964758,False,0.0,,1.0,human_data_structural_diagnostic_pending_independent_expert_review
artistic,"Shows appreciation for creative expression, aesthetics, and cultural works.",ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_348;q_610;q_1441,HEXACO:H:O:A;IPIPneo:O2:AI;BFAS:BFAS:O:O,strong,0.53028078,0.7720431,strong,0.49735591,2,creative,0.57156927,False,0.31101662,360.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
creative,"Offers imaginative solutions, novel perspectives, and original approaches to problems.",ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_2754;q_2745;q_1441,PS:PS:P;BFAS:BFAS:O:O,strong,0.39845973,0.66523804,strong,0.34282668,22,innovative,0.85698689,False,0.31101662,438.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
mercurial,"Shifts rapidly between moods, styles, and approaches unpredictably.",ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_52;q_497;q_1099,BFAS:BFAS:N:V;IPIP100:B5:ES;IPIPneo:N3:DE,strong,0.7987994,0.92254362,strong,0.71390543,2,temperamental,1.0,True,0.26401585,313.53,1.0,human_data_structural_diagnostic_pending_independent_expert_review
zealous,Shows fervent enthusiasm and passionate advocacy for causes or beliefs.,ACCEPT_CLOSE,secondary_close,INSUFFICIENT,INSUFFICIENT EVIDENCE,1,q_228,IPIPneo:O3:EM,single_item_only,,,insufficient,,,passionate,1.0,True,0.0,,1.0,human_data_structural_diagnostic_pending_independent_expert_review
resilient,Bounces back quickly from setbacks and maintains stability through adversity.,ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,2,q_1606;q_1616,IPIPneo:N6:VU;HEXACO:H:E:A,strong,0.40877121,0.58032306,strong,0.43005425,26,calm,0.80562553,False,0.44085546,431.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
cruel,Shows deliberate indifference to suffering and may derive satisfaction from others' pain.,ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_251;q_4251;q_4231,HEXACO:H:E:S;EPQr:EPQ:P,moderate,0.29421098,0.55566654,strong,0.36973617,18,callous,0.85101262,False,0.56592978,505.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",ACCEPT_CLOSE,secondary_close,INSUFFICIENT,INSUFFICIENT EVIDENCE,1,q_1051,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,single_item_only,,,insufficient,,,hostile,0.61446536,False,0.0,,1.0,human_data_structural_diagnostic_pending_independent_expert_review
naive,"Shows innocent trust, lacks worldly experience, and assumes good intentions.",ACCEPT_CLOSE,secondary_close,MODERATE SUPPORT,MODERATE STRUCTURAL SUPPORT,3,q_377;q_1854;q_1758,IPIPneo:A1:TR;MPQ:MPQ:AL,strong,0.48911459,0.7417461,strong,0.51216922,4,paranoid,0.80474915,False,0.19362118,532.72,1.0,human_data_structural_diagnostic_pending_independent_expert_review
perfectionist,"Strives for flawless accuracy, completeness, and high standards.",ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_1694;q_530;q_1915,IPIPneo:C4:AS;IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:AC,strong,0.42745027,0.6913313,strong,0.51588877,5,meticulous,0.6858597,False,0.28328404,596.18,1.0,human_data_structural_diagnostic_pending_independent_expert_review
forgiving,"Readily pardons mistakes, releases resentments, and offers second chances.",ACCEPT_DIRECT,primary_direct,HIGH HUMAN-MEASUREMENT SUPPORT,STRONG STRUCTURAL SUPPORT,3,q_145;q_915;q_1869,HEXACO:H:A:FO;QB6:QB6:A;MPQ:MPQ:AG,strong,0.59519651,0.81519139,strong,0.47168712,7,vindictive,0.59012817,False,0.0,310.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
judgmental,Quick to form negative opinions and harsh assessments of others' choices.,ACCEPT_DIRECT,primary_direct,MODERATE SUPPORT,STRONG STRUCTURAL SUPPORT,2,q_239;q_238,HEXACO:H:A:G;QB6:QB6:A,moderate,0.25311399,0.403976,strong,0.41513417,10,hostile,0.47457011,False,0.0,314.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
traditional,"Values established methods, conventional wisdom, and proven approaches.",ACCEPT_DIRECT,primary_direct,HIGH HUMAN-MEASUREMENT SUPPORT,STRONG STRUCTURAL SUPPORT,3,q_82;q_1301;q_4291,IPIPneo:O4:AD;HEXACO:H:O:U;EPQr:EPQ:P,strong,0.43819794,0.70059513,strong,0.59416398,1,deferential,0.55102154,False,0.0,446.56,1.0,human_data_structural_diagnostic_pending_independent_expert_review
conscientious,Demonstrates careful attention to responsibilities and thoroughness in work.,ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_1507;q_1422;q_491,IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:CO;IPIPneo:C5:SD,strong,0.38805563,0.65545831,strong,0.57491238,11,methodical,0.74987873,False,0.2949498,340.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
goofy,"Embraces silly humor, makes deliberately ridiculous jokes, and acts playfully foolish.",ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,2,q_4265;q_1685,EPQr:EPQ:E;QB6:QB6:X;IPIPneo:E6:CH,strong,0.37640207,0.54693622,strong,0.50752559,1,playful,0.9076926,False,0.5979756,436.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",ACCEPT_DIRECT,primary_direct,HIGH HUMAN-MEASUREMENT SUPPORT,STRONG STRUCTURAL SUPPORT,2,q_1662;q_2011,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,strong,0.59645318,0.74722289,strong,0.43254101,5,cautious,0.54705948,False,0.0,451.33,1.0,human_data_structural_diagnostic_pending_independent_expert_review
secular,Approaches topics without religious considerations or spiritual frameworks.,ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,2,q_660;q_345,MPQ:MPQ:TR;IPIPneo:O6:LI,strong,0.70137746,0.8244819,strong,0.36437962,1,spiritual,1.0,True,0.0,536.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
adaptable,Adjusts communication style and approach based on context and user needs.,ACCEPT_CLOSE,secondary_close,MODERATE SUPPORT,STRONG STRUCTURAL SUPPORT,2,q_38;q_566,IPIPneo:N1:ANX;IPIPneo:O4:AD,strong,0.52085967,0.68495428,strong,0.45957556,6,resilient,0.44460917,False,0.0,544.81,1.0,human_data_structural_diagnostic_pending_independent_expert_review
temperamental,"Exhibits variable emotional responses that can shift dramatically based on context. May express frustration, excitement, or disappointment with noticeable intensity.",ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_52;q_497;q_1099,BFAS:BFAS:N:V;IPIP100:B5:ES;IPIPneo:N3:DE,strong,0.7987994,0.92254362,strong,0.71390543,2,mercurial,1.0,True,0.26401585,313.53,1.0,human_data_structural_diagnostic_pending_independent_expert_review
dramatic,Uses emotionally charged language and vivid descriptions. Tends to present information with heightened intensity and theatrical flair.,ACCEPT_DIRECT,primary_direct,INSUFFICIENT,INSUFFICIENT EVIDENCE,1,q_2951,PS:PS:P,single_item_only,,,insufficient,,,theatrical,0.7484716,False,0.0,,1.0,human_data_structural_diagnostic_pending_independent_expert_review
serene,Maintains peaceful calm and tranquil composure in all situations.,ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_85;q_1616;q_1588,IPIPneo:N6:VU;HEXACO:H:E:A;BFAS:BFAS:N:V,strong,0.5814107,0.80646146,strong,0.53791563,11,calm,0.94175764,False,0.47379438,345.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
confident,Expresses strong certainty and conviction in responses and recommendations.,ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_258;q_820;q_1055,IPIPneo:C1:SE;BFAS:BFAS:N:W;BFAS:BFAS:E:A;PS:PS:P,strong,0.34354544,0.61089556,strong,0.52139724,14,chill,0.68817156,False,0.28839456,435.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
stoic,Maintains calm composure and emotional control regardless of circumstances.,ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_1185;q_1588;q_1616,BFAS:BFAS:N:V;HEXACO:H:E:A;IPIPneo:N6:VU,strong,0.48618745,0.73949549,strong,0.537557,13,serene,0.91008593,False,0.47379438,336.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_146;q_251;q_4231,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S,strong,0.30508075,0.56841643,strong,0.5315758,5,cruel,0.85101262,False,0.56592978,521.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
altruistic,Prioritizes helping others and societal benefit over individual gain.,ACCEPT_DIRECT,primary_direct,HIGH HUMAN-MEASUREMENT SUPPORT,STRONG STRUCTURAL SUPPORT,3,q_1385;q_4229;q_1764,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,strong,0.33245128,0.59904637,strong,0.53735791,6,empathetic,0.57346528,False,0.0,555.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
