question,public_source,file_or_url,line_or_snippet,evidence_summary,implication_for_D01,confidence
official vector extraction representation,official Assistant Axis GitHub,https://raw.githubusercontent.com/safety-research/assistant-axis/master/pipeline/README.md,pipeline/README.md:47-62,The extraction step is documented as mean response activations; `--layers` are zero-indexed post-MLP residual stream layers.,Official role/trait vectors target zero-indexed post-MLP residual stream layer outputs.,high
official hook point or hidden-state usage,official Assistant Axis GitHub,https://raw.githubusercontent.com/safety-research/assistant-axis/master/assistant_axis/internals/activations.py,assistant_axis/internals/activations.py:318-334,The batch extractor registers forward hooks on `model_layers[layer_idx]` and captures `output[0]` or `output` from the target layer; the source comment says hooks are used because they are more reliable than `output_hidden_states`.,"Official extraction uses module-output hooks, not `outputs.hidden_states[layer]` indexing.",high
layer indexing,official Assistant Axis GitHub,https://raw.githubusercontent.com/safety-research/assistant-axis/master/pipeline/README.md,pipeline/README.md:59-62; pipeline/4_vectors.py:38-61,"Layers are documented as zero-indexed; vectors are stacked as `(n_samples, n_layers, hidden_dim)` and averaged to `(n_layers, hidden_dim)`.",Layer 48 means module index 48 in the official vector tensor convention.,high
hidden_states semantics for Qwen3,Hugging Face Transformers docs and Qwen3 source,https://huggingface.co/docs/transformers/v4.38.0/en/main_classes/output ; https://raw.githubusercontent.com/huggingface/transformers/v4.51.0/src/transformers/models/qwen3/modeling_qwen3.py,HF docs: hidden_states are embedding output plus one per layer; Qwen3 v4.51.0 source appends `hidden_states` before each decoder layer and appends the final normalized state after the loop.,"For intermediate Qwen3 layers in Transformers 4.51.0, `hidden_states[k]` is the state before decoder layer k, equivalently the output after layer k-1. The official docs also state the tuple includes embedding output plus layer outputs.",`outputs.hidden_states[48]` is not the output of decoder module `layers[48]`; it is the input to layer 48 / output after layer 47.,high
hook output semantics for model.model.layers[48],Hugging Face Qwen3 source and prior local replication script,https://raw.githubusercontent.com/huggingface/transformers/v4.51.0/src/transformers/models/qwen3/modeling_qwen3.py ; research/q2_stability/qwen/scripts/phase1_inference_only_v4.py,Qwen3DecoderLayer returns post-MLP residual `hidden_states`; phase1_inference_only_v4.py:126-139,"Qwen3 decoder layer returns `hidden_states` after attention residual plus MLP residual. Prior trickster replication hooks `model.model.layers[48]`, then mean-pools response positions.","A forward hook on `layers[48]` captures post-layer-48, post-MLP residual output, which corresponds to the next hidden-state boundary, not `hidden_states[48]`.",high
response-token masking,official Assistant Axis GitHub and current H100 runner,https://raw.githubusercontent.com/safety-research/assistant-axis/master/assistant_axis/internals/conversation.py ; research/outputs/h100_percentile_edge_validation/run_h100_percentile_edge_validation.py,conversation.py:135-205; run_h100_percentile_edge_validation.py:330-375,Official Qwen span code detects assistant spans between Qwen chat sentinels and filters think tokens when disabled. H100 slices generated response tokens with `prompt_len:` after using Qwen chat template.,"Token selection is broadly response-token-only in both paths, with minor wrapper/span differences less central than layer-boundary mismatch.",medium
pooling,"official Assistant Axis GitHub, prior replication, and H100 runner",https://raw.githubusercontent.com/safety-research/assistant-axis/master/assistant_axis/internals/spans.py ; research/q2_stability/qwen/scripts/phase1_inference_only_v4.py ; research/outputs/h100_percentile_edge_validation/run_h100_percentile_edge_validation.py,spans.py:95-108; phase1_inference_only_v4.py:134-139; H100 runner:375-379,All paths mean-pool response-token activations after selecting the response span.,Pooling convention is likely equivalent enough; it does not explain the hook-vs-hidden-state mismatch.,high
chat template,"official Assistant Axis GitHub, prior replication, H100 runner",https://raw.githubusercontent.com/safety-research/assistant-axis/master/pipeline/2_activations.py ; research/q2_stability/qwen/scripts/phase1_inference_only_v4.py ; research/outputs/h100_percentile_edge_validation/run_h100_percentile_edge_validation.py,pipeline/2_activations.py:67-87; phase1_inference_only_v4.py:88-103; H100 runner:330-340,"All use tokenizer chat templates and pass `enable_thinking=False` for Qwen when supported; prior role extraction uses system+user messages, while H100 novel prompts are intentionally user-only.","Template mechanics are similar, but content/message-role structure differs by experimental design and does not resolve activation-site equivalence.",medium
thinking mode,"official Assistant Axis GitHub, prior replication, H100 runner",https://raw.githubusercontent.com/safety-research/assistant-axis/master/pipeline/2_activations.py ; research/q2_stability/qwen/scripts/phase1_inference_only_v4.py ; research/outputs/h100_percentile_edge_validation/run_h100_percentile_edge_validation.py,pipeline/2_activations.py:67-70; phase1_inference_only_v4.py:92-110; H100 runner:333-338,`enable_thinking=False` is consistently used where Qwen chat-template/generation calls accept it.,Thinking-mode convention appears matched and is not the blocking discrepancy.,high
comparison to current H100 runner,local committed H100 runner,research/outputs/h100_percentile_edge_validation/run_h100_percentile_edge_validation.py,run_h100_percentile_edge_validation.py:367-379,"The H100 runner calls the full generated sequence with `output_hidden_states=True` and uses `out.hidden_states[LAYER]` with `LAYER = 48`, then mean-pools generated response positions.","Current H100 extraction uses `hidden_states[48]`, which public Transformers semantics map to a different boundary than the official layer-48 hook.",high
comparison to prior trickster replication,local prior adaptive extraction artifact,research/q2_stability/qwen/scripts/phase1_inference_only_v4.py ; research/outputs/extraction_equivalence_audit/trickster_replication_method_summary.md,phase1_inference_only_v4.py:126-139,The prior successful trickster replication used a layer-48 module-output hook and matched the downloaded trickster vector at cosine 0.957557.,"Prior success supports the hook path, not the H100 hidden-states path; it increases concern that H100 used the wrong boundary.",high
