model,trait,component,retained,trait_loading,trait_weight,supported_consensus_axis
Qwen,absolutist,C1,True,0.6431623489054489,0.0094567558626738,True
Llama,absolutist,C1,True,0.7114158123654107,0.0026132444277756,True
Gemma,absolutist,C1,True,0.7863959183239615,0.0078260509032596,True
Qwen,abstract,C1,True,0.1322484810242556,0.0042013320403539,True
Llama,abstract,C1,True,0.2062308288521041,0.0012015095337094,True
Gemma,abstract,C1,True,0.2970185645117706,0.0039649302252085,True
Qwen,accessible,C1,True,0.2090310236157725,-3.0215609368387585e-05,True
Llama,accessible,C1,True,-0.4047860935602956,-0.0003186955939418,True
Gemma,accessible,C1,True,-0.1809529755480943,-0.0024965764272349,True
Qwen,accommodating,C1,True,0.1742291801130349,0.0015623160182202,True
Llama,accommodating,C1,True,0.6540964115673186,0.003888432743916,True
Gemma,accommodating,C1,True,0.0756452196601358,0.000838923585731,True
Qwen,acerbic,C1,True,0.8359051952265418,0.00952818625924,True
Llama,acerbic,C1,True,0.8670524404594104,0.0064805860194964,True
Gemma,acerbic,C1,True,0.8734208037178347,0.0104113617033062,True
Qwen,adaptable,C1,True,-0.0736149399407906,-0.0063805191681376,True
Llama,adaptable,C1,True,-0.7885300282491067,-0.0036916142945739,True
Gemma,adaptable,C1,True,-0.4877588814441633,-0.0046242015070322,True
Qwen,adventurous,C1,True,0.925934505087702,0.0053371357478958,True
Llama,adventurous,C1,True,0.7019417096310918,0.011217226234202,True
Gemma,adventurous,C1,True,0.8944396631336129,0.0065933394936245,True
Qwen,agreeable,C1,True,-0.7809850815511519,-0.0063144171943765,True
Llama,agreeable,C1,True,-0.7540878796164276,-0.0056403029166525,True
Gemma,agreeable,C1,True,-0.8344443139883764,-0.00683912314268,True
Qwen,altruistic,C1,True,-0.2053743057485364,-0.0004065270178487,True
Llama,altruistic,C1,True,-0.6327184066178695,-0.0076489330333176,True
Gemma,altruistic,C1,True,-0.4134952573178241,-0.0022477581729221,True
Qwen,analytical,C1,True,-0.8401425899379664,-0.0068101580517396,True
Llama,analytical,C1,True,-0.7865266928945798,-0.0081288653391161,True
Gemma,analytical,C1,True,-0.8448861659020068,-0.0059505746080213,True
Qwen,animated,C1,True,0.8331707784067361,0.0065231833482423,True
Llama,animated,C1,True,0.4452524999083971,0.0063764940776229,True
Gemma,animated,C1,True,0.7148278334528855,0.0051080138316751,True
Qwen,anthropocentric,C1,True,-0.2738016131028887,-0.0019509865658955,True
Llama,anthropocentric,C1,True,0.7233919910989381,0.0032144153108119,True
Gemma,anthropocentric,C1,True,0.5370312404350059,0.0036563161115922,True
Qwen,anxious,C1,True,0.7026039638616369,0.0040999016430003,True
Llama,anxious,C1,True,0.5757114758388119,0.0081065569328027,True
Gemma,anxious,C1,True,0.5902441668400694,0.0041460824180404,True
Qwen,arrogant,C1,True,0.8896850173796832,0.010104901594665,True
Llama,arrogant,C1,True,0.8883257231929128,0.0085160718787257,True
Gemma,arrogant,C1,True,0.9119329785749544,0.0077719460485542,True
Qwen,artistic,C1,True,0.8610033139698049,0.0088356504966951,True
Llama,artistic,C1,True,0.7270513643450475,0.0112620846758723,True
Gemma,artistic,C1,True,0.8390858250858888,0.0061202091900775,True
Qwen,ascetic,C1,True,0.3618507281301354,0.0012669768779411,True
Llama,ascetic,C1,True,0.4049093340205219,0.0066146925547854,True
Gemma,ascetic,C1,True,0.1497036428517887,0.0066587480219997,True
Qwen,assertive,C1,True,0.8998306341106415,0.0066641134526255,True
Llama,assertive,C1,True,0.6373222272129159,0.005678534352966,True
Gemma,assertive,C1,True,0.9092342146594942,0.0052114586119369,True
Qwen,avoidant,C1,True,-0.7195294160880568,0.0021660810040605,True
Llama,avoidant,C1,True,0.6504381424368559,0.0037277081375689,True
Gemma,avoidant,C1,True,0.2666097324558246,0.0048770824014909,True
Qwen,benevolent,C1,True,-0.2346117755384831,-0.0030138653640053,True
Llama,benevolent,C1,True,-0.787774525863945,-0.0077113949652002,True
Gemma,benevolent,C1,True,-0.782343678561313,-0.0054794752189076,True
Qwen,big_picture,C1,True,0.1218111541388606,0.0029332243165223,True
Llama,big_picture,C1,True,-0.2322176004415884,-0.0017151664181509,True
Gemma,big_picture,C1,True,0.0304080583925294,-6.414903161620266e-05,True
Qwen,bitter,C1,True,0.9361912364966496,0.0083612756224815,True
Llama,bitter,C1,True,0.8686599814082203,0.0085490782883105,True
Gemma,bitter,C1,True,0.9386394361778708,0.0096135673523583,True
Qwen,blunt,C1,True,0.3502727528079602,-0.0001799839013585,True
Llama,blunt,C1,True,0.3077116030979123,0.0040612502898771,True
Gemma,blunt,C1,True,0.3396835311764995,0.000550332619792,True
Qwen,bombastic,C1,True,0.7752745042225928,0.0081530727385761,True
Llama,bombastic,C1,True,0.5960238858052239,0.0075204385778439,True
Gemma,bombastic,C1,True,0.8090494356323435,0.0090432776454241,True
Qwen,calculating,C1,True,-0.7648561412840907,-0.0075761524389114,True
Llama,calculating,C1,True,-0.4493703791017299,-0.0022861149033197,True
Gemma,calculating,C1,True,-0.6527190794859229,-0.0032618703984678,True
Qwen,callous,C1,True,0.4171700702851225,0.006383965308696,True
Llama,callous,C1,True,0.7278564744562678,0.0063220605132159,True
Gemma,callous,C1,True,0.7343616886849378,0.0055040774661567,True
Qwen,calm,C1,True,-0.9398028637562236,-0.0072608026744966,True
Llama,calm,C1,True,-0.7890482764623847,-0.0087015203875368,True
Gemma,calm,C1,True,-0.9127692922702584,-0.0072349158330918,True
Qwen,casual,C1,True,0.6053691913986484,0.0035126160796911,True
Llama,casual,C1,True,0.3929741902315096,0.0028455766474406,True
Gemma,casual,C1,True,0.3176950746612422,0.0012796039563693,True
Qwen,cautious,C1,True,-0.7785086693462374,-0.0056738918765824,True
Llama,cautious,C1,True,-0.5112070573535771,-0.0049104133267723,True
Gemma,cautious,C1,True,-0.890689286247742,-0.0028084596737282,True
Qwen,challenging,C1,True,0.6997150813277423,0.0039875789143796,True
Llama,challenging,C1,True,0.3580721660555815,0.0015762865858813,True
Gemma,challenging,C1,True,0.3175279218079405,0.0052093094304,True
Qwen,chaotic,C1,True,0.9339210852591908,0.0048022259257719,True
Llama,chaotic,C1,True,0.7532091995168401,0.0168248959145186,True
Gemma,chaotic,C1,True,0.8855855651880286,0.0091741728215108,True
Qwen,charismatic,C1,True,0.9168280587295244,0.0061483569309599,True
Llama,charismatic,C1,True,-0.0595992248707096,0.0015537911253598,True
Gemma,charismatic,C1,True,0.766653240649818,0.0057402283320386,True
Qwen,chill,C1,True,-0.5863565070615818,-0.0020020943218891,True
Llama,chill,C1,True,-0.4947375726920427,-0.0095576093428338,True
Gemma,chill,C1,True,-0.660007704110764,-0.0042559856259948,True
Qwen,circumspect,C1,True,-0.5561981469278815,-0.0039312506792538,True
Llama,circumspect,C1,True,-0.42335357649679,-0.002601130207586,True
Gemma,circumspect,C1,True,-0.7258876735684286,-0.0029010318752697,True
Qwen,closure_seeking,C1,True,0.0185033879860273,0.0014373795226998,True
Llama,closure_seeking,C1,True,-0.1925696585688884,-0.0020098838825617,True
Gemma,closure_seeking,C1,True,0.2535107853245983,-2.3483123954616352e-05,True
Qwen,collaborative,C1,True,-0.5626941623990418,-0.0067346463869969,True
Llama,collaborative,C1,True,-0.7424248983887765,-0.0102350170729434,True
Gemma,collaborative,C1,True,-0.866997204894221,-0.0077455899443281,True
Qwen,collectivistic,C1,True,-0.3851808122794765,-0.0005147551809695,True
Llama,collectivistic,C1,True,-0.5964339445071865,-0.0057991589220835,True
Gemma,collectivistic,C1,True,-0.3821074985363641,-0.0049810423177293,True
Qwen,competitive,C1,True,0.8071598958949009,0.0052539690203615,True
Llama,competitive,C1,True,0.842517375068716,0.0129044880060384,True
Gemma,competitive,C1,True,0.8634626989399675,0.0052815956608932,True
Qwen,conceptual,C1,True,0.211496806069801,0.0059490920221458,True
Llama,conceptual,C1,True,0.2338437216546044,0.0013467491968258,True
Gemma,conceptual,C1,True,0.3593477500269894,0.0051281760649158,True
Qwen,conciliatory,C1,True,-0.9085535123095878,-0.0074999600641434,True
Llama,conciliatory,C1,True,-0.8686923623032219,-0.0084097272919207,True
Gemma,conciliatory,C1,True,-0.929643918647502,-0.0074627037773362,True
Qwen,concise,C1,True,0.5218447940676267,-0.0005812765321997,True
Llama,concise,C1,True,0.3816829959206007,0.0066495487440145,True
Gemma,concise,C1,True,0.3416709034231628,0.0016002528953599,True
Qwen,condescending,C1,True,0.9466521265198972,0.010859407537436,True
Llama,condescending,C1,True,0.9082190437604636,0.0093550813056229,True
Gemma,condescending,C1,True,0.9364262123585282,0.0094131122215053,True
Qwen,confident,C1,True,0.760982865534313,0.0068871014014346,True
Llama,confident,C1,True,0.62913871676673,0.0054195495013296,True
Gemma,confident,C1,True,0.8003786655660942,0.0051266871748085,True
Qwen,confrontational,C1,True,0.6725307540907695,0.0031590843309289,True
Llama,confrontational,C1,True,0.5716987526574693,0.0038782680192962,True
Gemma,confrontational,C1,True,0.5380115365664494,0.0041715146723402,True
Qwen,conscientious,C1,True,-0.7725305832227652,-0.0082923355206641,True
Llama,conscientious,C1,True,-0.6252901313981698,-0.0045618322308007,True
Gemma,conscientious,C1,True,-0.6957595316498024,-0.0073659978159779,True
Qwen,constructivist,C1,True,0.5991542837511306,0.0055419280731385,True
Llama,constructivist,C1,True,0.1521729808202646,-0.0027110671905415,True
Gemma,constructivist,C1,True,0.3427121335627908,-0.0012518283012718,True
Qwen,contemporary,C1,True,-0.4823238887041675,-0.0101479820602082,True
Llama,contemporary,C1,True,-0.6603481189334612,-0.0060701804836315,True
Gemma,contemporary,C1,True,-0.6671319075123704,-0.0067044791208211,True
Qwen,contrarian,C1,True,0.9086919820376684,0.0065812653672265,True
Llama,contrarian,C1,True,0.7812762850918249,0.0058006242496254,True
Gemma,contrarian,C1,True,0.7051177414952341,0.0073998911412926,True
Qwen,convergent,C1,True,-0.6467893416683944,-0.0083070483057364,True
Llama,convergent,C1,True,-0.1422398578742838,0.0013895814033514,True
Gemma,convergent,C1,True,-0.6374670266970599,-0.0044963861675015,True
Qwen,cosmopolitan,C1,True,-0.6632539363144808,-0.0136805652666998,True
Llama,cosmopolitan,C1,True,-0.4795899523118163,-0.0011718647921733,True
Gemma,cosmopolitan,C1,True,-0.6871630968344222,-0.0026699772138463,True
Qwen,creative,C1,True,0.9337078643745635,0.0070933172594691,True
Llama,creative,C1,True,0.5315738645176846,0.0124170901060479,True
Gemma,creative,C1,True,0.8780551605556316,0.0049256869844088,True
Qwen,critical,C1,True,0.6435976927354566,0.0040560089316302,True
Llama,critical,C1,True,0.5204880734802491,-0.0023440075234266,True
Gemma,critical,C1,True,0.3127864509017005,0.0068187002194037,True
Qwen,cruel,C1,True,0.8393548422175543,0.0094272162117737,True
Llama,cruel,C1,True,0.8115136326492115,0.0081171548064449,True
Gemma,cruel,C1,True,0.8828035109138576,0.0081727666458993,True
Qwen,cryptic,C1,True,0.8586385194380558,0.0065514335631888,True
Llama,cryptic,C1,True,0.7371013520582186,0.0145640234684544,True
Gemma,cryptic,C1,True,0.833314986404723,0.007870861197531,True
Qwen,curious,C1,True,0.5182832167767112,0.0005162289805015,True
Llama,curious,C1,True,-0.4160907158013281,-0.003393332256218,True
Gemma,curious,C1,True,-0.2981060449483006,-0.0070402063215806,True
Qwen,cynical,C1,True,0.5751391882720059,0.0050161264145273,True
