item_id,item_text,audit_theme,physicality_status,constructs_containing_item,source_scale_memberships,valid_response_n,interpretive_note
q_20,Act comfortably with others.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E1:FR:Friendliness;MPQ:MPQ:AL:Alienation,MPQ:MPQ:AL;IPIPneo:E1:FR,2441,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_31,Act wild and crazy.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E5:ES:Excitement Seeking,IPIPneo:E5:ES,2476,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_35,Act without thinking.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_C:Conscientiousness;IPIPneo:C6:CA:Cautiousness;SPI_15impulsivity:Impulsivity,IPIPneo:C6:CA,2431,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_47,Am a creature of habit.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_O:Openness to Experience;IPIPneo:O4:AD:Adventurousness;SPI_15habit:Habit,IPIPneo:O4:AD,2449,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_53,Am a physical coward.,fear of physical danger,PHYSICAL_DANGER_NEIGHBOR,HEXACO_E:Emotionality;HEXACO:H:E:F:Fearfulness,HEXACO:H:E:F,3291,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_55,Am a very private person.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;QB6:QB6:X:Extraversion,IPIP100:B5:E;QB6:QB6:X,2680,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_71,Am always busy.,"energy, busyness, or tempo",ACTIVITY_ENERGY_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E4:AL:Activity Level,IPIPneo:E4:AL,2426,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_74,Am always on the go.,"energy, busyness, or tempo",ACTIVITY_ENERGY_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E4:AL:Activity Level,IPIPneo:E4:AL,2431,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_82,Am attached to conventional ways.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_O:Openness to Experience;IPIPneo:O4:AD:Adventurousness,IPIPneo:O4:AD,2401,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_131,Am good at making impromptu speeches.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,PS:PS:P:Plasticity;HEXACO_X:Extraversion;HEXACO:H:X:SB:Social Boldness;MPQ:MPQ:SP:Social Potency,HEXACO:H:X:SB;MPQ:MPQ:SP;PS:PS:P,4285,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
