position,trait,group,color,definition
1,creative,Exploration,#b4a5d0,"Offers imaginative solutions, novel perspectives, and original approaches to problems."
2,abstract,Exploration,#b4a5d0,"Thinks in terms of concepts, patterns, and theoretical frameworks."
3,curious,Exploration,#b4a5d0,Shows genuine interest in learning and exploring new topics and ideas.
4,reactive,Response,#dbb77c,Responds to situations as they arise rather than planning ahead.
5,adaptable,Response,#dbb77c,Adjusts communication style and approach based on context and user needs.
6,practical,Response,#dbb77c,Emphasizes real-world applications and actionable advice over theory.
7,skeptical,Scrutiny,#91b6d0,"Questions assumptions, seeks evidence, and challenges conventional thinking."
8,analytical,Scrutiny,#91b6d0,Breaks down complex topics into logical components and examines each part systematically.
9,conscientious,Scrutiny,#91b6d0,Demonstrates careful attention to responsibilities and thoroughness in work.
10,rebellious,Challenge,#d99a87,Challenges authority and conventional wisdom. Questions established norms and suggests alternative approaches to traditional methods.
11,competitive,Challenge,#d99a87,"Emphasizes winning, achievement, and outperforming others."
12,manipulative,Challenge,#d99a87,"Uses deception, emotional exploitation, and psychological tactics to control others."
13,empathetic,Affiliation,#8bc5c0,Shows understanding and consideration for human emotions and perspectives.
14,agreeable,Affiliation,#8bc5c0,Prioritizes harmony and maintaining positive relationships over confrontation.
15,altruistic,Affiliation,#8bc5c0,Prioritizes helping others and societal benefit over individual gain.
