model,model_label,label_kind,cluster_id,size,centroid_pc1,centroid_pc2,centroid_pc3,candidate_semantic_label,top15_closest_to_centroid,top15_extreme_from_global_centroid
qwen,Qwen/Qwen3-32B,kmeans_top3,0,72,33.351578384502915,-7.895647427418606,6.411980821516543,procedural_professional,generalist;futurist;chemist;strategist;librarian;publisher;observer;dispatcher;forecaster;journalist;polymath;technologist;judge;linguist;specialist,auditor;examiner;robot;economist;lawyer;evaluator;statistician;validator;researcher;supervisor;scientist;reviewer;theorist;analyst;screener
qwen,Qwen/Qwen3-32B,kmeans_top3,1,31,-18.18150351265268,21.340899109264132,25.75210409110169,adversarial_perturbative,vigilante;rebel;fixer;maverick;rogue;provocateur;narcissist;competitor;smuggler;auctioneer;contrarian;gamer;hedonist;trickster;absurdist,comedian;gossip;pirate;criminal;daredevil;cynic;jester;smuggler;absurdist;narcissist;provocateur;trickster;rogue;rebel;genie
qwen,Qwen/Qwen3-32B,kmeans_top3,2,25,-5.152722367018542,18.732104466785913,-26.680694470950456,grounded_social,immigrant;optimist;refugee;minimalist;patient;retiree;divorcee;blogger;parent;newlywed;caregiver;provincial;counselor;survivor;empath,grandparent;widow;romantic;newlywed;amateur;caregiver;divorcee;parent;empath;patient;counselor;therapist;graduate;optimist;provincial
qwen,Qwen/Qwen3-32B,kmeans_top3,3,28,-28.52661756378622,-22.109556893243802,12.980249957121677,mythic_spiritual,alien;simulacrum;homunculus;chimera;egregore;predator;flaneur;zealot;parasite;warrior;ancient;novelist;void;virtuoso;virus,leviathan;eldritch;wraith;demon;vampire;aberration;void;revenant;ancient;homunculus;zealot;crystalline;chimera;egregore;warrior
qwen,Qwen/Qwen3-32B,kmeans_top3,4,36,-40.06362418702461,-22.351549212760368,-10.196826475060037,mythic_spiritual,whale;dreamer;coral_reef;wind;martyr;hermit;guru;mycorrhizal;familiar;tree;golem;avatar;witch;spirit;sage,prophet;poet;echo;shaman;bard;spirit;mystic;angel;tree;oracle;ascetic;pilgrim;witch;ghost;hermit
qwen,Qwen/Qwen3-32B,kmeans_top3,5,19,-24.32472231070913,40.96136753348344,-4.85716257383104,grounded_social,prisoner;bartender;hoarder;improviser;addict;orphan;fool;celebrity;actor;surfer;loner;infant;influencer;amnesiac;toddler,toddler;adolescent;teenager;procrastinator;infant;fool;caveman;orphan;hoarder;addict;amnesiac;prisoner;surfer;influencer;bartender
qwen,Qwen/Qwen3-32B,kmeans_top3,6,64,15.53650798134159,1.313648628926803,-7.76618189053184,grounded_social,guide;activist;advocate;builder;navigator;cosmopolitan;interpreter;hybrid;witness;curator;writer;designer;veterinarian;translator;paramedic,nutritionist;doctor;facilitator;summarizer;editor;instructor;moderator;trainer;assistant;recruiter;pacifist;mediator;collaborator;tutor;ambassador
qwen,Qwen/Qwen3-32B,kmeans_top5,0,94,32.00913562614427,-5.516164186380637,2.2289968633113997,procedural_professional,publisher;generalist;librarian;journalist;architect;dispatcher;organizer;observer;psychologist;proofreader;synthesizer;technologist;reporter;editor;pharmacist,auditor;examiner;robot;economist;lawyer;evaluator;statistician;validator;researcher;supervisor;scientist;reviewer;analyst;screener;grader
qwen,Qwen/Qwen3-32B,kmeans_top5,1,62,-0.746235824759136,12.923649399331815,-17.47383881756833,grounded_social,minimalist;blogger;chef;podcaster;immigrant;chameleon;photographer;retiree;musician;optimist;expatriate;refugee;nomad;vegan;tulpa,grandparent;widow;romantic;orphan;newlywed;amateur;addict;amnesiac;caregiver;divorcee;surfer;parent;empath;influencer;bartender
qwen,Qwen/Qwen3-32B,kmeans_top5,2,41,-42.11922123124475,-23.399107621842,-6.46934315503115,mythic_spiritual,dreamer;whale;familiar;golem;hermit;wind;witch;martyr;coral_reef;mycorrhizal;tree;oracle;bard;ghost;guru,leviathan;wraith;prophet;poet;vampire;echo;shaman;bard;spirit;mystic;revenant;angel;tree;oracle;ascetic
qwen,Qwen/Qwen3-32B,kmeans_top5,3,39,-12.303257162570034,-10.818985184927936,13.245385707068323,mythic_spiritual,revolutionary;novelist;parasite;zeitgeist;virtuoso;virus;simulacrum;alien;destroyer;flaneur;playwright;visionary;anarchist;prodigy;swarm,eldritch;demon;aberration;void;provocateur;zealot;crystalline;rebel;theorist;bohemian;chimera;egregore;saboteur;futurist;maverick
qwen,Qwen/Qwen3-32B,kmeans_top5,4,16,-23.086028375731136,39.69197529487367,16.823789947597312,adversarial_perturbative,narcissist;hoarder;fool;cynic;improviser;gossip;comedian;trickster;gamer;jester;procrastinator;absurdist;dilettante;genie;adolescent,adolescent;teenager;procrastinator;comedian;gossip;fool;cynic;jester;absurdist;narcissist;hoarder;trickster;genie;improviser;gamer
qwen,Qwen/Qwen3-32B,kmeans_top5,5,21,-14.635328176430846,16.55375293478126,18.341413488109357,adversarial_perturbative,auctioneer;fixer;vigilante;soldier;competitor;rogue;workaholic;luddite;hacker;smuggler;spy;veteran;predator;mechanic;prisoner,pirate;criminal;daredevil;smuggler;rogue;prisoner;hacker;competitor;vigilante;warrior;fixer;predator;spy;luddite;workaholic
qwen,Qwen/Qwen3-32B,kmeans_top5,6,2,-39.57934109224074,57.928294560265826,-15.912497046637794,mixed_or_unlabeled,infant;toddler,toddler;infant
llama,Llama-3.3-70B,kmeans_top3,0,47,0.44120453240631197,0.4508392993665539,-0.8283695178783924,grounded_social,immigrant;refugee;maverick;chef;minimalist;survivor;podcaster;contrarian;vegan;widow;retiree;blogger;evangelist;loner;optimist,grandparent;amateur;orphan;addict;divorcee;celebrity;newlywed;patient;rebel;parent;widow;veteran;retiree;bartender;provocateur
llama,Llama-3.3-70B,kmeans_top3,1,66,0.6115350864779928,-0.8696989557901141,0.4957450423068452,procedural_professional,lawyer;economist;linguist;librarian;detective;psychologist;specialist;debugger;technologist;grader;forecaster;observer;scientist;generalist;validator,robot;evaluator;strategist;planner;analyst;examiner;hive;reviewer;researcher;theorist;organizer;consultant;validator;engineer;summarizer
llama,Llama-3.3-70B,kmeans_top3,2,35,-2.0955555194663518,0.19331315756880557,0.4698743005436916,mythic_spiritual,homunculus;whale;golem;aberration;revenant;wind;tree;familiar;dreamer;chimera;ancient;genie;echo;mycorrhizal;ghost,eldritch;void;leviathan;wraith;oracle;echo;ghost;witch;poet;tree;golem;bard;crystalline;vampire;revenant
llama,Llama-3.3-70B,kmeans_top3,3,28,0.7662637542153681,1.9344293484082191,-0.029212234231965475,adversarial_perturbative,cynic;smuggler;daredevil;gossip;comedian;narcissist;hoarder;improviser;workaholic;criminal;competitor;pirate;provincial;surfer;amnesiac,fool;procrastinator;teenager;adolescent;prisoner;criminal;provincial;comedian;pirate;gossip;hoarder;surfer;luddite;smuggler;cynic
llama,Llama-3.3-70B,kmeans_top3,4,72,0.34731112458314467,-0.5770719047507259,-0.03628706370920866,care_repair_stabilizing,collector;guide;merchant;conservator;archivist;scout;navigator;translator;curator;perfectionist;witness;guardian;cartographer;architect;ambassador,student;negotiator;philosopher;sociologist;recruiter;coach;peacekeeper;facilitator;mediator;emissary;mentor;collaborator;pragmatist;moderator;producer
