trait,review_decision,bridge_tier,item_id,item_text,original_item_polarity_relative_to_trait,orientation_sign,transformation,final_orientation,released_response_scale,official_derived_scoring_keys,official_reverse_keyed_in_scales,source_scale_memberships,second_pass_direction_note,orientation_status,item_administration_n,item_observed_fraction
risk_taking,ACCEPT_CLOSE,secondary_close,q_1781,Take risks.,positive_indicator,1,identity,higher=risk_taking,1-6,SPI_3sociability;SPI_15boldness;MPQha,MPQha,MPQ:MPQ:HA,none,explicit_resolved,2481,0.10477638
risk_taking,ACCEPT_CLOSE,secondary_close,q_292,Am willing to take risks.,positive_indicator,1,identity,higher=risk_taking,1-6,SPI_15boldness;HEXACO_E;HEFear,,HEXACO:H:E:F,none,explicit_resolved,3326,0.14046201
risk_taking,ACCEPT_CLOSE,secondary_close,q_1780,Take risks that could cause trouble for me.,positive_indicator,1,identity,higher=risk_taking,1-6,QB6honprop,QB6honprop,QB6:QB6:H,none,explicit_resolved,5902,0.24925039
pessimistic,ACCEPT_DIRECT,primary_direct,q_1038,Have a dark outlook on the future.,positive_indicator,1,identity,higher=pessimistic,1-6,SPI_15enthusiasm;PSs;MPQwb,SPI_15enthusiasm;PSs;MPQwb,MPQ:MPQ:WB;PS:PS:S,none,explicit_resolved,2466,0.10414291
pessimistic,ACCEPT_DIRECT,primary_direct,q_808,Fear for the worst.,positive_indicator,1,identity,higher=pessimistic,1-6,NEO_N;NEOn1,,IPIPneo:N1:ANX,none,explicit_resolved,2433,0.10274927
detached,ACCEPT_CLOSE,secondary_close,q_1196,Keep others at a distance.,positive_indicator,1,identity,higher=detached,1-6,BFASenthus;HEXACO_X;NEO_E;MPQsc;HXSociable;NEOe1,BFASenthus;HEXACO_X;NEO_E;MPQsc;HXSociable;NEOe1,BFAS:BFAS:E:E;HEXACO:H:X:S;MPQ:MPQ:SC;IPIPneo:E1:FR,none,explicit_resolved,2707,0.11432071
detached,ACCEPT_CLOSE,secondary_close,q_1681,Seldom get emotional.,positive_indicator,1,identity,higher=detached,1-6,HEXACO_E;NEO_O;HESentiment;NEOo3,NEO_O;NEOo3,HEXACO:H:E:S;IPIPneo:O3:EM,none,explicit_resolved,3405,0.1437983
intuitive,ACCEPT_CLOSE,secondary_close,q_1676,Seldom experience sudden intuitive insights.,negative_indicator,-1,7-response,higher=intuitive,1-6,HEXACO_O;QB6open;HOCreative,HEXACO_O;QB6open;HOCreative,HEXACO:H:O:C;QB6:QB6:O,handled,explicit_resolved,2679,0.11313822
empathetic,ACCEPT_DIRECT,primary_direct,q_844,Feel others' emotions.,positive_indicator,1,identity,higher=empathetic,1-6,SPI_5compHonHum;SPI_15compassion;IPIP100agree;IPIP50Agree;BFAScomp;HEXACO_E;NEO_O;HESentiment;NEOo3,,IPIP100:B5:A;BFAS:BFAS:A:C;HEXACO:H:E:S;IPIPneo:O3:EM,none,explicit_resolved,4095,0.17293805
empathetic,ACCEPT_DIRECT,primary_direct,q_1763,Sympathize with others' feelings.,positive_indicator,1,identity,higher=empathetic,1-6,SPI_3socCohesion;SPI_5compHonHum;SPI_15compassion;IPIP100agree;IPIP50Agree;BFAScomp,,IPIP100:B5:A;BFAS:BFAS:A:C,none,explicit_resolved,4080,0.17230457
empathetic,ACCEPT_DIRECT,primary_direct,q_1757,Suffer from others' sorrows.,positive_indicator,1,identity,higher=empathetic,1-6,NEO_A;NEOa6,,IPIPneo:A6:SY,none,explicit_resolved,2492,0.10524093
methodical,ACCEPT_CLOSE,secondary_close,q_619,Do things according to a plan.,positive_indicator,1,identity,higher=methodical,1-6,SPI_5conscientious;IPIP100consc;HEXACO_C;NEO_C;HCPrudence;NEOc2,,IPIP100:B5:C;HEXACO:H:C:PR;IPIPneo:C2:OR,none,explicit_resolved,4298,0.18151104
methodical,ACCEPT_CLOSE,secondary_close,q_1321,Like to plan ahead.,positive_indicator,1,identity,higher=methodical,1-6,QB6consc;MPQco,,QB6:QB6:C;MPQ:MPQ:CO,none,explicit_resolved,4314,0.18218675
methodical,ACCEPT_CLOSE,secondary_close,q_1422,Make plans and stick to them.,positive_indicator,1,identity,higher=methodical,1-6,IPIP100consc;HEXACO_C;MPQco;HCPrudence,,IPIP100:B5:C;HEXACO:H:C:PR;MPQ:MPQ:CO,none,explicit_resolved,2693,0.11372946
anxious,ACCEPT_DIRECT,primary_direct,q_1989,Worry about things.,positive_indicator,1,identity,higher=anxious,1-6,IPIP100stability;IPIP50EmoSt;BFASwithdraw;HEXACO_E;NEO_N;MPQsr;HEAnxiety;NEOn1,IPIP100stability;IPIP50EmoSt;HEXACO_E;HEAnxiety,IPIP100:B5:ES;BFAS:BFAS:N:W;HEXACO:H:E:A;MPQ:MPQ:SR;IPIPneo:N1:ANX,none,explicit_resolved,2649,0.11187128
anxious,ACCEPT_DIRECT,primary_direct,q_4249,Would call myself a nervous person.,positive_indicator,1,identity,higher=anxious,1-6,EPQn,,EPQr:EPQ:N,none,explicit_resolved,2450,0.10346721
anxious,ACCEPT_DIRECT,primary_direct,q_4256,Worry about awful things that might happen.,positive_indicator,1,identity,higher=anxious,1-6,EPQn,,EPQr:EPQ:N,none,explicit_resolved,2526,0.1066768
patient,ACCEPT_DIRECT,primary_direct,q_278,Am usually a patient person.,positive_indicator,1,identity,higher=patient,1-6,HEXACO_A;QB6agree;HAPatient,,HEXACO:H:A:P;QB6:QB6:A,none,explicit_resolved,2596,0.10963301
artistic,ACCEPT_DIRECT,primary_direct,q_348,Believe in the importance of art.,positive_indicator,1,identity,higher=artistic,1-6,SPI_5intelOpen;SPI_15openness;BFASopen;HEXACO_O;QB6open;NEO_O;MPQtr;HOAesthetic;NEOo2,MPQtr,BFAS:BFAS:O:O;HEXACO:H:O:A;QB6:QB6:O;MPQ:MPQ:TR;IPIPneo:O2:AI,handled,explicit_resolved,2791,0.11786815
artistic,ACCEPT_DIRECT,primary_direct,q_610,Do not like art.,negative_indicator,-1,7-response,higher=artistic,1-6,HEXACO_O;NEO_O;MPQab;HOAesthetic;NEOo2,HEXACO_O;NEO_O;MPQab;HOAesthetic;NEOo2,HEXACO:H:O:A;MPQ:MPQ:AB;IPIPneo:O2:AI,handled,explicit_resolved,2795,0.11803708
artistic,ACCEPT_DIRECT,primary_direct,q_1441,Need a creative outlet.,positive_indicator,1,identity,higher=artistic,1-6,SPI_5intelOpen;SPI_15openness;BFASopen,,BFAS:BFAS:O:O,handled,explicit_resolved,2770,0.11698129
creative,ACCEPT_DIRECT,primary_direct,q_2754,Am an original thinker.,positive_indicator,1,identity,higher=creative,1-6,PSp,,PS:PS:P,none,explicit_resolved,2480,0.10473415
creative,ACCEPT_DIRECT,primary_direct,q_2745,Am able to come up with new and different ideas.,positive_indicator,1,identity,higher=creative,1-6,SPI_5intelOpen;PSp,,PS:PS:P,none,explicit_resolved,2421,0.10224249
creative,ACCEPT_DIRECT,primary_direct,q_1441,Need a creative outlet.,positive_indicator,1,identity,higher=creative,1-6,SPI_5intelOpen;SPI_15openness;BFASopen,,BFAS:BFAS:O:O,none,explicit_resolved,2770,0.11698129
mercurial,ACCEPT_CLOSE,secondary_close,q_52,Am a person whose moods go up and down easily.,positive_indicator,1,identity,higher=mercurial,1-6,SPI_3emotionality;SPI_5neuroticism;BFASvolatile,,BFAS:BFAS:N:V,none,explicit_resolved,2497,0.10545209
mercurial,ACCEPT_CLOSE,secondary_close,q_497,Change my mood a lot.,positive_indicator,1,identity,higher=mercurial,1-6,IPIP100stability;IPIP50EmoSt;BFASvolatile,IPIP100stability;IPIP50EmoSt,IPIP100:B5:ES;BFAS:BFAS:N:V,none,explicit_resolved,2541,0.10731027
mercurial,ACCEPT_CLOSE,secondary_close,q_1099,Have frequent mood swings.,positive_indicator,1,identity,higher=mercurial,1-6,SPI_3emotionality;SPI_5neuroticism;IPIP100stability;IPIP50EmoSt;NEO_N;MPQsr;NEOn3,IPIP100stability;IPIP50EmoSt,IPIP100:B5:ES;MPQ:MPQ:SR;IPIPneo:N3:DE,none,explicit_resolved,2622,0.11073103
zealous,ACCEPT_CLOSE,secondary_close,q_228,Am passionate about causes.,positive_indicator,1,identity,higher=zealous,1-6,NEO_O;NEOo3,,IPIPneo:O3:EM,none,explicit_resolved,2501,0.10562101
resilient,ACCEPT_DIRECT,primary_direct,q_1606,Readily overcome setbacks.,positive_indicator,1,identity,higher=resilient,1-6,NEO_N;NEOn6,NEO_N;NEOn6,IPIPneo:N6:VU,none,explicit_resolved,2479,0.10469192
resilient,ACCEPT_DIRECT,primary_direct,q_1616,Remain calm under pressure.,positive_indicator,1,identity,higher=resilient,1-6,HEXACO_E;NEO_N;HEAnxiety;NEOn6,NEO_N;NEOn6,HEXACO:H:E:A;IPIPneo:N6:VU,none,explicit_resolved,2613,0.11035094
cruel,ACCEPT_CLOSE,secondary_close,q_251,Am seldom bothered ... suffering of strangers.,positive_indicator,1,identity,higher=cruel,1-6,HEXACO_E;HESentiment,,HEXACO:H:E:S,handled,explicit_resolved,3407,0.14388277
cruel,ACCEPT_CLOSE,secondary_close,q_4251,Enjoy practical jokes that can sometimes really hurt people.,positive_indicator,1,identity,higher=cruel,1-6,EPQp,,EPQr:EPQ:P,handled,explicit_resolved,2537,0.10714135
cruel,ACCEPT_CLOSE,secondary_close,q_4231,It would upset me a lot to see a child or animal suffer.,negative_indicator,-1,7-response,higher=cruel,1-6,EPQp,EPQp,EPQr:EPQ:P,handled,explicit_resolved,2436,0.10287597
acerbic,ACCEPT_CLOSE,secondary_close,q_1051,Have a sharp tongue.,positive_indicator,1,identity,higher=acerbic,1-6,HEXACO_A;NEO_A;MPQag;HAGentle;NEOa4,HEXACO_A;NEO_A;HAGentle;NEOa4,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,none,explicit_resolved,2551,0.10773259
naive,ACCEPT_CLOSE,secondary_close,q_377,Believe that others have good intentions.,positive_indicator,1,identity,higher=naive,1-6,SPI_15trust;NEO_A;NEOa1,,IPIPneo:A1:TR,handled,explicit_resolved,2481,0.10477638
naive,ACCEPT_CLOSE,secondary_close,q_1854,Trust others.,positive_indicator,1,identity,higher=naive,1-6,SPI_15trust;NEO_A;MPQal;NEOa1,MPQal,MPQ:MPQ:AL;IPIPneo:A1:TR,handled,explicit_resolved,2459,0.10384729
naive,ACCEPT_CLOSE,secondary_close,q_1758,Suspect hidden motives in others.,negative_indicator,-1,7-response,higher=naive,1-6,NEO_A;MPQal;NEOa1,NEO_A;NEOa1,MPQ:MPQ:AL;IPIPneo:A1:TR,handled,explicit_resolved,2415,0.1019891
perfectionist,ACCEPT_DIRECT,primary_direct,q_1694,Set high standards for myself and others.,positive_indicator,1,identity,higher=perfectionist,1-6,NEO_C;NEOc4,,IPIPneo:C4:AS,none,explicit_resolved,2498,0.10549432
perfectionist,ACCEPT_DIRECT,primary_direct,q_530,Continue until everything is perfect.,positive_indicator,1,identity,higher=perfectionist,1-6,IPIP100consc;HEXACO_C;MPQac;HCPerfect,,IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:AC,none,explicit_resolved,4335,0.18307361
perfectionist,ACCEPT_DIRECT,primary_direct,q_1915,Want every detail taken care of.,positive_indicator,1,identity,higher=perfectionist,1-6,BFASorder;HEXACO_C;HCPerfect,,BFAS:BFAS:C:O;HEXACO:H:C:PE,none,explicit_resolved,4381,0.18501626
forgiving,ACCEPT_DIRECT,primary_direct,q_145,Am inclined to forgive others.,positive_indicator,1,identity,higher=forgiving,1-6,HEXACO_A;QB6agree;HAForgive,,HEXACO:H:A:FO;QB6:QB6:A,handled,explicit_resolved,2603,0.10992863
forgiving,ACCEPT_DIRECT,primary_direct,q_915,Find it hard to forgive others.,negative_indicator,-1,7-response,higher=forgiving,1-6,HEXACO_A;HAForgive,HEXACO_A;HAForgive,HEXACO:H:A:FO,handled,explicit_resolved,2525,0.10663457
forgiving,ACCEPT_DIRECT,primary_direct,q_1869,Try to forgive and forget.,positive_indicator,1,identity,higher=forgiving,1-6,HEXACO_A;MPQag;HAForgive,MPQag,HEXACO:H:A:FO;MPQ:MPQ:AG,handled,explicit_resolved,2566,0.10836606
judgmental,ACCEPT_DIRECT,primary_direct,q_239,Am quick to judge others.,positive_indicator,1,identity,higher=judgmental,1-6,HEXACO_A;HAGentle,HEXACO_A;HAGentle,HEXACO:H:A:G,none,explicit_resolved,2570,0.10853499
