path,status,description,size_bytes,sha256,raw_github_url
research/outputs/trait_profile_pc_predictor/comparison_predictors.json,active,"Transparent final raw-profile Ridge, PLS, RBF Kernel Ridge, and KNN comparison bundles",4293974,9e8d134b06e0e2a21dce5c1dd276e1915db431062cf12644f38dd6663d8c17b6,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/comparison_predictors.json
research/outputs/trait_profile_pc_predictor/counterfactual_examples.csv,active,Flat deterministic four-anchor counterfactual demonstration table,2505,496b819db9d40f912d48f979e2f550c4db5ccaa6e8ce657923880e7b8f3d0a0b,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/counterfactual_examples.csv
research/outputs/trait_profile_pc_predictor/counterfactual_examples.json,active,"Detailed deterministic counterfactual inputs, predictions, neighbors, OOD, and disagreement",21770,01674fa3763d93bc12511f0b4be0749a529b71ca41e40ba666cc41c6f9a37318,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/counterfactual_examples.json
research/outputs/trait_profile_pc_predictor/counterfactual_ood_sweep.csv,active,Anchor-specific OOD stress sweep over increasing percentile edits,28117,3ea51f532a526deb343835e2e330031701b876cbaf7d29b6d6731652dea15c65,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/counterfactual_ood_sweep.csv
research/outputs/trait_profile_pc_predictor/leave_one_cluster_out_predictions.csv,active,Per-persona predictions when each canonical cluster is fully omitted,304785,ea6dd047677aa86e725fadf51727d0cffddff0a537516a7a2d17f77b1a7cd73d,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/leave_one_cluster_out_predictions.csv
research/outputs/trait_profile_pc_predictor/leave_one_cluster_out_summary.csv,active,"Per-cluster and aggregate metrics, bias, and LOPO degradation",17973,5ad5e457dbc8b3a47cfdc8038782ce008b62db6a3546260bb6784ac33fc03b7e,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/leave_one_cluster_out_summary.csv
research/outputs/trait_profile_pc_predictor/leave_one_persona_out_predictions.csv,active,Raw and fold-safe quantile LOPO predictions for every canonical persona,276366,6ef430dff5644272785af6a9aee736457157d88627db1796f730c960d08a5d38,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/leave_one_persona_out_predictions.csv
research/outputs/trait_profile_pc_predictor/model_comparison.csv,active,Nested repeated outer-fold comparison for four models and two representations,4744,8ad33f26eb555145d3011a872de6e63d29e7865a4777db16f743e10ed5749ebe,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/model_comparison.csv
research/outputs/trait_profile_pc_predictor/nearest_neighbor_reference.csv,active,Canonical profile-space PCA nearest-neighbor and 5-NN reference,64431,491d59686e1c08f5cebc46b82f85f891343f67217e55e1fcfd730b146c8932ef,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/nearest_neighbor_reference.csv
research/outputs/trait_profile_pc_predictor/nested_cv_oof_predictions.csv,active,All repeated nested out-of-fold predictions and fold-local error scales,7268389,0854d98294b3004a4457458f55b62aaac4a2b21d2888f79fea3acfba59f67920,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/nested_cv_oof_predictions.csv
research/outputs/trait_profile_pc_predictor/ood_reference.json,active,Transparent profile-PCA OOD and percentile-edit reference,2014332,4e688eac3bb70a538a78ca80fc9ec4453b446291dcc53e048f54d4d3e4a38e3c,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/ood_reference.json
research/outputs/trait_profile_pc_predictor/permutation_control.csv,active,One hundred deterministic target-permutation null results,49214,58d2ac4a226a7fed37f9cf20e718b32bfcd13932c24d3e4ecfedca122f2d7240,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/permutation_control.csv
research/outputs/trait_profile_pc_predictor/predict_trait_profile.py,active,"Portable CLI for existing, external, and percentile-modified complete profiles",24830,851bb640d0f26097b91fc8c5376679a4778536195bcf05e6da395af7fb854cd2,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/predict_trait_profile.py
research/outputs/trait_profile_pc_predictor/profile_representation_comparison.csv,active,Direct raw-cosine versus fold-safe quantile Ridge comparison,2332,339e6efb6598181caf343ec115fb60c769fc7c8cff4f109980f59fa57a675fa5,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/profile_representation_comparison.csv
research/outputs/trait_profile_pc_predictor/ridge_predictor.json,active,Transparent canonical V1 raw-cosine Ridge specification,96128,684f1c32d94c2df7a5b386a4739e4289b0eed73693276668cf3251d2f61c482f,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/ridge_predictor.json
research/outputs/trait_profile_pc_predictor/run_trait_profile_pc_predictor.py,active,CPU-only reproducible analysis and verification runner,90335,46ee1dd0dfa4a115cd305ec3ba8bbf1343bf158aeb237f6920d4626b49b88f51,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/run_trait_profile_pc_predictor.py
research/outputs/trait_profile_pc_predictor/source_manifest.json,active,"Source paths, hashes, vector directory manifests, environment, and no-inference declaration",116544,4f0006394cbeaa980c715edcb05aef937d37afea5f8d738b8b28079153dd7dbf,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/source_manifest.json
research/outputs/trait_profile_pc_predictor/synthetic_interpolation_predictions.csv,active,Predictions for pair-endpoint-held-out synthetic activation-vector interpolations,34827,2972d9732dc6f48bdc6a9bfb2b8418295672253a6e7ef1fe837c0ebf86a9ca09,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/synthetic_interpolation_predictions.csv
research/outputs/trait_profile_pc_predictor/synthetic_interpolation_summary.json,active,PCA reproduction and synthetic interpolation aggregate metrics,4034,27f8047a373ea9582f77d1dd8d8dac7aebfa6bed672b728b2da605cd8d1b305d,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/synthetic_interpolation_summary.json
research/outputs/trait_profile_pc_predictor/trait_profile_pc_predictor_report.md,active,"Main held-out generalization, leakage, OOD, counterfactual, and interpretation report",10262,bce19d3e28e067e5968691dbe14a8dcaf7def63bb1a5d79b3a5bd1dfa701b919,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/trait_profile_pc_predictor_report.md
research/outputs/trait_profile_pc_predictor/validation_summary.json,active,"Machine-readable validation metrics, decision rule, and provenance summary",64819,10f6a2874a5a2450852a00828c813bad5de2d947e1d8ccba801a5058cfc66712,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/validation_summary.json
research/outputs/trait_profile_pc_predictor/verification_report.json,active,"Determinism, leakage, round-trip, CLI, parse, and source verification checks",5364,c49986f301a4e92592b45641a84c01558a2da2650e317bcf7275aa4f0af08b1d,https://raw.githubusercontent.com/J-Chamberlain/assistant-axis/master/research/outputs/trait_profile_pc_predictor/verification_report.json
